"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain29-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 07:42:33 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 07:42:33
0,0,19-07 07:42:34
0,0,19-07 07:42:35
0,0,19-07 07:42:36
0,0,19-07 07:42:37
0,0,19-07 07:42:38
0,0,19-07 07:42:39
0,0,19-07 07:42:40
0,0,19-07 07:42:41
0,0,19-07 07:42:42
0,0,19-07 07:42:43
170717,0,19-07 07:42:44
804460,0,19-07 07:42:45
1191375,0,19-07 07:42:46
1253639,0,19-07 07:42:47
1074068,0,19-07 07:42:48
1171863,0,19-07 07:42:49
1218660,0,19-07 07:42:50
1202166,0,19-07 07:42:51
1218772,0,19-07 07:42:52
1162808,0,19-07 07:42:53
1174460,0,19-07 07:42:54
1239736,0,19-07 07:42:55
1184712,0,19-07 07:42:56
1168788,0,19-07 07:42:57
1182956,0,19-07 07:42:58
1144501,0,19-07 07:42:59
1223731,0,19-07 07:43:00
1145352,0,19-07 07:43:01
1225537,0,19-07 07:43:02
1244873,0,19-07 07:43:03
1267090,0,19-07 07:43:04
1259643,0,19-07 07:43:05
1190984,0,19-07 07:43:06
1240400,0,19-07 07:43:07
1213455,0,19-07 07:43:08
1033309,2136,19-07 07:43:09
1186490,0,19-07 07:43:10
753356,0,19-07 07:43:11
1107344,0,19-07 07:43:12
1172171,0,19-07 07:43:13
1228321,0,19-07 07:43:14
1198354,0,19-07 07:43:15
1138772,0,19-07 07:43:16
1211496,0,19-07 07:43:17
1225698,1068,19-07 07:43:18
1165862,1424,19-07 07:43:19
1188703,356,19-07 07:43:20
1222954,0,19-07 07:43:21
1163430,712,19-07 07:43:22
1269073,0,19-07 07:43:23
1196822,712,19-07 07:43:24
1255274,0,19-07 07:43:25
1068167,356,19-07 07:43:26
956042,712,19-07 07:43:27
1261033,0,19-07 07:43:28
1263729,0,19-07 07:43:29
1271613,0,19-07 07:43:30
1238180,0,19-07 07:43:31
1082611,1780,19-07 07:43:32
661237,356,19-07 07:43:33
734002,356,19-07 07:43:34
423877,356,19-07 07:43:35
1108907,0,19-07 07:43:36
1173021,0,19-07 07:43:37
1227112,0,19-07 07:43:38
1096940,0,19-07 07:43:39
1203274,0,19-07 07:43:40
1170784,0,19-07 07:43:41
1232448,0,19-07 07:43:42
1211838,0,19-07 07:43:43
1174340,0,19-07 07:43:44
1222308,0,19-07 07:43:45
1190296,0,19-07 07:43:46
1228160,0,19-07 07:43:47
1253052,0,19-07 07:43:48
1254368,0,19-07 07:43:49
1254283,0,19-07 07:43:50
1206951,0,19-07 07:43:51
1259646,0,19-07 07:43:52
1259709,0,19-07 07:43:53
