"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain10-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 07:53:38 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 07:53:38
0,0,19-07 07:53:39
0,0,19-07 07:53:40
0,0,19-07 07:53:41
0,0,19-07 07:53:42
0,0,19-07 07:53:43
0,0,19-07 07:53:44
0,0,19-07 07:53:45
0,0,19-07 07:53:46
0,0,19-07 07:53:47
0,0,19-07 07:53:48
0,0,19-07 07:53:49
143361,0,19-07 07:53:50
2310127,0,19-07 07:53:51
4815840,0,19-07 07:53:52
3572311,0,19-07 07:53:53
4538876,0,19-07 07:53:54
4045902,0,19-07 07:53:55
1759081,0,19-07 07:53:56
4002671,0,19-07 07:53:57
4249379,0,19-07 07:53:58
3891409,1068,19-07 07:53:59
4169733,356,19-07 07:54:00
2257932,712,19-07 07:54:01
730986,1068,19-07 07:54:02
1072673,0,19-07 07:54:03
3724051,0,19-07 07:54:04
2973182,0,19-07 07:54:05
4022992,0,19-07 07:54:06
3375850,0,19-07 07:54:07
4846920,0,19-07 07:54:08
2899098,1780,19-07 07:54:09
3776672,356,19-07 07:54:10
4099696,356,19-07 07:54:11
4704621,0,19-07 07:54:12
4763836,356,19-07 07:54:13
4494924,0,19-07 07:54:14
829480,1068,19-07 07:54:15
733717,356,19-07 07:54:16
926548,356,19-07 07:54:17
3735382,0,19-07 07:54:18
4272177,0,19-07 07:54:19
3405680,0,19-07 07:54:20
3234324,0,19-07 07:54:21
4841666,0,19-07 07:54:22
3322863,0,19-07 07:54:23
2720540,712,19-07 07:54:24
5207426,0,19-07 07:54:25
3135250,712,19-07 07:54:26
5027739,0,19-07 07:54:27
5008445,0,19-07 07:54:28
615559,1780,19-07 07:54:29
706056,712,19-07 07:54:30
3466392,0,19-07 07:54:31
3694120,0,19-07 07:54:32
2703180,0,19-07 07:54:33
4563657,0,19-07 07:54:34
3259123,0,19-07 07:54:35
3696343,0,19-07 07:54:36
2512696,2136,19-07 07:54:37
4425652,0,19-07 07:54:38
4880537,356,19-07 07:54:39
3151821,356,19-07 07:54:40
4893464,0,19-07 07:54:41
628621,1068,19-07 07:54:42
973225,356,19-07 07:54:43
2993931,0,19-07 07:54:44
3654407,0,19-07 07:54:45
3989092,0,19-07 07:54:46
2792736,0,19-07 07:54:47
5214458,0,19-07 07:54:48
3602460,0,19-07 07:54:49
3556758,356,19-07 07:54:50
2814958,0,19-07 07:54:51
3404230,712,19-07 07:54:52
3971880,0,19-07 07:54:53
4571877,712,19-07 07:54:54
2252136,1068,19-07 07:54:55
789944,1068,19-07 07:54:56
2199598,0,19-07 07:54:57
3627258,0,19-07 07:54:58
4254644,0,19-07 07:54:59
4030634,0,19-07 07:55:00
3861358,0,19-07 07:55:01
3782926,0,19-07 07:55:02
1900365,0,19-07 07:55:03
3754783,0,19-07 07:55:04
3967513,1068,19-07 07:55:05
4058238,0,19-07 07:55:06
1790555,0,19-07 07:55:07
3560362,0,19-07 07:55:08
642559,356,19-07 07:55:09
695737,1424,19-07 07:55:10
2090661,0,19-07 07:55:11
4319353,0,19-07 07:55:12
4946218,0,19-07 07:55:13
4527928,0,19-07 07:55:14
4597512,0,19-07 07:55:15
2953469,0,19-07 07:55:16
4564468,712,19-07 07:55:17
5264902,712,19-07 07:55:18
3350212,0,19-07 07:55:19
3473369,0,19-07 07:55:20
2587274,1068,19-07 07:55:21
550974,1068,19-07 07:55:22
737153,356,19-07 07:55:23
3619699,0,19-07 07:55:24
3200934,0,19-07 07:55:25
2885028,0,19-07 07:55:26
3055116,0,19-07 07:55:27
3534053,0,19-07 07:55:28
4200716,0,19-07 07:55:29
2791906,356,19-07 07:55:30
3321947,0,19-07 07:55:31
4764471,356,19-07 07:55:32
3334468,356,19-07 07:55:33
4672417,712,19-07 07:55:34
637723,1424,19-07 07:55:35
713482,356,19-07 07:55:36
2326242,356,19-07 07:55:37
3180705,0,19-07 07:55:38
4374430,0,19-07 07:55:39
3214920,0,19-07 07:55:40
4357331,0,19-07 07:55:41
4343544,0,19-07 07:55:42
2649000,356,19-07 07:55:43
3584336,0,19-07 07:55:44
4399380,0,19-07 07:55:45
2914714,712,19-07 07:55:46
2345310,0,19-07 07:55:47
4538870,0,19-07 07:55:48
910120,2136,19-07 07:55:49
1370864,356,19-07 07:55:50
3900102,0,19-07 07:55:51
4848678,0,19-07 07:55:52
4512916,0,19-07 07:55:53
6225801,0,19-07 07:55:54
4015483,0,19-07 07:55:55
1679610,1424,19-07 07:55:56
4545818,0,19-07 07:55:57
