"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain35-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 07:42:33 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 07:42:33
0,0,19-07 07:42:34
0,0,19-07 07:42:35
0,0,19-07 07:42:36
0,0,19-07 07:42:37
0,0,19-07 07:42:38
0,0,19-07 07:42:39
0,0,19-07 07:42:40
0,0,19-07 07:42:41
0,0,19-07 07:42:42
0,0,19-07 07:42:43
0,0,19-07 07:42:44
0,0,19-07 07:42:45
0,0,19-07 07:42:46
0,0,19-07 07:42:47
184503,0,19-07 07:42:48
1008232,0,19-07 07:42:49
1170927,0,19-07 07:42:50
1179961,0,19-07 07:42:51
1052156,0,19-07 07:42:52
1139583,0,19-07 07:42:53
1166064,0,19-07 07:42:54
1192296,0,19-07 07:42:55
1142198,0,19-07 07:42:56
1165660,0,19-07 07:42:57
1202068,0,19-07 07:42:58
1194676,0,19-07 07:42:59
1186172,0,19-07 07:43:00
1185208,0,19-07 07:43:01
1183936,0,19-07 07:43:02
1202144,0,19-07 07:43:03
1222404,0,19-07 07:43:04
1251205,0,19-07 07:43:05
1194196,0,19-07 07:43:06
1260693,0,19-07 07:43:07
1239370,0,19-07 07:43:08
1221959,0,19-07 07:43:09
1254028,0,19-07 07:43:10
1192332,0,19-07 07:43:11
1205126,0,19-07 07:43:12
1053278,0,19-07 07:43:13
1128403,2136,19-07 07:43:14
894033,0,19-07 07:43:15
944918,712,19-07 07:43:16
1250151,0,19-07 07:43:17
1204405,0,19-07 07:43:18
1207942,0,19-07 07:43:19
1187276,0,19-07 07:43:20
1106852,0,19-07 07:43:21
1195468,1068,19-07 07:43:22
1202530,1424,19-07 07:43:23
1205557,0,19-07 07:43:24
1152964,356,19-07 07:43:25
1146970,712,19-07 07:43:26
1268789,356,19-07 07:43:27
1227222,0,19-07 07:43:28
1264657,0,19-07 07:43:29
1123810,712,19-07 07:43:30
1008831,712,19-07 07:43:31
1244360,0,19-07 07:43:32
1232001,0,19-07 07:43:33
1193221,0,19-07 07:43:34
1268380,0,19-07 07:43:35
1087966,0,19-07 07:43:36
713066,356,19-07 07:43:37
780051,1068,19-07 07:43:38
521087,712,19-07 07:43:39
1202248,0,19-07 07:43:40
1140404,0,19-07 07:43:41
1198215,0,19-07 07:43:42
1057473,0,19-07 07:43:43
1178768,0,19-07 07:43:44
1240996,0,19-07 07:43:45
1196956,0,19-07 07:43:46
1245018,0,19-07 07:43:47
1249980,0,19-07 07:43:48
1252848,0,19-07 07:43:49
1257056,0,19-07 07:43:50
1204952,0,19-07 07:43:51
1260160,0,19-07 07:43:52
1255724,0,19-07 07:43:53
1239136,0,19-07 07:43:54
1200857,0,19-07 07:43:55
