"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain9-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","26 Jul 2017 19:42:46 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,26-07 19:42:46
243,74,26-07 19:42:47
309,74,26-07 19:42:48
103,0,26-07 19:42:49
42,116,26-07 19:42:50
103,0,26-07 19:42:51
0,0,26-07 19:42:52
0,0,26-07 19:42:53
198,169,26-07 19:42:54
0,0,26-07 19:42:55
0,0,26-07 19:42:56
0,0,26-07 19:42:57
0,0,26-07 19:42:58
0,0,26-07 19:42:59
0,0,26-07 19:43:00
103,0,26-07 19:43:01
0,74,26-07 19:43:02
0,0,26-07 19:43:03
95,95,26-07 19:43:04
0,0,26-07 19:43:05
0,0,26-07 19:43:06
0,0,26-07 19:43:07
0,0,26-07 19:43:08
0,0,26-07 19:43:09
0,0,26-07 19:43:10
0,0,26-07 19:43:11
0,0,26-07 19:43:12
0,0,26-07 19:43:13
95,95,26-07 19:43:14
754,133,26-07 19:43:15
173,0,26-07 19:43:16
0,0,26-07 19:43:17
173,0,26-07 19:43:18
0,0,26-07 19:43:19
0,0,26-07 19:43:20
173,0,26-07 19:43:21
0,0,26-07 19:43:22
0,0,26-07 19:43:23
0,0,26-07 19:43:24
95,95,26-07 19:43:25
42,42,26-07 19:43:26
0,0,26-07 19:43:27
173,0,26-07 19:43:28
0,0,26-07 19:43:29
0,0,26-07 19:43:30
0,0,26-07 19:43:31
0,0,26-07 19:43:32
0,0,26-07 19:43:33
0,0,26-07 19:43:34
95,95,26-07 19:43:35
0,0,26-07 19:43:36
0,0,26-07 19:43:37
0,0,26-07 19:43:38
0,0,26-07 19:43:39
0,0,26-07 19:43:40
0,0,26-07 19:43:41
313,67,26-07 19:43:42
74,0,26-07 19:43:43
0,0,26-07 19:43:44
169,95,26-07 19:43:45
0,0,26-07 19:43:46
0,0,26-07 19:43:47
0,0,26-07 19:43:48
