"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain23-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 19:41:45 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 19:41:45
0,0,19-07 19:41:46
0,0,19-07 19:41:47
0,0,19-07 19:41:48
0,0,19-07 19:41:49
0,0,19-07 19:41:50
0,0,19-07 19:41:51
0,0,19-07 19:41:52
0,0,19-07 19:41:53
0,0,19-07 19:41:54
0,0,19-07 19:41:55
0,0,19-07 19:41:56
0,0,19-07 19:41:57
276984,0,19-07 19:41:58
1409303,0,19-07 19:41:59
3258588,0,19-07 19:42:00
3559128,0,19-07 19:42:01
4953681,0,19-07 19:42:02
6164191,0,19-07 19:42:03
2627232,1068,19-07 19:42:04
3650946,0,19-07 19:42:05
3699018,1068,19-07 19:42:06
3701101,356,19-07 19:42:07
4345909,356,19-07 19:42:08
2649627,0,19-07 19:42:09
525169,712,19-07 19:42:10
148010,356,19-07 19:42:11
0,0,19-07 19:42:12
0,0,19-07 19:42:13
0,0,19-07 19:42:14
0,0,19-07 19:42:15
0,0,19-07 19:42:16
0,0,19-07 19:42:17
0,0,19-07 19:42:18
0,0,19-07 19:42:19
0,0,19-07 19:42:20
0,0,19-07 19:42:21
0,0,19-07 19:42:22
0,0,19-07 19:42:23
0,0,19-07 19:42:24
0,0,19-07 19:42:25
0,0,19-07 19:42:26
0,0,19-07 19:42:27
0,0,19-07 19:42:28
0,0,19-07 19:42:29
0,0,19-07 19:42:30
0,0,19-07 19:42:31
0,0,19-07 19:42:32
0,0,19-07 19:42:33
0,0,19-07 19:42:34
0,0,19-07 19:42:35
0,0,19-07 19:42:36
0,0,19-07 19:42:37
888432,0,19-07 19:42:38
3944068,0,19-07 19:42:39
3355457,0,19-07 19:42:40
4296858,0,19-07 19:42:41
2430815,356,19-07 19:42:42
4789902,0,19-07 19:42:43
4926791,0,19-07 19:42:44
4321082,0,19-07 19:42:45
3972608,0,19-07 19:42:46
543255,2136,19-07 19:42:47
863421,356,19-07 19:42:48
1391480,0,19-07 19:42:49
3255119,0,19-07 19:42:50
4146106,0,19-07 19:42:51
4638111,0,19-07 19:42:52
4662373,0,19-07 19:42:53
4178192,0,19-07 19:42:54
3878015,356,19-07 19:42:55
5885562,0,19-07 19:42:56
5272471,1424,19-07 19:42:57
3804588,712,19-07 19:42:58
2975236,0,19-07 19:42:59
887080,1068,19-07 19:43:00
2909119,0,19-07 19:43:01
5051975,0,19-07 19:43:02
5331088,0,19-07 19:43:03
4886881,0,19-07 19:43:04
5421273,0,19-07 19:43:05
2886428,1780,19-07 19:43:06
4497080,356,19-07 19:43:07
2989549,356,19-07 19:43:08
4033497,0,19-07 19:43:09
3848917,1068,19-07 19:43:10
521612,356,19-07 19:43:11
816920,356,19-07 19:43:12
2961064,0,19-07 19:43:13
3161294,0,19-07 19:43:14
3885416,0,19-07 19:43:15
4342922,0,19-07 19:43:16
2878998,0,19-07 19:43:17
3355640,356,19-07 19:43:18
5699620,0,19-07 19:43:19
5035878,1068,19-07 19:43:20
3361777,712,19-07 19:43:21
4119475,356,19-07 19:43:22
644071,712,19-07 19:43:23
696450,712,19-07 19:43:24
1696769,0,19-07 19:43:25
4203677,0,19-07 19:43:26
4460700,0,19-07 19:43:27
4531148,0,19-07 19:43:28
5902248,0,19-07 19:43:29
4531990,0,19-07 19:43:30
4949761,0,19-07 19:43:31
2873516,0,19-07 19:43:32
3071365,712,19-07 19:43:33
5432180,712,19-07 19:43:34
2653175,1068,19-07 19:43:35
789492,356,19-07 19:43:36
867869,0,19-07 19:43:37
3649944,0,19-07 19:43:38
3742898,0,19-07 19:43:39
3449461,0,19-07 19:43:40
4916933,0,19-07 19:43:41
4593331,0,19-07 19:43:42
3774397,0,19-07 19:43:43
5295553,356,19-07 19:43:44
3120880,356,19-07 19:43:45
5399121,0,19-07 19:43:46
2162823,1424,19-07 19:43:47
1007389,1068,19-07 19:43:48
2118115,0,19-07 19:43:49
2754436,0,19-07 19:43:50
5237968,0,19-07 19:43:51
5763819,0,19-07 19:43:52
5392668,0,19-07 19:43:53
4337426,0,19-07 19:43:54
2530959,0,19-07 19:43:55
2911140,0,19-07 19:43:56
4622802,0,19-07 19:43:57
3576065,0,19-07 19:43:58
5226137,356,19-07 19:43:59
725220,1780,19-07 19:44:00
1212911,356,19-07 19:44:01
5691541,0,19-07 19:44:02
5920018,0,19-07 19:44:03
5736528,0,19-07 19:44:04
6444671,0,19-07 19:44:05
5854760,0,19-07 19:44:06
