"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain9-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 04:49:32 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 04:49:32
0,0,19-07 04:49:33
0,0,19-07 04:49:34
0,0,19-07 04:49:35
0,0,19-07 04:49:36
0,0,19-07 04:49:37
0,0,19-07 04:49:38
0,0,19-07 04:49:39
0,0,19-07 04:49:40
0,0,19-07 04:49:41
0,0,19-07 04:49:42
0,0,19-07 04:49:43
0,0,19-07 04:49:44
336797,0,19-07 04:49:45
919065,0,19-07 04:49:46
1181577,0,19-07 04:49:47
931912,0,19-07 04:49:48
1009970,0,19-07 04:49:49
1071589,0,19-07 04:49:50
902256,0,19-07 04:49:51
1131350,0,19-07 04:49:52
1144588,0,19-07 04:49:53
1079948,0,19-07 04:49:54
1097440,0,19-07 04:49:55
904396,0,19-07 04:49:56
1132352,0,19-07 04:49:57
1114960,0,19-07 04:49:58
1075948,0,19-07 04:49:59
1094821,0,19-07 04:50:00
940025,0,19-07 04:50:01
1127121,0,19-07 04:50:02
1194556,0,19-07 04:50:03
1148882,0,19-07 04:50:04
1196105,0,19-07 04:50:05
961542,0,19-07 04:50:06
1188451,0,19-07 04:50:07
1177392,0,19-07 04:50:08
1144772,0,19-07 04:50:09
1120488,0,19-07 04:50:10
861858,0,19-07 04:50:11
890745,2136,19-07 04:50:12
1004234,356,19-07 04:50:13
675410,356,19-07 04:50:14
1158730,0,19-07 04:50:15
977292,0,19-07 04:50:16
1139205,0,19-07 04:50:17
1142938,0,19-07 04:50:18
1083008,0,19-07 04:50:19
1085964,0,19-07 04:50:20
908311,0,19-07 04:50:21
1185816,0,19-07 04:50:22
1042186,356,19-07 04:50:23
1017869,712,19-07 04:50:24
1219497,0,19-07 04:50:25
837957,1068,19-07 04:50:26
1216540,356,19-07 04:50:27
1032196,1068,19-07 04:50:28
1194464,0,19-07 04:50:29
1077036,712,19-07 04:50:30
762579,356,19-07 04:50:31
1090111,356,19-07 04:50:32
1220808,0,19-07 04:50:33
1190421,0,19-07 04:50:34
1173777,0,19-07 04:50:35
959188,0,19-07 04:50:36
993807,712,19-07 04:50:37
506236,356,19-07 04:50:38
524203,712,19-07 04:50:39
553540,356,19-07 04:50:40
459278,356,19-07 04:50:41
1110998,0,19-07 04:50:42
1051376,0,19-07 04:50:43
1203992,0,19-07 04:50:44
