"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain12-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 19:06:55 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 19:06:55
0,0,19-07 19:06:56
301767,0,19-07 19:06:57
1998750,0,19-07 19:06:58
3159442,0,19-07 19:06:59
2928463,0,19-07 19:07:00
3732997,0,19-07 19:07:01
2192248,0,19-07 19:07:02
2173875,0,19-07 19:07:03
1621442,0,19-07 19:07:04
92,0,19-07 19:07:05
0,0,19-07 19:07:06
1613159,712,19-07 19:07:07
3065001,0,19-07 19:07:08
2833755,356,19-07 19:07:09
2670824,0,19-07 19:07:10
4021209,0,19-07 19:07:11
436168,356,19-07 19:07:12
389321,712,19-07 19:07:13
686482,1424,19-07 19:07:14
330781,356,19-07 19:07:15
2167432,0,19-07 19:07:16
2372804,0,19-07 19:07:17
2110653,0,19-07 19:07:18
3121778,0,19-07 19:07:19
2901968,0,19-07 19:07:20
3347416,0,19-07 19:07:21
2881236,0,19-07 19:07:22
2980820,0,19-07 19:07:23
3506503,0,19-07 19:07:24
2732591,0,19-07 19:07:25
2010316,0,19-07 19:07:26
2469795,0,19-07 19:07:27
3958358,0,19-07 19:07:28
2623652,0,19-07 19:07:29
2063616,1424,19-07 19:07:30
2957952,0,19-07 19:07:31
3063208,712,19-07 19:07:32
2657104,1068,19-07 19:07:33
2311476,0,19-07 19:07:34
3455722,0,19-07 19:07:35
1391466,356,19-07 19:07:36
471997,1068,19-07 19:07:37
766735,356,19-07 19:07:38
685495,356,19-07 19:07:39
2328227,0,19-07 19:07:40
2833197,0,19-07 19:07:41
2817203,0,19-07 19:07:42
3004566,0,19-07 19:07:43
3330128,0,19-07 19:07:44
2757822,0,19-07 19:07:45
3268163,0,19-07 19:07:46
3284545,0,19-07 19:07:47
3363353,0,19-07 19:07:48
2600857,0,19-07 19:07:49
1611967,356,19-07 19:07:50
2282515,0,19-07 19:07:51
3157611,0,19-07 19:07:52
2749883,0,19-07 19:07:53
2956465,356,19-07 19:07:54
2918028,356,19-07 19:07:55
3334638,356,19-07 19:07:56
1847352,1424,19-07 19:07:57
3844470,0,19-07 19:07:58
2532597,1068,19-07 19:07:59
425450,356,19-07 19:08:00
802569,356,19-07 19:08:01
1021708,356,19-07 19:08:02
3035594,0,19-07 19:08:03
2597445,0,19-07 19:08:04
2587800,0,19-07 19:08:05
3323726,0,19-07 19:08:06
2921208,0,19-07 19:08:07
3056628,0,19-07 19:08:08
2962742,0,19-07 19:08:09
3166998,0,19-07 19:08:10
3643755,0,19-07 19:08:11
2148289,0,19-07 19:08:12
2105408,712,19-07 19:08:13
2808901,712,19-07 19:08:14
3254595,0,19-07 19:08:15
3123124,0,19-07 19:08:16
3000706,0,19-07 19:08:17
2839279,0,19-07 19:08:18
2974228,712,19-07 19:08:19
2674321,0,19-07 19:08:20
4019181,0,19-07 19:08:21
593406,2136,19-07 19:08:22
407346,0,19-07 19:08:23
674809,712,19-07 19:08:24
1518725,0,19-07 19:08:25
3222840,0,19-07 19:08:26
2493953,0,19-07 19:08:27
3239686,0,19-07 19:08:28
3341564,0,19-07 19:08:29
2822480,0,19-07 19:08:30
2659136,0,19-07 19:08:31
2911198,0,19-07 19:08:32
3332379,0,19-07 19:08:33
2937819,0,19-07 19:08:34
1864526,0,19-07 19:08:35
2375140,356,19-07 19:08:36
3064684,0,19-07 19:08:37
3170966,0,19-07 19:08:38
3281749,0,19-07 19:08:39
2439382,2136,19-07 19:08:40
3890139,0,19-07 19:08:41
2268279,356,19-07 19:08:42
3977128,0,19-07 19:08:43
2297887,356,19-07 19:08:44
544948,1068,19-07 19:08:45
642789,356,19-07 19:08:46
434293,356,19-07 19:08:47
2480823,0,19-07 19:08:48
2617779,0,19-07 19:08:49
2545032,0,19-07 19:08:50
2671494,0,19-07 19:08:51
2747664,0,19-07 19:08:52
3832280,0,19-07 19:08:53
3133421,0,19-07 19:08:54
3017569,0,19-07 19:08:55
