"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain12-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 05:37:17 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 05:37:17
0,0,19-07 05:37:18
0,0,19-07 05:37:19
0,0,19-07 05:37:20
0,0,19-07 05:37:21
0,0,19-07 05:37:22
0,0,19-07 05:37:23
0,0,19-07 05:37:24
0,0,19-07 05:37:25
592558,0,19-07 05:37:26
1192803,0,19-07 05:37:27
1031463,0,19-07 05:37:28
1148755,0,19-07 05:37:29
913738,0,19-07 05:37:30
1023223,0,19-07 05:37:31
1112044,0,19-07 05:37:32
1117096,0,19-07 05:37:33
1119078,0,19-07 05:37:34
1124940,0,19-07 05:37:35
1114988,0,19-07 05:37:36
1120496,0,19-07 05:37:37
1114920,0,19-07 05:37:38
1112072,0,19-07 05:37:39
1122348,0,19-07 05:37:40
1146776,0,19-07 05:37:41
1135657,0,19-07 05:37:42
1109367,0,19-07 05:37:43
1193277,0,19-07 05:37:44
1130184,0,19-07 05:37:45
1171573,0,19-07 05:37:46
1195644,0,19-07 05:37:47
1204886,0,19-07 05:37:48
1202371,0,19-07 05:37:49
1178164,0,19-07 05:37:50
1137970,0,19-07 05:37:51
996297,0,19-07 05:37:52
833818,712,19-07 05:37:53
1041196,356,19-07 05:37:54
698202,0,19-07 05:37:55
1164618,0,19-07 05:37:56
1161064,0,19-07 05:37:57
1162013,0,19-07 05:37:58
1112790,0,19-07 05:37:59
1082948,0,19-07 05:38:00
1087696,0,19-07 05:38:01
1137130,1068,19-07 05:38:02
1071117,0,19-07 05:38:03
1210569,0,19-07 05:38:04
1093489,356,19-07 05:38:05
1019157,1068,19-07 05:38:06
1217237,356,19-07 05:38:07
1211514,0,19-07 05:38:08
1112938,1424,19-07 05:38:09
1061312,0,19-07 05:38:10
1016976,712,19-07 05:38:11
962530,712,19-07 05:38:12
1224905,0,19-07 05:38:13
1228649,0,19-07 05:38:14
1234533,0,19-07 05:38:15
1235768,0,19-07 05:38:16
878250,1424,19-07 05:38:17
513566,712,19-07 05:38:18
394968,356,19-07 05:38:19
557516,356,19-07 05:38:20
464159,356,19-07 05:38:21
1064478,0,19-07 05:38:22
1144600,0,19-07 05:38:23
1056029,0,19-07 05:38:24
1115442,0,19-07 05:38:25
