"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain4-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","19 Jul 2017 18:23:37 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,19-07 18:23:37
0,0,19-07 18:23:38
0,0,19-07 18:23:39
0,0,19-07 18:23:40
0,0,19-07 18:23:41
0,0,19-07 18:23:42
0,0,19-07 18:23:43
0,0,19-07 18:23:44
0,0,19-07 18:23:45
0,0,19-07 18:23:46
0,0,19-07 18:23:47
179914,0,19-07 18:23:48
1496981,0,19-07 18:23:49
2330709,0,19-07 18:23:50
2546591,0,19-07 18:23:51
3208046,0,19-07 18:23:52
2463276,0,19-07 18:23:53
3005240,0,19-07 18:23:54
2628487,0,19-07 18:23:55
2428910,0,19-07 18:23:56
2748187,0,19-07 18:23:57
3180355,0,19-07 18:23:58
2254333,0,19-07 18:23:59
1623304,2136,19-07 18:24:00
2543980,356,19-07 18:24:01
2955203,0,19-07 18:24:02
2076500,0,19-07 18:24:03
3088989,712,19-07 18:24:04
2378157,712,19-07 18:24:05
2761916,0,19-07 18:24:06
2614200,712,19-07 18:24:07
1973488,356,19-07 18:24:08
3932410,0,19-07 18:24:09
1496431,356,19-07 18:24:10
429436,356,19-07 18:24:11
585483,712,19-07 18:24:12
543135,356,19-07 18:24:13
1973082,0,19-07 18:24:14
2549360,0,19-07 18:24:15
2094785,0,19-07 18:24:16
2812290,0,19-07 18:24:17
2601696,0,19-07 18:24:18
2753828,0,19-07 18:24:19
2621944,0,19-07 18:24:20
2498629,0,19-07 18:24:21
2716697,0,19-07 18:24:22
2951422,0,19-07 18:24:23
3255743,0,19-07 18:24:24
1791800,1424,19-07 18:24:25
1986335,712,19-07 18:24:26
3177055,0,19-07 18:24:27
2580674,0,19-07 18:24:28
2616480,0,19-07 18:24:29
2617765,712,19-07 18:24:30
2926491,1068,19-07 18:24:31
2809071,0,19-07 18:24:32
1678260,712,19-07 18:24:33
3899977,0,19-07 18:24:34
2557442,356,19-07 18:24:35
469046,712,19-07 18:24:36
607333,356,19-07 18:24:37
544892,356,19-07 18:24:38
2226250,0,19-07 18:24:39
2498594,0,19-07 18:24:40
2374135,0,19-07 18:24:41
2500546,0,19-07 18:24:42
2550808,0,19-07 18:24:43
2928108,0,19-07 18:24:44
2740521,0,19-07 18:24:45
2679503,0,19-07 18:24:46
2568070,0,19-07 18:24:47
3184097,0,19-07 18:24:48
2793671,0,19-07 18:24:49
1708855,2136,19-07 18:24:50
2262784,0,19-07 18:24:51
3123356,0,19-07 18:24:52
2245446,0,19-07 18:24:53
3015673,356,19-07 18:24:54
2757291,1068,19-07 18:24:55
2666512,356,19-07 18:24:56
2699158,0,19-07 18:24:57
1604445,0,19-07 18:24:58
3668737,0,19-07 18:24:59
2676358,356,19-07 18:25:00
429406,1424,19-07 18:25:01
425193,356,19-07 18:25:02
561773,356,19-07 18:25:03
1205630,356,19-07 18:25:04
2440550,0,19-07 18:25:05
2257611,0,19-07 18:25:06
2287939,0,19-07 18:25:07
2500958,0,19-07 18:25:08
2596944,0,19-07 18:25:09
2331552,0,19-07 18:25:10
2531329,0,19-07 18:25:11
2536235,0,19-07 18:25:12
2233678,0,19-07 18:25:13
3348445,0,19-07 18:25:14
2760042,0,19-07 18:25:15
1758942,2136,19-07 18:25:16
2196634,0,19-07 18:25:17
2839108,0,19-07 18:25:18
2664906,0,19-07 18:25:19
2877285,1068,19-07 18:25:20
3233336,0,19-07 18:25:21
2932668,0,19-07 18:25:22
2782389,0,19-07 18:25:23
2304472,0,19-07 18:25:24
3951826,0,19-07 18:25:25
1142399,356,19-07 18:25:26
442521,2136,19-07 18:25:27
696741,356,19-07 18:25:28
531390,356,19-07 18:25:29
2375353,0,19-07 18:25:30
2642749,0,19-07 18:25:31
2614708,0,19-07 18:25:32
2536386,0,19-07 18:25:33
2736304,0,19-07 18:25:34
2838092,0,19-07 18:25:35
2751529,0,19-07 18:25:36
2603029,0,19-07 18:25:37
2368020,0,19-07 18:25:38
2963549,0,19-07 18:25:39
2881394,0,19-07 18:25:40
1404427,712,19-07 18:25:41
1903045,0,19-07 18:25:42
2564127,0,19-07 18:25:43
2925359,0,19-07 18:25:44
2434574,0,19-07 18:25:45
2711350,0,19-07 18:25:46
2700200,0,19-07 18:25:47
2928565,0,19-07 18:25:48
1877086,356,19-07 18:25:49
3548602,0,19-07 18:25:50
