"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain31-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","22 Jul 2017 18:14:10 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,22-07 18:14:10
1087316,0,22-07 18:14:11
1151220,0,22-07 18:14:12
1083072,0,22-07 18:14:13
1142548,0,22-07 18:14:14
981296,0,22-07 18:14:15
1025716,0,22-07 18:14:16
1075258,0,22-07 18:14:17
1164305,0,22-07 18:14:18
1044178,0,22-07 18:14:19
1149653,0,22-07 18:14:20
1170248,0,22-07 18:14:21
1202046,0,22-07 18:14:22
1177163,0,22-07 18:14:23
1103724,0,22-07 18:14:24
1181412,0,22-07 18:14:25
1102654,0,22-07 18:14:26
886059,2136,22-07 18:14:27
1067677,356,22-07 18:14:28
832558,0,22-07 18:14:29
887026,356,22-07 18:14:30
1134851,0,22-07 18:14:31
1167693,0,22-07 18:14:32
1126918,0,22-07 18:14:33
1066760,0,22-07 18:14:34
1063244,0,22-07 18:14:35
1088187,1068,22-07 18:14:36
1206604,0,22-07 18:14:37
953876,0,22-07 18:14:38
1145857,1068,22-07 18:14:39
1160968,0,22-07 18:14:40
1122399,356,22-07 18:14:41
1237193,356,22-07 18:14:42
1124240,356,22-07 18:14:43
1173374,0,22-07 18:14:44
1106247,1424,22-07 18:14:45
915287,1068,22-07 18:14:46
1192920,0,22-07 18:14:47
1188717,0,22-07 18:14:48
1164785,0,22-07 18:14:49
1206552,0,22-07 18:14:50
1126269,0,22-07 18:14:51
559372,1068,22-07 18:14:52
661183,712,22-07 18:14:53
671619,356,22-07 18:14:54
420211,0,22-07 18:14:55
1190381,0,22-07 18:14:56
1068870,0,22-07 18:14:57
1150373,0,22-07 18:14:58
939456,0,22-07 18:14:59
955214,0,22-07 18:15:00
1123969,0,22-07 18:15:01
1086148,0,22-07 18:15:02
1148198,0,22-07 18:15:03
1188660,0,22-07 18:15:04
1109788,0,22-07 18:15:05
1237460,0,22-07 18:15:06
1127996,0,22-07 18:15:07
1138192,0,22-07 18:15:08
1213556,0,22-07 18:15:09
1057556,0,22-07 18:15:10
1205426,0,22-07 18:15:11
1152412,0,22-07 18:15:12
1168983,0,22-07 18:15:13
971256,0,22-07 18:15:14
1102005,0,22-07 18:15:15
1079592,0,22-07 18:15:16
1118438,0,22-07 18:15:17
1149739,0,22-07 18:15:18
1127524,0,22-07 18:15:19
1123992,0,22-07 18:15:20
995532,0,22-07 18:15:21
927771,0,22-07 18:15:22
948521,2136,22-07 18:15:23
972811,356,22-07 18:15:24
686919,356,22-07 18:15:25
1145415,0,22-07 18:15:26
1184096,0,22-07 18:15:27
1163485,0,22-07 18:15:28
1150994,0,22-07 18:15:29
1172596,0,22-07 18:15:30
1164828,0,22-07 18:15:31
1158184,1068,22-07 18:15:32
1040160,712,22-07 18:15:33
1055151,356,22-07 18:15:34
977381,0,22-07 18:15:35
1013716,1424,22-07 18:15:36
1148204,356,22-07 18:15:37
1162992,0,22-07 18:15:38
1198782,356,22-07 18:15:39
1042772,712,22-07 18:15:40
960910,356,22-07 18:15:41
936986,0,22-07 18:15:42
1123501,0,22-07 18:15:43
1146925,0,22-07 18:15:44
1177045,0,22-07 18:15:45
1159480,0,22-07 18:15:46
1120134,0,22-07 18:15:47
591665,1068,22-07 18:15:48
582706,1424,22-07 18:15:49
581586,712,22-07 18:15:50
603568,0,22-07 18:15:51
1126068,0,22-07 18:15:52
1323370,0,22-07 18:15:53
1234785,0,22-07 18:15:54
1055378,0,22-07 18:15:55
1197423,0,22-07 18:15:56
1187604,0,22-07 18:15:57
1185516,0,22-07 18:15:58
1215978,0,22-07 18:15:59
1224608,0,22-07 18:16:00
1240300,0,22-07 18:16:01
1260096,0,22-07 18:16:02
