"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain3-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 06:57:46 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 06:57:46
0,0,27-07 06:57:47
0,0,27-07 06:57:48
95,95,27-07 06:57:49
0,0,27-07 06:57:50
0,0,27-07 06:57:51
0,0,27-07 06:57:52
0,0,27-07 06:57:53
42,42,27-07 06:57:54
0,0,27-07 06:57:55
7982574,46538,27-07 06:57:56
12548936,75636,27-07 06:57:57
12527080,75240,27-07 06:57:58
12659831,68405,27-07 06:57:59
12658944,75900,27-07 06:58:00
12527080,75240,27-07 06:58:01
12527146,75306,27-07 06:58:02
12527212,69828,27-07 06:58:03
12658944,76032,27-07 06:58:04
12527080,75240,27-07 06:58:05
12672904,61176,27-07 06:58:06
12528004,70224,27-07 06:58:07
12528004,76164,27-07 06:58:08
12659567,68651,27-07 06:58:09
12527212,75372,27-07 06:58:10
12527080,74910,27-07 06:58:11
12659604,73326,27-07 06:58:12
12527080,75240,27-07 06:58:13
12658944,76032,27-07 06:58:14
12527080,75240,27-07 06:58:15
12527080,75240,27-07 06:58:16
12659934,76164,27-07 06:58:17
12527344,75042,27-07 06:58:18
12527769,75929,27-07 06:58:19
12659010,73722,27-07 06:58:20
12527080,75240,27-07 06:58:21
12659406,64218,27-07 06:58:22
12658944,75570,27-07 06:58:23
12395282,69960,27-07 06:58:24
12527080,75240,27-07 06:58:25
12528070,75240,27-07 06:58:26
12659010,75108,27-07 06:58:27
12658944,75636,27-07 06:58:28
12527175,75335,27-07 06:58:29
12527806,70686,27-07 06:58:30
12659208,72666,27-07 06:58:31
12528004,75900,27-07 06:58:32
12527542,75702,27-07 06:58:33
12791072,77088,27-07 06:58:34
12395348,72204,27-07 06:58:35
12659208,75108,27-07 06:58:36
12527608,75768,27-07 06:58:37
12527080,75042,27-07 06:58:38
12659765,76523,27-07 06:58:39
12527674,75504,27-07 06:58:40
12660198,75834,27-07 06:58:41
12527518,75414,27-07 06:58:42
12527344,75504,27-07 06:58:43
12527476,75636,27-07 06:58:44
12658944,76032,27-07 06:58:45
12528070,72864,27-07 06:58:46
12659844,76536,27-07 06:58:47
12527608,74316,27-07 06:58:48
12527175,75335,27-07 06:58:49
12659010,76098,27-07 06:58:50
12527146,73668,27-07 06:58:51
12659208,73194,27-07 06:58:52
12527080,75240,27-07 06:58:53
12527080,75240,27-07 06:58:54
12527080,75240,27-07 06:58:55
