"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain0-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","28 Jul 2017 17:03:38 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,28-07 17:03:38
0,0,28-07 17:03:39
42,42,28-07 17:03:40
0,0,28-07 17:03:41
0,0,28-07 17:03:42
0,0,28-07 17:03:43
0,0,28-07 17:03:44
95,95,28-07 17:03:45
0,0,28-07 17:03:46
0,0,28-07 17:03:47
0,0,28-07 17:03:48
0,0,28-07 17:03:49
42,42,28-07 17:03:50
812221,0,28-07 17:03:51
1307557,0,28-07 17:03:52
1296833,0,28-07 17:03:53
1333175,0,28-07 17:03:54
1226874,95,28-07 17:03:55
1354292,0,28-07 17:03:56
1347789,0,28-07 17:03:57
1370177,0,28-07 17:03:58
1348524,0,28-07 17:03:59
1362282,0,28-07 17:04:00
1352833,0,28-07 17:04:01
1321045,0,28-07 17:04:02
1369324,0,28-07 17:04:03
1349174,0,28-07 17:04:04
1380531,95,28-07 17:04:05
1358115,0,28-07 17:04:06
1348764,0,28-07 17:04:07
1393806,0,28-07 17:04:08
1387061,0,28-07 17:04:09
1373121,0,28-07 17:04:10
1365053,0,28-07 17:04:11
1377255,0,28-07 17:04:12
1338474,0,28-07 17:04:13
1320512,0,28-07 17:04:14
1289566,95,28-07 17:04:15
1241281,717,28-07 17:04:16
1170300,0,28-07 17:04:17
409455,42,28-07 17:04:18
742032,510,28-07 17:04:19
1293978,0,28-07 17:04:20
1363803,0,28-07 17:04:21
1369530,0,28-07 17:04:22
1349333,0,28-07 17:04:23
1385113,0,28-07 17:04:24
1342240,749,28-07 17:04:25
1340684,510,28-07 17:04:26
1367183,255,28-07 17:04:27
1365124,255,28-07 17:04:28
1383540,510,28-07 17:04:29
1354460,42,28-07 17:04:30
1364010,765,28-07 17:04:31
1361794,0,28-07 17:04:32
1318295,255,28-07 17:04:33
1220038,502,28-07 17:04:34
1357521,0,28-07 17:04:35
1366574,0,28-07 17:04:36
1368360,0,28-07 17:04:37
1363761,0,28-07 17:04:38
1256816,1275,28-07 17:04:39
1161463,247,28-07 17:04:40
1020662,255,28-07 17:04:41
1174051,0,28-07 17:04:42
1360803,0,28-07 17:04:43
1307306,0,28-07 17:04:44
1258777,0,28-07 17:04:45
1363151,0,28-07 17:04:46
1349149,0,28-07 17:04:47
1358861,0,28-07 17:04:48
