"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain2-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","08 Dec 2017 00:08:19 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,08-12 00:08:19
95,95,08-12 00:08:20
0,0,08-12 00:08:21
0,0,08-12 00:08:22
0,0,08-12 00:08:23
0,0,08-12 00:08:24
0,0,08-12 00:08:25
42,42,08-12 00:08:26
0,0,08-12 00:08:27
0,0,08-12 00:08:28
0,0,08-12 00:08:29
95,95,08-12 00:08:30
0,0,08-12 00:08:31
0,0,08-12 00:08:32
0,0,08-12 00:08:33
0,0,08-12 00:08:34
0,0,08-12 00:08:35
0,0,08-12 00:08:36
0,0,08-12 00:08:37
0,0,08-12 00:08:38
496582,0,08-12 00:08:39
1277427,95,08-12 00:08:40
1362984,0,08-12 00:08:41
1345514,0,08-12 00:08:42
1413338,0,08-12 00:08:43
1410408,0,08-12 00:08:44
1409960,42,08-12 00:08:45
1408946,0,08-12 00:08:46
1405243,0,08-12 00:08:47
1413755,0,08-12 00:08:48
1395827,95,08-12 00:08:49
1397354,0,08-12 00:08:50
1400664,0,08-12 00:08:51
1417787,0,08-12 00:08:52
1418096,0,08-12 00:08:53
1375580,0,08-12 00:08:54
1399278,0,08-12 00:08:55
1409717,0,08-12 00:08:56
1376384,0,08-12 00:08:57
1378034,0,08-12 00:08:58
1400800,95,08-12 00:08:59
1386939,0,08-12 00:09:00
1393858,0,08-12 00:09:01
1338289,1434,08-12 00:09:02
1383858,0,08-12 00:09:03
938397,255,08-12 00:09:04
1381791,0,08-12 00:09:05
1391532,0,08-12 00:09:06
1377818,0,08-12 00:09:07
1362405,0,08-12 00:09:08
1366833,0,08-12 00:09:09
1368708,749,08-12 00:09:10
1320249,765,08-12 00:09:11
1326510,0,08-12 00:09:12
1364988,510,08-12 00:09:13
1377576,255,08-12 00:09:14
1375541,297,08-12 00:09:15
1395107,0,08-12 00:09:16
1374793,0,08-12 00:09:17
1365592,510,08-12 00:09:18
1345206,494,08-12 00:09:19
1355130,0,08-12 00:09:20
1354069,0,08-12 00:09:21
1384779,0,08-12 00:09:22
1380719,0,08-12 00:09:23
1357668,1530,08-12 00:09:24
1244850,255,08-12 00:09:25
849816,0,08-12 00:09:26
1383665,0,08-12 00:09:27
1377292,0,08-12 00:09:28
1374109,0,08-12 00:09:29
1275467,0,08-12 00:09:30
1389756,0,08-12 00:09:31
1380986,0,08-12 00:09:32
1367424,0,08-12 00:09:33
1345990,95,08-12 00:09:34
1375598,0,08-12 00:09:35
1355241,42,08-12 00:09:36
1382267,0,08-12 00:09:37
1407300,0,08-12 00:09:38
1370141,0,08-12 00:09:39
1364068,0,08-12 00:09:40
1318300,0,08-12 00:09:41
1372280,0,08-12 00:09:42
1371562,0,08-12 00:09:43
1392896,95,08-12 00:09:44
1393830,0,08-12 00:09:45
1379525,0,08-12 00:09:46
1369893,0,08-12 00:09:47
1386756,0,08-12 00:09:48
1377309,0,08-12 00:09:49
1377841,0,08-12 00:09:50
1325010,478,08-12 00:09:51
1363785,247,08-12 00:09:52
925182,510,08-12 00:09:53
1356663,0,08-12 00:09:54
1391532,0,08-12 00:09:55
1375254,0,08-12 00:09:56
1394847,0,08-12 00:09:57
1391681,0,08-12 00:09:58
1376467,749,08-12 00:09:59
1326251,1020,08-12 00:10:00
1382322,255,08-12 00:10:01
1348403,0,08-12 00:10:02
1384249,255,08-12 00:10:03
1369512,297,08-12 00:10:04
1385516,255,08-12 00:10:05
1353768,0,08-12 00:10:06
1370640,510,08-12 00:10:07
1331282,494,08-12 00:10:08
1389556,0,08-12 00:10:09
1368077,0,08-12 00:10:10
1369387,0,08-12 00:10:11
1378570,0,08-12 00:10:12
1319402,1259,08-12 00:10:13
1214494,255,08-12 00:10:14
843138,255,08-12 00:10:15
1384100,0,08-12 00:10:16
1376531,0,08-12 00:10:17
1380584,0,08-12 00:10:18
1287276,0,08-12 00:10:19
1402453,0,08-12 00:10:20
1367891,0,08-12 00:10:21
1385266,0,08-12 00:10:22
1398802,0,08-12 00:10:23
1394052,95,08-12 00:10:24
1391536,0,08-12 00:10:25
1362446,0,08-12 00:10:26
1393220,42,08-12 00:10:27
1389486,0,08-12 00:10:28
1402052,0,08-12 00:10:29
1401735,0,08-12 00:10:30
1404442,0,08-12 00:10:31
1367132,0,08-12 00:10:32
1376122,0,08-12 00:10:33
1404954,95,08-12 00:10:34
1361372,0,08-12 00:10:35
1372512,0,08-12 00:10:36
1398657,0,08-12 00:10:37
1373623,0,08-12 00:10:38
1404568,0,08-12 00:10:39
1314655,1434,08-12 00:10:40
1321605,0,08-12 00:10:41
914839,0,08-12 00:10:42
1401735,0,08-12 00:10:43
1372569,0,08-12 00:10:44
1379559,0,08-12 00:10:45
1385035,0,08-12 00:10:46
1386003,0,08-12 00:10:47
1343339,749,08-12 00:10:48
1362018,510,08-12 00:10:49
1368220,765,08-12 00:10:50
1357247,0,08-12 00:10:51
1382560,255,08-12 00:10:52
1360891,297,08-12 00:10:53
1365545,255,08-12 00:10:54
1336746,510,08-12 00:10:55
1304208,255,08-12 00:10:56
1388579,247,08-12 00:10:57
1355532,0,08-12 00:10:58
1369443,0,08-12 00:10:59
1355869,0,08-12 00:11:00
1379537,0,08-12 00:11:01
1323424,510,08-12 00:11:02
1231210,765,08-12 00:11:03
1027713,510,08-12 00:11:04
1395863,0,08-12 00:11:05
1392372,0,08-12 00:11:06
1395082,0,08-12 00:11:07
1302863,0,08-12 00:11:08
1373495,0,08-12 00:11:09
1387172,0,08-12 00:11:10
1357583,0,08-12 00:11:11
1399570,0,08-12 00:11:12
1382654,95,08-12 00:11:13
1362565,0,08-12 00:11:14
1362741,0,08-12 00:11:15
1364458,0,08-12 00:11:16
1389129,0,08-12 00:11:17
1404507,42,08-12 00:11:18
1386287,0,08-12 00:11:19
1380171,0,08-12 00:11:20
1391490,0,08-12 00:11:21
1396051,0,08-12 00:11:22
1385820,95,08-12 00:11:23
1393187,0,08-12 00:11:24
1391462,0,08-12 00:11:25
1395142,0,08-12 00:11:26
1367935,0,08-12 00:11:27
1305122,0,08-12 00:11:28
1329462,1434,08-12 00:11:29
1139336,0,08-12 00:11:30
1145081,0,08-12 00:11:31
1376742,0,08-12 00:11:32
1384440,0,08-12 00:11:33
1383594,0,08-12 00:11:34
1391698,0,08-12 00:11:35
1377946,0,08-12 00:11:36
1365485,749,08-12 00:11:37
1358503,1020,08-12 00:11:38
1367679,255,08-12 00:11:39
1366976,255,08-12 00:11:40
1360553,255,08-12 00:11:41
1373336,42,08-12 00:11:42
1331336,510,08-12 00:11:43
1291545,0,08-12 00:11:44
1266819,494,08-12 00:11:45
1296570,247,08-12 00:11:46
1368900,0,08-12 00:11:47
1320653,0,08-12 00:11:48
1358034,0,08-12 00:11:49
1365634,0,08-12 00:11:50
1259778,0,08-12 00:11:51
1165012,1275,08-12 00:11:52
1057237,510,08-12 00:11:53
