"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain23-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 19:38:11 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 19:38:11
95,95,27-07 19:38:12
0,0,27-07 19:38:13
0,0,27-07 19:38:14
0,0,27-07 19:38:15
0,0,27-07 19:38:16
0,0,27-07 19:38:17
0,0,27-07 19:38:18
0,0,27-07 19:38:19
0,0,27-07 19:38:20
0,0,27-07 19:38:21
95,95,27-07 19:38:22
0,0,27-07 19:38:23
0,0,27-07 19:38:24
0,0,27-07 19:38:25
0,0,27-07 19:38:26
42,42,27-07 19:38:27
0,0,27-07 19:38:28
0,0,27-07 19:38:29
0,0,27-07 19:38:30
95,95,27-07 19:38:31
0,0,27-07 19:38:32
0,0,27-07 19:38:33
0,0,27-07 19:38:34
0,0,27-07 19:38:35
42,42,27-07 19:38:36
0,0,27-07 19:38:37
0,0,27-07 19:38:38
0,0,27-07 19:38:39
0,0,27-07 19:38:40
95,95,27-07 19:38:41
0,0,27-07 19:38:42
0,0,27-07 19:38:43
0,0,27-07 19:38:44
0,0,27-07 19:38:45
0,0,27-07 19:38:46
0,0,27-07 19:38:47
0,0,27-07 19:38:48
0,0,27-07 19:38:49
0,0,27-07 19:38:50
95,95,27-07 19:38:51
0,0,27-07 19:38:52
0,0,27-07 19:38:53
0,0,27-07 19:38:54
0,0,27-07 19:38:55
42,42,27-07 19:38:56
0,0,27-07 19:38:57
0,0,27-07 19:38:58
0,0,27-07 19:38:59
0,0,27-07 19:39:00
95,95,27-07 19:39:01
0,0,27-07 19:39:02
0,0,27-07 19:39:03
0,0,27-07 19:39:04
0,0,27-07 19:39:05
0,0,27-07 19:39:06
0,0,27-07 19:39:07
0,0,27-07 19:39:08
0,0,27-07 19:39:09
0,0,27-07 19:39:10
0,0,27-07 19:39:11
95,95,27-07 19:39:12
0,0,27-07 19:39:13
0,0,27-07 19:39:14
0,0,27-07 19:39:15
0,0,27-07 19:39:16
0,0,27-07 19:39:17
0,0,27-07 19:39:18
0,0,27-07 19:39:19
0,0,27-07 19:39:20
0,0,27-07 19:39:21
95,95,27-07 19:39:22
0,0,27-07 19:39:23
0,0,27-07 19:39:24
0,0,27-07 19:39:25
0,0,27-07 19:39:26
84,84,27-07 19:39:27
0,0,27-07 19:39:28
0,0,27-07 19:39:29
0,0,27-07 19:39:30
0,0,27-07 19:39:31
95,95,27-07 19:39:32
0,0,27-07 19:39:33
0,0,27-07 19:39:34
0,0,27-07 19:39:35
0,0,27-07 19:39:36
0,0,27-07 19:39:37
0,0,27-07 19:39:38
