"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain6-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 06:57:45 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 06:57:45
0,0,27-07 06:57:46
0,0,27-07 06:57:47
0,0,27-07 06:57:48
0,0,27-07 06:57:49
0,0,27-07 06:57:50
95,95,27-07 06:57:51
0,0,27-07 06:57:52
0,0,27-07 06:57:53
0,0,27-07 06:57:54
0,0,27-07 06:57:55
42,42,27-07 06:57:56
6672424,40646,27-07 06:57:57
12659340,67056,27-07 06:57:58
12659340,65670,27-07 06:57:59
12395810,70884,27-07 06:58:00
12659105,75401,27-07 06:58:01
12527080,75240,27-07 06:58:02
12658944,76032,27-07 06:58:03
12527410,66462,27-07 06:58:04
12659604,70422,27-07 06:58:05
12264012,62436,27-07 06:58:06
12791996,74646,27-07 06:58:07
12792062,67386,27-07 06:58:08
12264474,69564,27-07 06:58:09
12659472,76296,27-07 06:58:10
12527175,75335,27-07 06:58:11
12659538,76626,27-07 06:58:12
12527146,74646,27-07 06:58:13
12527410,74514,27-07 06:58:14
12658944,76032,27-07 06:58:15
12527146,69630,27-07 06:58:16
12658944,76032,27-07 06:58:17
12527212,72798,27-07 06:58:18
12527212,71874,27-07 06:58:19
12659472,71478,27-07 06:58:20
12527505,75665,27-07 06:58:21
12527080,74646,27-07 06:58:22
12658944,76032,27-07 06:58:23
12395348,69498,27-07 06:58:24
12659472,76362,27-07 06:58:25
12658944,76032,27-07 06:58:26
12527608,73194,27-07 06:58:27
12658944,76032,27-07 06:58:28
12527146,70554,27-07 06:58:29
12527080,74910,27-07 06:58:30
12659472,75504,27-07 06:58:31
12527505,74279,27-07 06:58:32
12527080,75240,27-07 06:58:33
12527740,75504,27-07 06:58:34
12658944,76032,27-07 06:58:35
12527080,75240,27-07 06:58:36
12658944,76032,27-07 06:58:37
12527542,74580,27-07 06:58:38
12659010,72402,27-07 06:58:39
12527650,75150,27-07 06:58:40
12527080,75240,27-07 06:58:41
12659501,74213,27-07 06:58:42
12527542,75636,27-07 06:58:43
12658944,76032,27-07 06:58:44
12658944,76032,27-07 06:58:45
12395258,74094,27-07 06:58:46
12658944,75966,27-07 06:58:47
12527080,74976,27-07 06:58:48
12791270,76164,27-07 06:58:49
12395612,74844,27-07 06:58:50
12528136,74778,27-07 06:58:51
12660491,74345,27-07 06:58:52
12527410,73458,27-07 06:58:53
12527146,73788,27-07 06:58:54
12658944,76032,27-07 06:58:55
12527080,75240,27-07 06:58:56
12527080,75240,27-07 06:58:57
