"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain9-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 22:07:12 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 22:07:12
42,42,27-07 22:07:13
0,0,27-07 22:07:14
0,0,27-07 22:07:15
0,0,27-07 22:07:16
95,95,27-07 22:07:17
0,0,27-07 22:07:18
0,0,27-07 22:07:19
0,0,27-07 22:07:20
0,0,27-07 22:07:21
1656955,33944,27-07 22:07:22
12833556,206876,27-07 22:07:23
14235354,258846,27-07 22:07:24
10528134,167304,27-07 22:07:25
10084546,227442,27-07 22:07:26
16731785,183197,27-07 22:07:27
9473552,218850,27-07 22:07:28
9333984,255546,27-07 22:07:29
10845886,201816,27-07 22:07:30
8792704,167886,27-07 22:07:31
14386560,213672,27-07 22:07:32
24764458,191376,27-07 22:07:33
11282438,228930,27-07 22:07:34
9804162,253926,27-07 22:07:35
10483654,264378,27-07 22:07:36
10832333,221273,27-07 22:07:37
10639110,225336,27-07 22:07:38
10674354,237960,27-07 22:07:39
11278170,251694,27-07 22:07:40
25316744,175164,27-07 22:07:41
10511644,244362,27-07 22:07:42
13780494,186600,27-07 22:07:43
8188674,175590,27-07 22:07:44
11451720,230100,27-07 22:07:45
11833448,255918,27-07 22:07:46
22025477,209651,27-07 22:07:47
10947626,214002,27-07 22:07:48
8837756,179544,27-07 22:07:49
11063116,266100,27-07 22:07:50
11660530,276558,27-07 22:07:51
11323656,250308,27-07 22:07:52
10998952,235092,27-07 22:07:53
8576380,209010,27-07 22:07:54
8715982,195690,27-07 22:07:55
11745642,253740,27-07 22:07:56
11639447,245045,27-07 22:07:57
11338018,246336,27-07 22:07:58
10098612,212406,27-07 22:07:59
10266404,240546,27-07 22:08:00
11789060,252024,27-07 22:08:01
11112886,230658,27-07 22:08:02
11030228,242658,27-07 22:08:03
11429776,263178,27-07 22:08:04
12591548,325848,27-07 22:08:05
10953612,238374,27-07 22:08:06
10921355,231125,27-07 22:08:07
19554762,276782,27-07 22:08:08
44890374,116196,27-07 22:08:09
13319726,156708,27-07 22:08:10
12276726,162780,27-07 22:08:11
13184236,148758,27-07 22:08:12
12582920,142620,27-07 22:08:13
13293512,152820,27-07 22:08:14
12919976,130362,27-07 22:08:15
12685674,175980,27-07 22:08:16
12820159,175019,27-07 22:08:17
11330918,217644,27-07 22:08:18
13217866,163602,27-07 22:08:19
13819432,205524,27-07 22:08:20
11878246,139620,27-07 22:08:21
13242958,163488,27-07 22:08:22
12706534,141378,27-07 22:08:23
12872210,162114,27-07 22:08:24
12630906,146724,27-07 22:08:25
12254170,164478,27-07 22:08:26
13636703,150143,27-07 22:08:27
12264896,131100,27-07 22:08:28
13419160,134718,27-07 22:08:29
10769942,147282,27-07 22:08:30
13694826,179550,27-07 22:08:31
13791938,153330,27-07 22:08:32
