"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain45-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 18:19:56 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 18:19:56
0,0,27-07 18:19:57
0,0,27-07 18:19:58
0,0,27-07 18:19:59
0,0,27-07 18:20:00
0,0,27-07 18:20:01
95,95,27-07 18:20:02
0,0,27-07 18:20:03
0,0,27-07 18:20:04
0,0,27-07 18:20:05
0,0,27-07 18:20:06
406349,8864,27-07 18:20:07
1598212,30876,27-07 18:20:08
1355724,32220,27-07 18:20:09
1352102,27138,27-07 18:20:10
1351244,26490,27-07 18:20:11
1349565,31283,27-07 18:20:12
1355856,33528,27-07 18:20:13
1352102,30570,27-07 18:20:14
1352036,28920,27-07 18:20:15
1352894,32076,27-07 18:20:16
1352234,28524,27-07 18:20:17
1352276,31890,27-07 18:20:18
1352168,30594,27-07 18:20:19
1352762,32022,27-07 18:20:20
1352762,33948,27-07 18:20:21
1349829,33371,27-07 18:20:22
1355526,32544,27-07 18:20:23
1351706,30702,27-07 18:20:24
1352168,32100,27-07 18:20:25
1349932,36828,27-07 18:20:26
1355856,34344,27-07 18:20:27
1352762,33132,27-07 18:20:28
1352960,38568,27-07 18:20:29
1352960,39678,27-07 18:20:30
1362682,39018,27-07 18:20:31
1343172,34914,27-07 18:20:32
1353055,36077,27-07 18:20:33
1352960,36168,27-07 18:20:34
1352960,35466,27-07 18:20:35
1349932,35268,27-07 18:20:36
1355922,35904,27-07 18:20:37
1352960,34398,27-07 18:20:38
1352894,33564,27-07 18:20:39
1349338,32298,27-07 18:20:40
1355790,31824,27-07 18:20:41
1354160,33090,27-07 18:20:42
1351789,34571,27-07 18:20:43
1354028,32112,27-07 18:20:44
1351694,35124,27-07 18:20:45
1352762,33144,27-07 18:20:46
1352894,34764,27-07 18:20:47
1352828,34848,27-07 18:20:48
1352960,33300,27-07 18:20:49
1352960,35850,27-07 18:20:50
1352894,35442,27-07 18:20:51
1352936,35562,27-07 18:20:52
1353055,35747,27-07 18:20:53
1352960,36246,27-07 18:20:54
1351968,34008,27-07 18:20:55
1355592,29568,27-07 18:20:56
1352894,34992,27-07 18:20:57
1352564,34488,27-07 18:20:58
1352696,29580,27-07 18:20:59
1352828,31704,27-07 18:21:00
1356990,34278,27-07 18:21:01
1355724,32934,27-07 18:21:02
1347131,36089,27-07 18:21:03
1348732,35112,27-07 18:21:04
1355922,36312,27-07 18:21:05
1352762,34674,27-07 18:21:06
1349668,32628,27-07 18:21:07
1357230,38664,27-07 18:21:08
1351628,35586,27-07 18:21:09
1352960,36336,27-07 18:21:10
1352960,34248,27-07 18:21:11
1352960,35190,27-07 18:21:12
1357217,39203,27-07 18:21:13
1352960,39204,27-07 18:21:14
