"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain30-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 21:33:04 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 21:33:04
0,0,27-07 21:33:05
0,0,27-07 21:33:06
0,0,27-07 21:33:07
0,0,27-07 21:33:08
0,0,27-07 21:33:09
0,0,27-07 21:33:10
95,95,27-07 21:33:11
243,74,27-07 21:33:12
1083154,31770,27-07 21:33:13
1352960,35652,27-07 21:33:14
1352960,35772,27-07 21:33:15
1352960,36102,27-07 21:33:16
1322368,36192,27-07 21:33:17
1352960,37752,27-07 21:33:18
1352960,38424,27-07 21:33:19
1352276,34374,27-07 21:33:20
1352828,36510,27-07 21:33:21
1353055,36407,27-07 21:33:22
1352894,35388,27-07 21:33:23
1352894,34386,27-07 21:33:24
1352960,36492,27-07 21:33:25
1352894,36084,27-07 21:33:26
1352894,36114,27-07 21:33:27
1351640,31890,27-07 21:33:28
1351970,31704,27-07 21:33:29
1355360,34182,27-07 21:33:30
1352894,35346,27-07 21:33:31
1352395,33815,27-07 21:33:32
1352102,33408,27-07 21:33:33
1353978,35622,27-07 21:33:34
1352894,38406,27-07 21:33:35
1352960,35700,27-07 21:33:36
1352960,36468,27-07 21:33:37
1352960,35664,27-07 21:33:38
1352960,36312,27-07 21:33:39
1352894,35442,27-07 21:33:40
1352894,35532,27-07 21:33:41
1353055,36101,27-07 21:33:42
1352960,36102,27-07 21:33:43
1352960,35784,27-07 21:33:44
1352960,35190,27-07 21:33:45
1352960,36564,27-07 21:33:46
1352960,36510,27-07 21:33:47
1352960,37026,27-07 21:33:48
1352960,37356,27-07 21:33:49
1352960,36138,27-07 21:33:50
1352960,36192,27-07 21:33:51
1352263,33623,27-07 21:33:52
1353002,35364,27-07 21:33:53
1352960,35874,27-07 21:33:54
1352960,37884,27-07 21:33:55
1352894,35256,27-07 21:33:56
1352960,35904,27-07 21:33:57
1352960,35598,27-07 21:33:58
1352960,36798,27-07 21:33:59
1352960,38490,27-07 21:34:00
1352828,35466,27-07 21:34:01
1353097,37241,27-07 21:34:02
1352960,35706,27-07 21:34:03
1352828,35508,27-07 21:34:04
1352894,34896,27-07 21:34:05
1352960,35610,27-07 21:34:06
1352234,34452,27-07 21:34:07
1352960,37026,27-07 21:34:08
1352960,36498,27-07 21:34:09
1352894,36006,27-07 21:34:10
1352960,35454,27-07 21:34:11
1353055,36077,27-07 21:34:12
1352762,34476,27-07 21:34:13
1352894,35400,27-07 21:34:14
1352234,30834,27-07 21:34:15
1352828,34464,27-07 21:34:16
1352894,34386,27-07 21:34:17
1352960,38952,27-07 21:34:18
1352960,36378,27-07 21:34:19
1352894,34794,27-07 21:34:20
1352960,35016,27-07 21:34:21
1353055,36551,27-07 21:34:22
1352960,36522,27-07 21:34:23
1352960,36654,27-07 21:34:24
1352894,35640,27-07 21:34:25
1352960,39084,27-07 21:34:26
1352960,36192,27-07 21:34:27
1352894,36576,27-07 21:34:28
1352960,36138,27-07 21:34:29
1352894,37038,27-07 21:34:30
1354160,35976,27-07 21:34:31
1353055,36197,27-07 21:34:32
1352936,34692,27-07 21:34:33
1352960,37248,27-07 21:34:34
1352828,34278,27-07 21:34:35
1352498,34452,27-07 21:34:36
1352960,36852,27-07 21:34:37
1352960,37566,27-07 21:34:38
1352960,35994,27-07 21:34:39
1352960,36432,27-07 21:34:40
1352960,36048,27-07 21:34:41
1352960,37566,27-07 21:34:42
