"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain23-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 17:50:09 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 17:50:09
0,0,27-07 17:50:10
0,0,27-07 17:50:11
0,0,27-07 17:50:12
0,0,27-07 17:50:13
0,0,27-07 17:50:14
0,0,27-07 17:50:15
0,0,27-07 17:50:16
95,95,27-07 17:50:17
0,0,27-07 17:50:18
0,0,27-07 17:50:19
0,0,27-07 17:50:20
0,0,27-07 17:50:21
42,42,27-07 17:50:22
0,0,27-07 17:50:23
0,0,27-07 17:50:24
0,0,27-07 17:50:25
0,0,27-07 17:50:26
95,95,27-07 17:50:27
0,0,27-07 17:50:28
812699,22868,27-07 17:50:29
1352894,35178,27-07 17:50:30
1352960,36708,27-07 17:50:31
1352828,34992,27-07 17:50:32
1352960,36102,27-07 17:50:33
1352960,37578,27-07 17:50:34
1352366,34134,27-07 17:50:35
1352894,37302,27-07 17:50:36
1353097,34853,27-07 17:50:37
1352828,37104,27-07 17:50:38
1332702,33594,27-07 17:50:39
1352960,36510,27-07 17:50:40
1352960,35850,27-07 17:50:41
1352828,34908,27-07 17:50:42
1352432,34794,27-07 17:50:43
1352960,37722,27-07 17:50:44
1352960,35520,27-07 17:50:45
1352894,35490,27-07 17:50:46
1352989,35351,27-07 17:50:47
1352762,34500,27-07 17:50:48
1352894,35652,27-07 17:50:49
1352960,35508,27-07 17:50:50
1352894,36192,27-07 17:50:51
1352960,36312,27-07 17:50:52
1352960,36468,27-07 17:50:53
1352960,37908,27-07 17:50:54
1352960,35454,27-07 17:50:55
1352960,35718,27-07 17:50:56
1353055,37409,27-07 17:50:57
1352300,33000,27-07 17:50:58
1352828,34056,27-07 17:50:59
1352960,37170,27-07 17:51:00
1352960,36192,27-07 17:51:01
1352960,35520,27-07 17:51:02
1352960,36228,27-07 17:51:03
1352960,35058,27-07 17:51:04
1352960,36444,27-07 17:51:05
1352960,36432,27-07 17:51:06
1353055,35273,27-07 17:51:07
1352828,34266,27-07 17:51:08
1352960,36696,27-07 17:51:09
1352960,37620,27-07 17:51:10
1352960,38412,27-07 17:51:11
1353002,36474,27-07 17:51:12
1355492,36924,27-07 17:51:13
1352960,36534,27-07 17:51:14
1352960,36246,27-07 17:51:15
1352894,34914,27-07 17:51:16
1353097,35549,27-07 17:51:17
1352894,35850,27-07 17:51:18
1352762,34254,27-07 17:51:19
1352960,35640,27-07 17:51:20
1352960,37686,27-07 17:51:21
1352960,36180,27-07 17:51:22
1352960,36798,27-07 17:51:23
1352960,35706,27-07 17:51:24
1352960,37590,27-07 17:51:25
