"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain10-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","27 Jul 2017 21:02:36 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,27-07 21:02:36
0,0,27-07 21:02:37
0,0,27-07 21:02:38
0,0,27-07 21:02:39
0,0,27-07 21:02:40
0,0,27-07 21:02:41
0,0,27-07 21:02:42
677303,15427,27-07 21:02:43
1355030,31332,27-07 21:02:44
1352102,29394,27-07 21:02:45
1352432,31218,27-07 21:02:46
1352630,31032,27-07 21:02:47
1353822,31350,27-07 21:02:48
1352762,31440,27-07 21:02:49
1352498,29316,27-07 21:02:50
1352696,30714,27-07 21:02:51
1316180,27468,27-07 21:02:52
1351801,26519,27-07 21:02:53
1355294,30552,27-07 21:02:54
1352564,28326,27-07 21:02:55
1352828,28656,27-07 21:02:56
1351838,28284,27-07 21:02:57
1352102,29550,27-07 21:02:58
1355162,30852,27-07 21:02:59
1352828,30900,27-07 21:03:00
1352630,31020,27-07 21:03:01
1352989,30329,27-07 21:03:02
1352630,29448,27-07 21:03:03
1352696,31098,27-07 21:03:04
1352762,29844,27-07 21:03:05
1352630,30030,27-07 21:03:06
1352036,29328,27-07 21:03:07
1352036,29154,27-07 21:03:08
1352696,31452,27-07 21:03:09
1352696,32628,27-07 21:03:10
1352564,32430,27-07 21:03:11
1352659,29477,27-07 21:03:12
1352564,30978,27-07 21:03:13
1352432,31692,27-07 21:03:14
1352630,30162,27-07 21:03:15
1352630,30768,27-07 21:03:16
1352762,30372,27-07 21:03:17
1352696,30186,27-07 21:03:18
1352606,31110,27-07 21:03:19
1352564,29448,27-07 21:03:20
1352432,29976,27-07 21:03:21
1352659,30545,27-07 21:03:22
1352630,30030,27-07 21:03:23
1352498,31152,27-07 21:03:24
1352696,29514,27-07 21:03:25
1352696,30450,27-07 21:03:26
1352564,30462,27-07 21:03:27
1352630,30450,27-07 21:03:28
1352630,30438,27-07 21:03:29
1352762,29274,27-07 21:03:30
1352696,30108,27-07 21:03:31
1352564,30900,27-07 21:03:32
1352527,30137,27-07 21:03:33
1352696,29856,27-07 21:03:34
1352630,30264,27-07 21:03:35
1352606,30546,27-07 21:03:36
1352630,29856,27-07 21:03:37
1352432,30606,27-07 21:03:38
1352498,30822,27-07 21:03:39
1352630,29700,27-07 21:03:40
1352564,30900,27-07 21:03:41
1352630,30966,27-07 21:03:42
1352593,30653,27-07 21:03:43
1355096,33570,27-07 21:03:44
1353516,31254,27-07 21:03:45
1352498,29448,27-07 21:03:46
1352564,31098,27-07 21:03:47
1352696,30426,27-07 21:03:48
1352564,30834,27-07 21:03:49
