"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain12-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","22 Jul 2017 18:47:37 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,22-07 18:47:37
0,0,22-07 18:47:38
0,0,22-07 18:47:39
0,0,22-07 18:47:40
0,0,22-07 18:47:41
0,0,22-07 18:47:42
0,0,22-07 18:47:43
0,0,22-07 18:47:44
0,0,22-07 18:47:45
0,0,22-07 18:47:46
0,0,22-07 18:47:47
0,0,22-07 18:47:48
0,0,22-07 18:47:49
623517,0,22-07 18:47:50
1132235,0,22-07 18:47:51
954977,0,22-07 18:47:52
1170205,0,22-07 18:47:53
1018878,0,22-07 18:47:54
1120923,0,22-07 18:47:55
1184804,0,22-07 18:47:56
1037236,0,22-07 18:47:57
1205878,0,22-07 18:47:58
1200660,0,22-07 18:47:59
1194568,0,22-07 18:48:00
1204896,0,22-07 18:48:01
1020660,0,22-07 18:48:02
1207952,0,22-07 18:48:03
1223868,0,22-07 18:48:04
1213811,0,22-07 18:48:05
1211985,0,22-07 18:48:06
1044995,0,22-07 18:48:07
1224734,0,22-07 18:48:08
1246817,0,22-07 18:48:09
1232400,0,22-07 18:48:10
1255574,0,22-07 18:48:11
1013531,0,22-07 18:48:12
1222720,0,22-07 18:48:13
1198704,0,22-07 18:48:14
1120756,0,22-07 18:48:15
949605,2136,22-07 18:48:16
986120,0,22-07 18:48:17
749276,0,22-07 18:48:18
1187920,712,22-07 18:48:19
1184616,0,22-07 18:48:20
1234313,0,22-07 18:48:21
1026370,0,22-07 18:48:22
1162340,0,22-07 18:48:23
1165793,0,22-07 18:48:24
1211231,1068,22-07 18:48:25
1161254,1424,22-07 18:48:26
1082578,0,22-07 18:48:27
1194256,356,22-07 18:48:28
1088309,712,22-07 18:48:29
1214883,356,22-07 18:48:30
1144746,356,22-07 18:48:31
1087887,0,22-07 18:48:32
1096249,712,22-07 18:48:33
994001,356,22-07 18:48:34
1214327,0,22-07 18:48:35
1259645,0,22-07 18:48:36
1089696,0,22-07 18:48:37
1201905,0,22-07 18:48:38
1236297,0,22-07 18:48:39
797589,712,22-07 18:48:40
536977,1424,22-07 18:48:41
626424,356,22-07 18:48:42
529598,0,22-07 18:48:43
1109023,0,22-07 18:48:44
1090488,0,22-07 18:48:45
1162865,0,22-07 18:48:46
1000143,0,22-07 18:48:47
1062773,0,22-07 18:48:48
1153081,0,22-07 18:48:49
1186408,0,22-07 18:48:50
1203426,0,22-07 18:48:51
1028912,0,22-07 18:48:52
1189128,0,22-07 18:48:53
1172720,0,22-07 18:48:54
1188876,0,22-07 18:48:55
1199152,0,22-07 18:48:56
1039224,0,22-07 18:48:57
1194980,0,22-07 18:48:58
1177021,0,22-07 18:48:59
1204168,0,22-07 18:49:00
1203092,0,22-07 18:49:01
1009704,0,22-07 18:49:02
1241305,0,22-07 18:49:03
1237344,0,22-07 18:49:04
1226758,0,22-07 18:49:05
1225547,0,22-07 18:49:06
1027636,0,22-07 18:49:07
1173261,0,22-07 18:49:08
1066934,0,22-07 18:49:09
987244,2136,22-07 18:49:10
1126530,0,22-07 18:49:11
596442,712,22-07 18:49:12
1223982,0,22-07 18:49:13
1185568,0,22-07 18:49:14
1224217,0,22-07 18:49:15
1183226,0,22-07 18:49:16
997664,0,22-07 18:49:17
1163324,0,22-07 18:49:18
1223339,1068,22-07 18:49:19
1168941,1424,22-07 18:49:20
1177932,356,22-07 18:49:21
1102978,0,22-07 18:49:22
1081083,712,22-07 18:49:23
1268668,356,22-07 18:49:24
1201122,356,22-07 18:49:25
1264882,0,22-07 18:49:26
953330,712,22-07 18:49:27
1017325,0,22-07 18:49:28
1215195,0,22-07 18:49:29
1256249,0,22-07 18:49:30
1265933,0,22-07 18:49:31
1086864,0,22-07 18:49:32
1243753,0,22-07 18:49:33
597940,1780,22-07 18:49:34
581631,712,22-07 18:49:35
686010,356,22-07 18:49:36
407678,0,22-07 18:49:37
1199294,0,22-07 18:49:38
1108963,0,22-07 18:49:39
1217484,0,22-07 18:49:40
1040636,0,22-07 18:49:41
961784,0,22-07 18:49:42
1210392,0,22-07 18:49:43
1188688,0,22-07 18:49:44
1204418,0,22-07 18:49:45
1194900,0,22-07 18:49:46
1033548,0,22-07 18:49:47
1193176,0,22-07 18:49:48
1199200,0,22-07 18:49:49
1202152,0,22-07 18:49:50
1180348,0,22-07 18:49:51
1009931,0,22-07 18:49:52
1181150,0,22-07 18:49:53
1194464,0,22-07 18:49:54
1239020,0,22-07 18:49:55
1140928,0,22-07 18:49:56
