"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain7-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","26 Jul 2017 23:41:08 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,26-07 23:41:08
0,0,26-07 23:41:09
0,0,26-07 23:41:10
0,0,26-07 23:41:11
0,0,26-07 23:41:12
0,0,26-07 23:41:13
0,0,26-07 23:41:14
0,0,26-07 23:41:15
95,95,26-07 23:41:16
0,0,26-07 23:41:17
0,0,26-07 23:41:18
0,0,26-07 23:41:19
745112,0,26-07 23:41:20
1293815,42,26-07 23:41:21
1269043,0,26-07 23:41:22
1328200,0,26-07 23:41:23
1243177,0,26-07 23:41:24
1321040,0,26-07 23:41:25
1333095,95,26-07 23:41:26
1339190,0,26-07 23:41:27
1334571,0,26-07 23:41:28
1344678,0,26-07 23:41:29
1327295,0,26-07 23:41:30
1327714,0,26-07 23:41:31
1323119,0,26-07 23:41:32
1340945,0,26-07 23:41:33
1351821,0,26-07 23:41:34
1356684,0,26-07 23:41:35
1363600,95,26-07 23:41:36
1369793,0,26-07 23:41:37
1384160,0,26-07 23:41:38
1388170,0,26-07 23:41:39
1378697,0,26-07 23:41:40
1381107,0,26-07 23:41:41
1371504,0,26-07 23:41:42
1354446,0,26-07 23:41:43
1316115,0,26-07 23:41:44
1212915,972,26-07 23:41:45
1317101,247,26-07 23:41:46
899508,510,26-07 23:41:47
1352442,0,26-07 23:41:48
1352583,0,26-07 23:41:49
1347834,42,26-07 23:41:50
1347240,0,26-07 23:41:51
1327288,0,26-07 23:41:52
1324301,749,26-07 23:41:53
1350271,0,26-07 23:41:54
1302570,765,26-07 23:41:55
1321214,510,26-07 23:41:56
1309854,510,26-07 23:41:57
1353408,255,26-07 23:41:58
1317760,297,26-07 23:41:59
1398779,0,26-07 23:42:00
1286406,255,26-07 23:42:01
1224089,502,26-07 23:42:02
1356967,0,26-07 23:42:03
1357437,0,26-07 23:42:04
1367705,0,26-07 23:42:05
1344444,0,26-07 23:42:06
1316408,510,26-07 23:42:07
910638,1020,26-07 23:42:08
957110,0,26-07 23:42:09
686523,0,26-07 23:42:10
1264628,0,26-07 23:42:11
1360478,0,26-07 23:42:12
1320376,0,26-07 23:42:13
1231556,0,26-07 23:42:14
1317195,0,26-07 23:42:15
1358840,0,26-07 23:42:16
1331644,0,26-07 23:42:17
1335908,95,26-07 23:42:18
1349088,0,26-07 23:42:19
1357535,0,26-07 23:42:20
