"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain38-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","28 Jul 2017 19:54:24 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,28-07 19:54:24
0,0,28-07 19:54:25
95,95,28-07 19:54:26
0,0,28-07 19:54:27
0,0,28-07 19:54:28
0,0,28-07 19:54:29
0,0,28-07 19:54:30
42,42,28-07 19:54:31
0,0,28-07 19:54:32
0,0,28-07 19:54:33
0,0,28-07 19:54:34
0,0,28-07 19:54:35
95,95,28-07 19:54:36
0,0,28-07 19:54:37
0,0,28-07 19:54:38
0,0,28-07 19:54:39
0,0,28-07 19:54:40
0,0,28-07 19:54:41
475329,0,28-07 19:54:42
1133490,0,28-07 19:54:43
966861,0,28-07 19:54:44
1203526,0,28-07 19:54:45
1016895,95,28-07 19:54:46
1081325,0,28-07 19:54:47
1123469,0,28-07 19:54:48
1144262,0,28-07 19:54:49
1177500,0,28-07 19:54:50
1135099,0,28-07 19:54:51
1180689,0,28-07 19:54:52
1168638,0,28-07 19:54:53
1127701,0,28-07 19:54:54
1135868,0,28-07 19:54:55
1144073,95,28-07 19:54:56
1184845,0,28-07 19:54:57
1215483,0,28-07 19:54:58
1144920,42,28-07 19:54:59
1141158,0,28-07 19:55:00
1036871,0,28-07 19:55:01
1205074,0,28-07 19:55:02
1025357,0,28-07 19:55:03
1178573,0,28-07 19:55:04
1198021,0,28-07 19:55:05
1176188,95,28-07 19:55:06
1167078,0,28-07 19:55:07
1139472,0,28-07 19:55:08
1184313,0,28-07 19:55:09
1167006,0,28-07 19:55:10
744088,42,28-07 19:55:11
763308,1434,28-07 19:55:12
1021123,247,28-07 19:55:13
741335,0,28-07 19:55:14
1065831,255,28-07 19:55:15
1149411,0,28-07 19:55:16
1177134,0,28-07 19:55:17
1169982,0,28-07 19:55:18
1050959,0,28-07 19:55:19
1110204,0,28-07 19:55:20
1152638,0,28-07 19:55:21
1208636,749,28-07 19:55:22
1110518,510,28-07 19:55:23
1255463,0,28-07 19:55:24
1028974,510,28-07 19:55:25
1039741,765,28-07 19:55:26
1265236,0,28-07 19:55:27
1296231,255,28-07 19:55:28
1166294,0,28-07 19:55:29
1202105,0,28-07 19:55:30
1063158,0,28-07 19:55:31
903598,255,28-07 19:55:32
1224806,0,28-07 19:55:33
1282027,0,28-07 19:55:34
1271685,0,28-07 19:55:35
1315511,0,28-07 19:55:36
1216941,42,28-07 19:55:37
811205,749,28-07 19:55:38
592687,1004,28-07 19:55:39
562805,255,28-07 19:55:40
677639,255,28-07 19:55:41
508933,0,28-07 19:55:42
1092846,0,28-07 19:55:43
1235769,0,28-07 19:55:44
1066841,0,28-07 19:55:45
1198637,0,28-07 19:55:46
1029200,42,28-07 19:55:47
1149580,0,28-07 19:55:48
1200485,0,28-07 19:55:49
1210848,0,28-07 19:55:50
1216951,95,28-07 19:55:51
1210473,0,28-07 19:55:52
1231539,0,28-07 19:55:53
1232774,0,28-07 19:55:54
1233338,0,28-07 19:55:55
1232093,0,28-07 19:55:56
1237062,0,28-07 19:55:57
1233325,0,28-07 19:55:58
1239024,0,28-07 19:55:59
1252592,0,28-07 19:56:00
1281652,95,28-07 19:56:01
1249681,0,28-07 19:56:02
1246617,0,28-07 19:56:03
1258038,0,28-07 19:56:04
1279418,0,28-07 19:56:05
1280097,42,28-07 19:56:06
1271802,0,28-07 19:56:07
1296675,0,28-07 19:56:08
1198420,0,28-07 19:56:09
1009557,1434,28-07 19:56:10
1177967,247,28-07 19:56:11
920135,0,28-07 19:56:12
1137161,255,28-07 19:56:13
1281297,0,28-07 19:56:14
1282308,0,28-07 19:56:15
1268539,0,28-07 19:56:16
1228313,0,28-07 19:56:17
1239253,0,28-07 19:56:18
