"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain5-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","08 Dec 2017 08:43:55 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,08-12 08:43:55
42,42,08-12 08:43:56
0,0,08-12 08:43:57
0,0,08-12 08:43:58
0,0,08-12 08:43:59
0,0,08-12 08:44:00
95,95,08-12 08:44:01
0,0,08-12 08:44:02
0,0,08-12 08:44:03
0,0,08-12 08:44:04
0,0,08-12 08:44:05
42,42,08-12 08:44:06
0,0,08-12 08:44:07
0,0,08-12 08:44:08
0,0,08-12 08:44:09
95,95,08-12 08:44:10
0,0,08-12 08:44:11
0,0,08-12 08:44:12
0,0,08-12 08:44:13
0,0,08-12 08:44:14
0,0,08-12 08:44:15
0,0,08-12 08:44:16
1402902,0,08-12 08:44:17
1386765,0,08-12 08:44:18
1295459,0,08-12 08:44:19
1416433,95,08-12 08:44:20
1408301,0,08-12 08:44:21
1404135,0,08-12 08:44:22
1395796,0,08-12 08:44:23
1394467,0,08-12 08:44:24
1395749,0,08-12 08:44:25
1410511,0,08-12 08:44:26
1394681,0,08-12 08:44:27
1401867,0,08-12 08:44:28
1395717,0,08-12 08:44:29
1391195,95,08-12 08:44:30
1385475,0,08-12 08:44:31
1372182,0,08-12 08:44:32
1399567,0,08-12 08:44:33
1383455,0,08-12 08:44:34
1390316,0,08-12 08:44:35
1362666,0,08-12 08:44:36
1414515,0,08-12 08:44:37
1382065,0,08-12 08:44:38
1344506,0,08-12 08:44:39
1335100,1529,08-12 08:44:40
1362411,0,08-12 08:44:41
916863,255,08-12 08:44:42
1380288,0,08-12 08:44:43
1353012,0,08-12 08:44:44
1370419,42,08-12 08:44:45
1406281,0,08-12 08:44:46
1399840,0,08-12 08:44:47
1390459,749,08-12 08:44:48
1347225,0,08-12 08:44:49
1368992,510,08-12 08:44:50
1354813,0,08-12 08:44:51
1403178,1020,08-12 08:44:52
1356401,0,08-12 08:44:53
1362588,0,08-12 08:44:54
1342060,0,08-12 08:44:55
1330705,807,08-12 08:44:56
1370134,247,08-12 08:44:57
1356872,0,08-12 08:44:58
1365126,0,08-12 08:44:59
1349967,0,08-12 08:45:00
1349413,0,08-12 08:45:01
1201061,510,08-12 08:45:02
1239283,757,08-12 08:45:03
893626,502,08-12 08:45:04
1376760,0,08-12 08:45:05
1396643,0,08-12 08:45:06
1357883,0,08-12 08:45:07
1251257,0,08-12 08:45:08
1393951,0,08-12 08:45:09
1410971,0,08-12 08:45:10
1396382,0,08-12 08:45:11
1410037,0,08-12 08:45:12
1410272,0,08-12 08:45:13
1400435,95,08-12 08:45:14
1412133,0,08-12 08:45:15
1411139,0,08-12 08:45:16
1387269,0,08-12 08:45:17
1385280,0,08-12 08:45:18
1324523,0,08-12 08:45:19
1374576,0,08-12 08:45:20
1394047,0,08-12 08:45:21
1405020,0,08-12 08:45:22
1393083,0,08-12 08:45:23
1352354,95,08-12 08:45:24
1361397,0,08-12 08:45:25
1395165,0,08-12 08:45:26
1398202,0,08-12 08:45:27
1391536,0,08-12 08:45:28
1323862,1434,08-12 08:45:29
1317497,0,08-12 08:45:30
1016993,255,08-12 08:45:31
1384122,0,08-12 08:45:32
1388256,0,08-12 08:45:33
1392596,42,08-12 08:45:34
1383516,0,08-12 08:45:35
1420585,0,08-12 08:45:36
1359563,749,08-12 08:45:37
1342924,1020,08-12 08:45:38
1392883,255,08-12 08:45:39
1364211,0,08-12 08:45:40
1368663,0,08-12 08:45:41
1357789,0,08-12 08:45:42
1379109,1020,08-12 08:45:43
1346776,255,08-12 08:45:44
1291238,297,08-12 08:45:45
1368976,247,08-12 08:45:46
1364052,0,08-12 08:45:47
1365272,0,08-12 08:45:48
1362191,0,08-12 08:45:49
1341938,0,08-12 08:45:50
1248494,1020,08-12 08:45:51
1213321,510,08-12 08:45:52
937297,255,08-12 08:45:53
1369247,0,08-12 08:45:54
1371174,0,08-12 08:45:55
1368816,0,08-12 08:45:56
1291421,0,08-12 08:45:57
1356680,0,08-12 08:45:58
1363977,0,08-12 08:45:59
1333505,0,08-12 08:46:00
1334969,0,08-12 08:46:01
1391002,0,08-12 08:46:02
1373738,95,08-12 08:46:03
1380169,0,08-12 08:46:04
1355083,0,08-12 08:46:05
1382403,0,08-12 08:46:06
1392677,0,08-12 08:46:07
1396798,0,08-12 08:46:08
1369781,0,08-12 08:46:09
1389300,0,08-12 08:46:10
1403517,0,08-12 08:46:11
1389537,0,08-12 08:46:12
1360409,95,08-12 08:46:13
1378200,0,08-12 08:46:14
1369209,0,08-12 08:46:15
1379706,0,08-12 08:46:16
1387607,0,08-12 08:46:17
1327576,1434,08-12 08:46:18
1343858,0,08-12 08:46:19
962035,255,08-12 08:46:20
1402968,0,08-12 08:46:21
1384863,0,08-12 08:46:22
1376288,42,08-12 08:46:23
1395244,0,08-12 08:46:24
1396023,0,08-12 08:46:25
1373597,297,08-12 08:46:26
1316468,510,08-12 08:46:27
1389296,765,08-12 08:46:28
1386623,255,08-12 08:46:29
1373598,510,08-12 08:46:30
1352101,0,08-12 08:46:31
1377543,0,08-12 08:46:32
1345801,1020,08-12 08:46:33
1273193,255,08-12 08:46:34
1375788,0,08-12 08:46:35
1352645,0,08-12 08:46:36
1364179,0,08-12 08:46:37
1350204,0,08-12 08:46:38
1379112,0,08-12 08:46:39
1241189,1530,08-12 08:46:40
1213065,255,08-12 08:46:41
812322,0,08-12 08:46:42
1365137,0,08-12 08:46:43
1372418,0,08-12 08:46:44
1372722,0,08-12 08:46:45
1278566,0,08-12 08:46:46
1391099,0,08-12 08:46:47
1372995,0,08-12 08:46:48
1402394,0,08-12 08:46:49
1357463,0,08-12 08:46:50
1373323,95,08-12 08:46:51
1343352,0,08-12 08:46:52
1332342,0,08-12 08:46:53
1337598,0,08-12 08:46:54
1401867,0,08-12 08:46:55
1350712,0,08-12 08:46:56
1394408,0,08-12 08:46:57
1367178,0,08-12 08:46:58
1354652,0,08-12 08:46:59
1410060,0,08-12 08:47:00
1393354,95,08-12 08:47:01
1393187,0,08-12 08:47:02
1389567,0,08-12 08:47:03
1389978,0,08-12 08:47:04
1392019,0,08-12 08:47:05
1395042,0,08-12 08:47:06
1352247,1476,08-12 08:47:07
1368266,0,08-12 08:47:08
942046,255,08-12 08:47:09
1391637,0,08-12 08:47:10
1373091,0,08-12 08:47:11
1401940,42,08-12 08:47:12
1411330,0,08-12 08:47:13
1405651,0,08-12 08:47:14
1380234,749,08-12 08:47:15
1348310,255,08-12 08:47:16
1369270,510,08-12 08:47:17
1372091,0,08-12 08:47:18
1369786,510,08-12 08:47:19
1331919,0,08-12 08:47:20
1358349,255,08-12 08:47:21
1292342,0,08-12 08:47:22
1243676,765,08-12 08:47:23
1353334,494,08-12 08:47:24
1344729,0,08-12 08:47:25
1354248,0,08-12 08:47:26
1366500,0,08-12 08:47:27
1325008,0,08-12 08:47:28
1326785,1530,08-12 08:47:29
1256189,255,08-12 08:47:30
1291859,0,08-12 08:47:31
1392625,0,08-12 08:47:32
1346195,0,08-12 08:47:33
1367539,0,08-12 08:47:34
