"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain10-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","23 Jul 2017 04:00:04 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,23-07 04:00:04
0,0,23-07 04:00:05
0,0,23-07 04:00:06
0,0,23-07 04:00:07
0,0,23-07 04:00:08
0,0,23-07 04:00:09
0,0,23-07 04:00:10
0,0,23-07 04:00:11
0,0,23-07 04:00:12
0,0,23-07 04:00:13
0,0,23-07 04:00:14
0,0,23-07 04:00:15
0,0,23-07 04:00:16
0,0,23-07 04:00:17
845984,0,23-07 04:00:18
1160957,0,23-07 04:00:19
1125283,0,23-07 04:00:20
1168005,0,23-07 04:00:21
993612,0,23-07 04:00:22
1075543,0,23-07 04:00:23
1164364,0,23-07 04:00:24
1188356,0,23-07 04:00:25
1194278,0,23-07 04:00:26
1188900,0,23-07 04:00:27
1093088,0,23-07 04:00:28
1145276,0,23-07 04:00:29
1202272,0,23-07 04:00:30
1223660,0,23-07 04:00:31
1194764,0,23-07 04:00:32
1215166,0,23-07 04:00:33
1211255,0,23-07 04:00:34
1238980,0,23-07 04:00:35
1216764,0,23-07 04:00:36
1170153,0,23-07 04:00:37
1250592,0,23-07 04:00:38
1220270,0,23-07 04:00:39
1219539,0,23-07 04:00:40
1220804,0,23-07 04:00:41
1193816,0,23-07 04:00:42
997044,0,23-07 04:00:43
1036969,2136,23-07 04:00:44
1072459,0,23-07 04:00:45
774686,712,23-07 04:00:46
1215707,0,23-07 04:00:47
1187830,0,23-07 04:00:48
1131731,0,23-07 04:00:49
1114178,0,23-07 04:00:50
1154364,0,23-07 04:00:51
1022897,1068,23-07 04:00:52
1240584,0,23-07 04:00:53
1113586,0,23-07 04:00:54
1185821,712,23-07 04:00:55
1184846,1068,23-07 04:00:56
1199058,0,23-07 04:00:57
1245132,356,23-07 04:00:58
1172630,1068,23-07 04:00:59
1174940,0,23-07 04:01:00
1101634,1068,23-07 04:01:01
1137730,0,23-07 04:01:02
1234532,0,23-07 04:01:03
1228529,0,23-07 04:01:04
1240133,0,23-07 04:01:05
1221909,0,23-07 04:01:06
817082,0,23-07 04:01:07
526768,712,23-07 04:01:08
686984,1068,23-07 04:01:09
522176,712,23-07 04:01:10
1139622,0,23-07 04:01:11
1108509,0,23-07 04:01:12
1268443,0,23-07 04:01:13
1053229,0,23-07 04:01:14
1088017,0,23-07 04:01:15
1182252,0,23-07 04:01:16
1149708,0,23-07 04:01:17
1173450,0,23-07 04:01:18
1201048,0,23-07 04:01:19
1167108,0,23-07 04:01:20
1142436,0,23-07 04:01:21
1162780,0,23-07 04:01:22
1197852,0,23-07 04:01:23
1191908,0,23-07 04:01:24
1160955,0,23-07 04:01:25
1228204,0,23-07 04:01:26
1183528,0,23-07 04:01:27
1232142,0,23-07 04:01:28
1222008,0,23-07 04:01:29
1227729,0,23-07 04:01:30
1219710,0,23-07 04:01:31
1219771,0,23-07 04:01:32
1190352,0,23-07 04:01:33
1221332,0,23-07 04:01:34
1180159,0,23-07 04:01:35
860848,0,23-07 04:01:36
1112980,2136,23-07 04:01:37
891129,356,23-07 04:01:38
830710,356,23-07 04:01:39
1195531,0,23-07 04:01:40
1191089,0,23-07 04:01:41
1181430,0,23-07 04:01:42
1141740,0,23-07 04:01:43
1107852,0,23-07 04:01:44
1101004,1068,23-07 04:01:45
1215676,0,23-07 04:01:46
1179255,1068,23-07 04:01:47
1177877,712,23-07 04:01:48
1134197,712,23-07 04:01:49
1245802,356,23-07 04:01:50
1192515,356,23-07 04:01:51
1248563,0,23-07 04:01:52
1147253,712,23-07 04:01:53
989860,356,23-07 04:01:54
1196687,0,23-07 04:01:55
1236485,0,23-07 04:01:56
1243025,0,23-07 04:01:57
1247316,0,23-07 04:01:58
1095077,0,23-07 04:01:59
715937,1780,23-07 04:02:00
504559,712,23-07 04:02:01
704408,356,23-07 04:02:02
500317,0,23-07 04:02:03
1103504,0,23-07 04:02:04
1147460,0,23-07 04:02:05
1228152,0,23-07 04:02:06
1073103,0,23-07 04:02:07
1120103,0,23-07 04:02:08
1185612,0,23-07 04:02:09
1151048,0,23-07 04:02:10
1186430,0,23-07 04:02:11
1175088,0,23-07 04:02:12
1206368,0,23-07 04:02:13
1139516,0,23-07 04:02:14
1209300,0,23-07 04:02:15
1194892,0,23-07 04:02:16
1223948,0,23-07 04:02:17
