"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain12-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","26 Jul 2017 23:29:07 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,26-07 23:29:07
42,42,26-07 23:29:08
0,0,26-07 23:29:09
0,0,26-07 23:29:10
0,0,26-07 23:29:11
0,0,26-07 23:29:12
95,95,26-07 23:29:13
0,0,26-07 23:29:14
0,0,26-07 23:29:15
0,0,26-07 23:29:16
0,0,26-07 23:29:17
0,0,26-07 23:29:18
162581,0,26-07 23:29:19
1161846,0,26-07 23:29:20
1241254,0,26-07 23:29:21
1298339,95,26-07 23:29:22
1210342,0,26-07 23:29:23
1299639,42,26-07 23:29:24
1312723,0,26-07 23:29:25
1311378,0,26-07 23:29:26
1319065,0,26-07 23:29:27
1331940,0,26-07 23:29:28
1324051,0,26-07 23:29:29
1316479,0,26-07 23:29:30
1337360,0,26-07 23:29:31
1329591,95,26-07 23:29:32
1311375,0,26-07 23:29:33
1335411,0,26-07 23:29:34
1363841,0,26-07 23:29:35
1369907,0,26-07 23:29:36
1384013,0,26-07 23:29:37
1381712,0,26-07 23:29:38
1353164,0,26-07 23:29:39
1351218,0,26-07 23:29:40
1367262,0,26-07 23:29:41
1354161,95,26-07 23:29:42
1339940,0,26-07 23:29:43
1194398,972,26-07 23:29:44
1320940,247,26-07 23:29:45
872496,510,26-07 23:29:46
1329147,42,26-07 23:29:47
1342854,0,26-07 23:29:48
1317615,0,26-07 23:29:49
1338222,0,26-07 23:29:50
1303718,0,26-07 23:29:51
1302671,749,26-07 23:29:52
1329665,0,26-07 23:29:53
1298374,1020,26-07 23:29:54
1315928,255,26-07 23:29:55
1274053,255,26-07 23:29:56
1374893,297,26-07 23:29:57
1342106,255,26-07 23:29:58
1298479,255,26-07 23:29:59
1251833,510,26-07 23:30:00
1244480,247,26-07 23:30:01
1307412,0,26-07 23:30:02
1344104,0,26-07 23:30:03
1340899,0,26-07 23:30:04
1349967,0,26-07 23:30:05
1321973,0,26-07 23:30:06
1020770,1020,26-07 23:30:07
936187,510,26-07 23:30:08
983459,510,26-07 23:30:09
798408,0,26-07 23:30:10
1368258,0,26-07 23:30:11
1299934,0,26-07 23:30:12
1334714,0,26-07 23:30:13
1206497,0,26-07 23:30:14
1323883,0,26-07 23:30:15
1337787,0,26-07 23:30:16
1321219,0,26-07 23:30:17
1331630,0,26-07 23:30:18
1323143,95,26-07 23:30:19
1328339,0,26-07 23:30:20
