"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain26-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","29 Jul 2017 15:47:55 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,29-07 15:47:55
0,0,29-07 15:47:56
0,0,29-07 15:47:57
0,0,29-07 15:47:58
0,0,29-07 15:47:59
0,0,29-07 15:48:00
0,0,29-07 15:48:01
0,0,29-07 15:48:02
0,0,29-07 15:48:03
0,0,29-07 15:48:04
95,95,29-07 15:48:05
0,0,29-07 15:48:06
1037148,0,29-07 15:48:07
1186541,247,29-07 15:48:08
1180643,0,29-07 15:48:09
1196800,0,29-07 15:48:10
1250803,0,29-07 15:48:11
1191101,0,29-07 15:48:12
1171666,0,29-07 15:48:13
1213444,0,29-07 15:48:14
1226775,0,29-07 15:48:15
1246938,0,29-07 15:48:16
1166158,95,29-07 15:48:17
1063321,0,29-07 15:48:18
422578,0,29-07 15:48:19
785630,1020,29-07 15:48:20
1076860,247,29-07 15:48:21
1077926,42,29-07 15:48:22
1189026,0,29-07 15:48:23
1241937,0,29-07 15:48:24
1178069,0,29-07 15:48:25
1196390,0,29-07 15:48:26
1199383,0,29-07 15:48:27
1191603,0,29-07 15:48:28
1267416,0,29-07 15:48:29
1213528,137,29-07 15:48:30
1242548,0,29-07 15:48:31
708954,1020,29-07 15:48:32
1058332,0,29-07 15:48:33
1055328,247,29-07 15:48:34
1130696,0,29-07 15:48:35
1241497,0,29-07 15:48:36
1208048,0,29-07 15:48:37
1238709,0,29-07 15:48:38
1183229,0,29-07 15:48:39
1196384,0,29-07 15:48:40
1233958,0,29-07 15:48:41
1237076,0,29-07 15:48:42
1207511,95,29-07 15:48:43
900111,0,29-07 15:48:44
984501,1020,29-07 15:48:45
1016961,247,29-07 15:48:46
1132073,0,29-07 15:48:47
1125155,0,29-07 15:48:48
1168908,0,29-07 15:48:49
1238598,0,29-07 15:48:50
1233953,0,29-07 15:48:51
1248368,0,29-07 15:48:52
1165576,0,29-07 15:48:53
1248666,0,29-07 15:48:54
1212102,95,29-07 15:48:55
1234914,0,29-07 15:48:56
758425,1020,29-07 15:48:57
974843,0,29-07 15:48:58
1064320,247,29-07 15:48:59
1214932,42,29-07 15:49:00
1172121,0,29-07 15:49:01
1188509,0,29-07 15:49:02
1155405,0,29-07 15:49:03
1223616,0,29-07 15:49:04
1179248,0,29-07 15:49:05
1216719,0,29-07 15:49:06
1212433,0,29-07 15:49:07
1246393,95,29-07 15:49:08
853548,0,29-07 15:49:09
996252,1020,29-07 15:49:10
1093801,289,29-07 15:49:11
1127564,0,29-07 15:49:12
1185438,0,29-07 15:49:13
1212309,0,29-07 15:49:14
1197242,0,29-07 15:49:15
1253305,0,29-07 15:49:16
1240855,0,29-07 15:49:17
1108061,0,29-07 15:49:18
939427,0,29-07 15:49:19
1063091,95,29-07 15:49:20
1203124,0,29-07 15:49:21
794344,0,29-07 15:49:22
1001366,1020,29-07 15:49:23
1064741,247,29-07 15:49:24
1147223,0,29-07 15:49:25
1212663,0,29-07 15:49:26
1186204,0,29-07 15:49:27
1215313,0,29-07 15:49:28
1203943,0,29-07 15:49:29
1225706,0,29-07 15:49:30
1236031,0,29-07 15:49:31
1247898,0,29-07 15:49:32
1238576,95,29-07 15:49:33
1076294,0,29-07 15:49:34
845283,1020,29-07 15:49:35
963581,247,29-07 15:49:36
987707,0,29-07 15:49:37
1180431,42,29-07 15:49:38
1152352,0,29-07 15:49:39
1179201,0,29-07 15:49:40
1253620,0,29-07 15:49:41
1259137,0,29-07 15:49:42
1194613,0,29-07 15:49:43
1233750,0,29-07 15:49:44
1210260,0,29-07 15:49:45
1201079,95,29-07 15:49:46
789547,0,29-07 15:49:47
1026656,1020,29-07 15:49:48
1044948,247,29-07 15:49:49
1102781,0,29-07 15:49:50
1164277,0,29-07 15:49:51
1234345,42,29-07 15:49:52
1092786,0,29-07 15:49:53
1179738,0,29-07 15:49:54
1233282,0,29-07 15:49:55
1188478,0,29-07 15:49:56
1209465,0,29-07 15:49:57
1209102,95,29-07 15:49:58
1227154,0,29-07 15:49:59
786892,1020,29-07 15:50:00
1115200,0,29-07 15:50:01
991352,247,29-07 15:50:02
1169277,0,29-07 15:50:03
1230976,0,29-07 15:50:04
1232691,0,29-07 15:50:05
1191402,0,29-07 15:50:06
1198497,0,29-07 15:50:07
1205640,0,29-07 15:50:08
1221577,0,29-07 15:50:09
1213460,0,29-07 15:50:10
1227881,95,29-07 15:50:11
801625,0,29-07 15:50:12
996389,1020,29-07 15:50:13
1062816,247,29-07 15:50:14
1111467,0,29-07 15:50:15
1228309,42,29-07 15:50:16
1215672,0,29-07 15:50:17
1088753,0,29-07 15:50:18
862493,0,29-07 15:50:19
1082876,0,29-07 15:50:20
1205164,0,29-07 15:50:21
1141830,0,29-07 15:50:22
1213028,95,29-07 15:50:23
1203835,0,29-07 15:50:24
838060,0,29-07 15:50:25
1008994,1020,29-07 15:50:26
1040233,247,29-07 15:50:27
1081006,0,29-07 15:50:28
1226818,0,29-07 15:50:29
1257562,0,29-07 15:50:30
1226037,0,29-07 15:50:31
1250537,0,29-07 15:50:32
1244022,42,29-07 15:50:33
1235830,0,29-07 15:50:34
1175546,0,29-07 15:50:35
1235102,0,29-07 15:50:36
1221149,95,29-07 15:50:37
704275,1020,29-07 15:50:38
1019180,0,29-07 15:50:39
1084226,247,29-07 15:50:40
1219990,0,29-07 15:50:41
1184764,0,29-07 15:50:42
1175592,0,29-07 15:50:43
1243964,0,29-07 15:50:44
1149171,0,29-07 15:50:45
1209167,0,29-07 15:50:46
1229955,0,29-07 15:50:47
1242180,0,29-07 15:50:48
1227225,95,29-07 15:50:49
845317,0,29-07 15:50:50
918434,1020,29-07 15:50:51
1019962,247,29-07 15:50:52
1114369,0,29-07 15:50:53
1222535,42,29-07 15:50:54
1261595,0,29-07 15:50:55
1243352,0,29-07 15:50:56
1216808,0,29-07 15:50:57
1183697,0,29-07 15:50:58
1177005,0,29-07 15:50:59
1160064,0,29-07 15:51:00
1254900,95,29-07 15:51:01
1227161,0,29-07 15:51:02
650174,1020,29-07 15:51:03
1002280,0,29-07 15:51:04
1008445,247,29-07 15:51:05
1188799,0,29-07 15:51:06
1210302,0,29-07 15:51:07
1207181,0,29-07 15:51:08
1218296,0,29-07 15:51:09
1212738,0,29-07 15:51:10
1174382,0,29-07 15:51:11
1187796,0,29-07 15:51:12
1198796,0,29-07 15:51:13
1219934,137,29-07 15:51:14
871806,0,29-07 15:51:15
896712,1020,29-07 15:51:16
1105183,247,29-07 15:51:17
899763,0,29-07 15:51:18
814183,0,29-07 15:51:19
1095939,0,29-07 15:51:20
1227464,0,29-07 15:51:21
1242637,0,29-07 15:51:22
1206530,0,29-07 15:51:23
1211644,0,29-07 15:51:24
1185925,0,29-07 15:51:25
1217556,0,29-07 15:51:26
1227519,95,29-07 15:51:27
955118,0,29-07 15:51:28
974544,1020,29-07 15:51:29
1136089,247,29-07 15:51:30
1060735,0,29-07 15:51:31
1210131,42,29-07 15:51:32
1193271,0,29-07 15:51:33
1174991,0,29-07 15:51:34
1189074,0,29-07 15:51:35
1179548,0,29-07 15:51:36
1209697,0,29-07 15:51:37
1264621,0,29-07 15:51:38
1175511,0,29-07 15:51:39
1227013,95,29-07 15:51:40
752579,1020,29-07 15:51:41
987347,0,29-07 15:51:42
1081041,247,29-07 15:51:43
1106086,0,29-07 15:51:44
1180226,0,29-07 15:51:45
1200172,0,29-07 15:51:46
1207753,0,29-07 15:51:47
1176770,0,29-07 15:51:48
1200380,0,29-07 15:51:49
1237622,0,29-07 15:51:50
1233538,0,29-07 15:51:51
1205287,95,29-07 15:51:52
1008362,0,29-07 15:51:53
892162,1020,29-07 15:51:54
1098118,289,29-07 15:51:55
1029838,0,29-07 15:51:56
1197539,0,29-07 15:51:57
1157354,0,29-07 15:51:58
1216479,0,29-07 15:51:59
1212776,0,29-07 15:52:00
1210560,0,29-07 15:52:01
1192826,0,29-07 15:52:02
1222668,0,29-07 15:52:03
1234335,0,29-07 15:52:04
1165497,95,29-07 15:52:05
779761,0,29-07 15:52:06
1030763,1020,29-07 15:52:07
1016122,247,29-07 15:52:08
1162800,0,29-07 15:52:09
1204549,42,29-07 15:52:10
1233794,0,29-07 15:52:11
1215625,0,29-07 15:52:12
1204300,0,29-07 15:52:13
1161033,0,29-07 15:52:14
1281359,0,29-07 15:52:15
1155814,0,29-07 15:52:16
1220064,95,29-07 15:52:17
1067711,0,29-07 15:52:18
558740,1020,29-07 15:52:19
872752,0,29-07 15:52:20
1068591,247,29-07 15:52:21
1186647,0,29-07 15:52:22
1214169,0,29-07 15:52:23
1211974,0,29-07 15:52:24
1186609,0,29-07 15:52:25
1194506,0,29-07 15:52:26
1222165,0,29-07 15:52:27
1242913,0,29-07 15:52:28
1211477,0,29-07 15:52:29
1214118,95,29-07 15:52:30
910095,0,29-07 15:52:31
980675,1020,29-07 15:52:32
1111381,247,29-07 15:52:33
1113912,0,29-07 15:52:34
1240909,0,29-07 15:52:35
1214925,42,29-07 15:52:36
1233552,0,29-07 15:52:37
1176119,0,29-07 15:52:38
1220972,0,29-07 15:52:39
1236023,0,29-07 15:52:40
1204484,0,29-07 15:52:41
1249007,0,29-07 15:52:42
1263158,95,29-07 15:52:43
621249,1020,29-07 15:52:44
1042242,0,29-07 15:52:45
1057795,247,29-07 15:52:46
1203974,0,29-07 15:52:47
1171449,42,29-07 15:52:48
1204253,0,29-07 15:52:49
1200495,0,29-07 15:52:50
1219345,0,29-07 15:52:51
1212917,0,29-07 15:52:52
1243571,0,29-07 15:52:53
1241585,0,29-07 15:52:54
1218865,95,29-07 15:52:55
847727,0,29-07 15:52:56
988629,1020,29-07 15:52:57
1074153,247,29-07 15:52:58
1174513,0,29-07 15:52:59
1224762,0,29-07 15:53:00
1249969,0,29-07 15:53:01
1183036,0,29-07 15:53:02
1168422,0,29-07 15:53:03
1169694,0,29-07 15:53:04
1247854,0,29-07 15:53:05
1235829,0,29-07 15:53:06
1218212,95,29-07 15:53:07
1192946,0,29-07 15:53:08
868187,1020,29-07 15:53:09
1059585,247,29-07 15:53:10
1026842,0,29-07 15:53:11
1178075,0,29-07 15:53:12
1192756,0,29-07 15:53:13
1194834,0,29-07 15:53:14
1212720,0,29-07 15:53:15
1169432,0,29-07 15:53:16
1214029,42,29-07 15:53:17
1113303,0,29-07 15:53:18
970750,0,29-07 15:53:19
1068306,95,29-07 15:53:20
1017380,0,29-07 15:53:21
833366,1020,29-07 15:53:22
955842,0,29-07 15:53:23
977527,247,29-07 15:53:24
1224228,0,29-07 15:53:25
1181401,0,29-07 15:53:26
