"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain38-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","08 Dec 2017 08:13:04 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,08-12 08:13:04
0,0,08-12 08:13:05
0,0,08-12 08:13:06
0,0,08-12 08:13:07
0,0,08-12 08:13:08
95,95,08-12 08:13:09
0,0,08-12 08:13:10
0,0,08-12 08:13:11
0,0,08-12 08:13:12
0,0,08-12 08:13:13
0,0,08-12 08:13:14
42,42,08-12 08:13:15
0,0,08-12 08:13:16
0,0,08-12 08:13:17
0,0,08-12 08:13:18
0,0,08-12 08:13:19
95,95,08-12 08:13:20
0,0,08-12 08:13:21
0,0,08-12 08:13:22
0,0,08-12 08:13:23
0,0,08-12 08:13:24
0,0,08-12 08:13:25
0,0,08-12 08:13:26
0,0,08-12 08:13:27
0,0,08-12 08:13:28
0,0,08-12 08:13:29
40600,95,08-12 08:13:30
1362859,0,08-12 08:13:31
1332736,0,08-12 08:13:32
1282763,0,08-12 08:13:33
1406195,0,08-12 08:13:34
1401239,0,08-12 08:13:35
1397647,0,08-12 08:13:36
1400543,0,08-12 08:13:37
1407623,0,08-12 08:13:38
1408069,95,08-12 08:13:39
1396193,42,08-12 08:13:40
1409517,0,08-12 08:13:41
1400364,0,08-12 08:13:42
1419731,0,08-12 08:13:43
1408747,0,08-12 08:13:44
1413815,0,08-12 08:13:45
1414249,0,08-12 08:13:46
1409217,0,08-12 08:13:47
1402254,0,08-12 08:13:48
1403420,95,08-12 08:13:49
1406505,0,08-12 08:13:50
1410006,0,08-12 08:13:51
1367960,0,08-12 08:13:52
1355552,0,08-12 08:13:53
1389931,520,08-12 08:13:54
1092946,247,08-12 08:13:55
1258205,510,08-12 08:13:56
1406466,0,08-12 08:13:57
1396176,0,08-12 08:13:58
1403988,0,08-12 08:13:59
1408477,0,08-12 08:14:00
1361575,0,08-12 08:14:01
1356525,0,08-12 08:14:02
1368945,0,08-12 08:14:03
1404853,510,08-12 08:14:04
1381258,552,08-12 08:14:05
1384958,0,08-12 08:14:06
1387221,255,08-12 08:14:07
1364670,0,08-12 08:14:08
1366332,0,08-12 08:14:09
1352401,247,08-12 08:14:10
1388270,0,08-12 08:14:11
1383098,0,08-12 08:14:12
1346961,0,08-12 08:14:13
1380548,0,08-12 08:14:14
1351952,1259,08-12 08:14:15
1329611,510,08-12 08:14:16
1065209,255,08-12 08:14:17
1202009,0,08-12 08:14:18
1400215,0,08-12 08:14:19
1388392,0,08-12 08:14:20
1292193,0,08-12 08:14:21
1416671,0,08-12 08:14:22
1408852,0,08-12 08:14:23
1395906,0,08-12 08:14:24
1411421,0,08-12 08:14:25
1401550,0,08-12 08:14:26
1408249,95,08-12 08:14:27
1407148,0,08-12 08:14:28
1389934,0,08-12 08:14:29
1387549,42,08-12 08:14:30
1362565,0,08-12 08:14:31
1348683,0,08-12 08:14:32
1332556,0,08-12 08:14:33
1361979,0,08-12 08:14:34
1415855,0,08-12 08:14:35
1410569,0,08-12 08:14:36
1399874,95,08-12 08:14:37
1400493,0,08-12 08:14:38
1409094,0,08-12 08:14:39
1386268,0,08-12 08:14:40
1400607,0,08-12 08:14:41
1350586,1434,08-12 08:14:42
1362481,0,08-12 08:14:43
947915,255,08-12 08:14:44
1399827,0,08-12 08:14:45
1389606,0,08-12 08:14:46
1401940,42,08-12 08:14:47
1399880,0,08-12 08:14:48
1400459,0,08-12 08:14:49
1387954,749,08-12 08:14:50
1373765,765,08-12 08:14:51
1399661,255,08-12 08:14:52
1379650,0,08-12 08:14:53
1404534,255,08-12 08:14:54
1381038,0,08-12 08:14:55
1392615,42,08-12 08:14:56
1321277,255,08-12 08:14:57
1284404,0,08-12 08:14:58
1395589,0,08-12 08:14:59
1380585,0,08-12 08:15:00
1372787,0,08-12 08:15:01
1373188,0,08-12 08:15:02
1384270,0,08-12 08:15:03
1353815,1530,08-12 08:15:04
1251191,255,08-12 08:15:05
1042148,255,08-12 08:15:06
1393440,0,08-12 08:15:07
1369911,0,08-12 08:15:08
1402200,0,08-12 08:15:09
1300441,0,08-12 08:15:10
1403000,0,08-12 08:15:11
1413771,0,08-12 08:15:12
1408973,0,08-12 08:15:13
1408507,0,08-12 08:15:14
1400615,95,08-12 08:15:15
1407029,0,08-12 08:15:16
1411448,0,08-12 08:15:17
1392298,0,08-12 08:15:18
1406438,0,08-12 08:15:19
1384368,42,08-12 08:15:20
1412897,0,08-12 08:15:21
1393647,0,08-12 08:15:22
1413002,42,08-12 08:15:23
1414152,0,08-12 08:15:24
1393727,95,08-12 08:15:25
1388690,0,08-12 08:15:26
1411573,0,08-12 08:15:27
1394877,0,08-12 08:15:28
1401369,0,08-12 08:15:29
1353888,1442,08-12 08:15:30
1382278,0,08-12 08:15:31
964353,255,08-12 08:15:32
1406649,0,08-12 08:15:33
1404366,0,08-12 08:15:34
1409180,0,08-12 08:15:35
1427813,0,08-12 08:15:36
1422541,0,08-12 08:15:37
1400268,749,08-12 08:15:38
1371814,510,08-12 08:15:39
1399392,255,08-12 08:15:40
1353134,0,08-12 08:15:41
1385580,0,08-12 08:15:42
1380179,0,08-12 08:15:43
1391024,510,08-12 08:15:44
1354119,0,08-12 08:15:45
1315022,510,08-12 08:15:46
1384070,0,08-12 08:15:47
1381559,0,08-12 08:15:48
1373798,84,08-12 08:15:49
1376451,0,08-12 08:15:50
1382809,0,08-12 08:15:51
1340379,1530,08-12 08:15:52
1240232,255,08-12 08:15:53
