"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf1 --bits --output /tmp/dstat.csv",,,,"Date:","05 Jul 2017 06:23:44 UTC"
"net/intf1",,"system"
"recv","send","time"
0,0,05-07 06:23:44
0,783706,05-07 06:23:45
0,1244624,05-07 06:23:46
0,1251894,05-07 06:23:47
618,2008177,05-07 06:23:48
103,2589548,05-07 06:23:49
103,2501043,05-07 06:23:50
103,2523203,05-07 06:23:51
103,2493509,05-07 06:23:52
0,2497731,05-07 06:23:53
0,2509324,05-07 06:23:54
0,2507246,05-07 06:23:55
0,2569948,05-07 06:23:56
0,2517600,05-07 06:23:57
103,2503081,05-07 06:23:58
0,2511970,05-07 06:23:59
0,2491482,05-07 06:24:00
0,2499942,05-07 06:24:01
515,2594921,05-07 06:24:02
248,2508152,05-07 06:24:03
103,2499096,05-07 06:24:04
103,2511748,05-07 06:24:05
0,2517155,05-07 06:24:06
103,2476483,05-07 06:24:07
0,2341126,05-07 06:24:08
0,2509723,05-07 06:24:09
0,2501068,05-07 06:24:10
515,2500647,05-07 06:24:11
103,2503045,05-07 06:24:12
74,2496846,05-07 06:24:13
103,2587401,05-07 06:24:14
0,2515541,05-07 06:24:15
0,2499354,05-07 06:24:16
0,2493699,05-07 06:24:17
206,2491037,05-07 06:24:18
206,2479556,05-07 06:24:19
1295,2577871,05-07 06:24:20
103,2496605,05-07 06:24:21
1480,2463672,05-07 06:24:22
473,2499504,05-07 06:24:23
576,2475043,05-07 06:24:24
515,2505107,05-07 06:24:25
843,2581873,05-07 06:24:26
103,2523812,05-07 06:24:27
473,2484724,05-07 06:24:28
843,2469851,05-07 06:24:29
0,2495911,05-07 06:24:30
0,2503115,05-07 06:24:31
0,2533667,05-07 06:24:32
0,2557084,05-07 06:24:33
2365,2486578,05-07 06:24:34
473,2429667,05-07 06:24:35
473,2335058,05-07 06:24:36
0,2479174,05-07 06:24:37
206,2491147,05-07 06:24:38
103,2573043,05-07 06:24:39
103,2486710,05-07 06:24:40
103,2497553,05-07 06:24:41
0,2479354,05-07 06:24:42
0,2483296,05-07 06:24:43
0,2479582,05-07 06:24:44
0,2559220,05-07 06:24:45
0,2480718,05-07 06:24:46
103,2465537,05-07 06:24:47
0,2482474,05-07 06:24:48
0,2485854,05-07 06:24:49
0,2495300,05-07 06:24:50
515,2559010,05-07 06:24:51
206,2474646,05-07 06:24:52
103,2514783,05-07 06:24:53
103,2484008,05-07 06:24:54
0,2483835,05-07 06:24:55
103,2504339,05-07 06:24:56
42,2583101,05-07 06:24:57
0,2494860,05-07 06:24:58
0,2504240,05-07 06:24:59
515,2492273,05-07 06:25:00
2323,2193604,05-07 06:25:01
444,2280745,05-07 06:25:02
473,2553519,05-07 06:25:03
0,2486461,05-07 06:25:04
0,2496426,05-07 06:25:05
0,2485719,05-07 06:25:06
206,2472237,05-07 06:25:07
206,2483630,05-07 06:25:08
1295,2553029,05-07 06:25:09
103,2504654,05-07 06:25:10
1583,2486399,05-07 06:25:11
473,2476670,05-07 06:25:12
473,2479383,05-07 06:25:13
473,2506279,05-07 06:25:14
843,2573541,05-07 06:25:15
103,2491932,05-07 06:25:16
473,2484092,05-07 06:25:17
843,2476730,05-07 06:25:18
0,2495492,05-07 06:25:19
0,2510809,05-07 06:25:20
0,2568219,05-07 06:25:21
0,2510630,05-07 06:25:22
2365,2500951,05-07 06:25:23
473,2408948,05-07 06:25:24
473,2340880,05-07 06:25:25
0,1227176,05-07 06:25:26
0,1243170,05-07 06:25:27
0,1282428,05-07 06:25:28
