"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","vpn",,,,"User:","root"
"Cmdline:","dstat --net --time -N input-fw --bits --output /tmp/dstat.csv",,,,"Date:","05 Jul 2017 06:23:44 UTC"
"net/input-fw",,"system"
"recv","send","time"
0,0,05-07 06:23:44
977088,0,05-07 06:23:45
1246078,0,05-07 06:23:46
1250440,0,05-07 06:23:47
1215544,0,05-07 06:23:48
1215544,0,05-07 06:23:49
1294060,0,05-07 06:23:50
1228630,0,05-07 06:23:51
1208274,0,05-07 06:23:52
1218452,0,05-07 06:23:53
1208274,0,05-07 06:23:54
1206820,0,05-07 06:23:55
1285336,0,05-07 06:23:56
1231538,0,05-07 06:23:57
1209728,0,05-07 06:23:58
1215544,0,05-07 06:23:59
1202458,0,05-07 06:24:00
1216998,0,05-07 06:24:01
1201004,0,05-07 06:24:02
1299876,0,05-07 06:24:03
1208274,0,05-07 06:24:04
1230084,0,05-07 06:24:05
1219906,0,05-07 06:24:06
1309134,0,05-07 06:24:07
1153212,0,05-07 06:24:08
1280974,0,05-07 06:24:09
1201004,0,05-07 06:24:10
1199550,0,05-07 06:24:11
1212636,0,05-07 06:24:12
1201004,0,05-07 06:24:13
1212636,0,05-07 06:24:14
734270,0,05-07 06:24:15
1070144,0,05-07 06:24:16
1201004,0,05-07 06:24:17
1195188,0,05-07 06:24:18
1199550,0,05-07 06:24:19
1206820,0,05-07 06:24:20
1299876,0,05-07 06:24:21
1199550,0,05-07 06:24:22
1206820,0,05-07 06:24:23
1202458,0,05-07 06:24:24
1221360,0,05-07 06:24:25
1219906,0,05-07 06:24:26
1301330,0,05-07 06:24:27
1196642,0,05-07 06:24:28
1193734,0,05-07 06:24:29
1209728,0,05-07 06:24:30
1206820,0,05-07 06:24:31
1205366,0,05-07 06:24:32
1295514,0,05-07 06:24:33
1211182,0,05-07 06:24:34
1203912,0,05-07 06:24:35
1214090,0,05-07 06:24:36
1212636,0,05-07 06:24:37
1211182,0,05-07 06:24:38
1224268,0,05-07 06:24:39
1272250,0,05-07 06:24:40
1198096,0,05-07 06:24:41
1205366,0,05-07 06:24:42
1198096,0,05-07 06:24:43
1209728,0,05-07 06:24:44
1214090,0,05-07 06:24:45
1263526,0,05-07 06:24:46
1189372,0,05-07 06:24:47
1196642,0,05-07 06:24:48
1198096,0,05-07 06:24:49
1209728,0,05-07 06:24:50
1209728,0,05-07 06:24:51
1273704,0,05-07 06:24:52
1225722,0,05-07 06:24:53
1212636,0,05-07 06:24:54
1209728,0,05-07 06:24:55
1209728,0,05-07 06:24:56
1212636,0,05-07 06:24:57
1295514,0,05-07 06:24:58
1209728,0,05-07 06:24:59
1212636,0,05-07 06:25:00
1094862,0,05-07 06:25:01
1208274,0,05-07 06:25:02
1215544,0,05-07 06:25:03
1288244,0,05-07 06:25:04
1203912,0,05-07 06:25:05
1202458,0,05-07 06:25:06
1190826,0,05-07 06:25:07
1198096,0,05-07 06:25:08
1187918,0,05-07 06:25:09
1299876,0,05-07 06:25:10
1192280,0,05-07 06:25:11
1205366,0,05-07 06:25:12
1201004,0,05-07 06:25:13
1211182,0,05-07 06:25:14
1203912,0,05-07 06:25:15
1288244,0,05-07 06:25:16
1203912,0,05-07 06:25:17
1219906,0,05-07 06:25:18
1206820,0,05-07 06:25:19
1205366,0,05-07 06:25:20
1203912,0,05-07 06:25:21
1288244,0,05-07 06:25:22
1198096,0,05-07 06:25:23
1199550,0,05-07 06:25:24
1196642,0,05-07 06:25:25
1225722,0,05-07 06:25:26
1244624,0,05-07 06:25:27
1089046,0,05-07 06:25:28
