"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain10-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","11 Dec 2017 11:30:46 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,11-12 11:30:46
0,0,11-12 11:30:47
95,95,11-12 11:30:48
0,0,11-12 11:30:49
0,0,11-12 11:30:50
0,0,11-12 11:30:51
0,0,11-12 11:30:52
110188,42,11-12 11:30:53
1003376,0,11-12 11:30:54
1111774,0,11-12 11:30:55
1121334,0,11-12 11:30:56
1128008,95,11-12 11:30:57
1132377,0,11-12 11:30:58
1122242,0,11-12 11:30:59
1121816,0,11-12 11:31:00
1121049,0,11-12 11:31:01
1129204,0,11-12 11:31:02
1131121,0,11-12 11:31:03
1128999,0,11-12 11:31:04
1127401,0,11-12 11:31:05
1130874,0,11-12 11:31:06
1134481,95,11-12 11:31:07
1132094,0,11-12 11:31:08
1137856,0,11-12 11:31:09
1120623,0,11-12 11:31:10
1134863,0,11-12 11:31:11
1132588,0,11-12 11:31:12
1124449,0,11-12 11:31:13
1118459,42,11-12 11:31:14
1123446,0,11-12 11:31:15
1128915,0,11-12 11:31:16
1131168,95,11-12 11:31:17
1120093,0,11-12 11:31:18
1124429,0,11-12 11:31:19
1069591,1434,11-12 11:31:20
1105149,247,11-12 11:31:21
679023,297,11-12 11:31:22
1125633,0,11-12 11:31:23
1125432,0,11-12 11:31:24
1116258,0,11-12 11:31:25
1126032,0,11-12 11:31:26
1136705,0,11-12 11:31:27
1130697,0,11-12 11:31:28
1134368,749,11-12 11:31:29
1111083,0,11-12 11:31:30
1088590,1020,11-12 11:31:31
1104974,0,11-12 11:31:32
1118734,510,11-12 11:31:33
1126391,255,11-12 11:31:34
1111696,42,11-12 11:31:35
1105949,255,11-12 11:31:36
1118270,510,11-12 11:31:37
1105886,0,11-12 11:31:38
1087871,510,11-12 11:31:39
1057621,255,11-12 11:31:40
1120986,247,11-12 11:31:41
1107564,0,11-12 11:31:42
1114462,0,11-12 11:31:43
1105494,0,11-12 11:31:44
1104500,0,11-12 11:31:45
1111427,0,11-12 11:31:46
1068321,1530,11-12 11:31:47
1020585,255,11-12 11:31:48
810463,255,11-12 11:31:49
1381091,0,11-12 11:31:50
1126545,0,11-12 11:31:51
1121747,0,11-12 11:31:52
1116584,0,11-12 11:31:53
1022270,0,11-12 11:31:54
1128073,0,11-12 11:31:55
1127169,42,11-12 11:31:56
1127575,0,11-12 11:31:57
1128825,95,11-12 11:31:58
1130285,0,11-12 11:31:59
1165789,0,11-12 11:32:00
1143659,0,11-12 11:32:01
1129442,0,11-12 11:32:02
1127758,0,11-12 11:32:03
1128210,0,11-12 11:32:04
1126929,0,11-12 11:32:05
1134308,0,11-12 11:32:06
1124456,0,11-12 11:32:07
1140525,95,11-12 11:32:08
1129087,0,11-12 11:32:09
1134785,0,11-12 11:32:10
1127865,0,11-12 11:32:11
1128748,0,11-12 11:32:12
1121986,42,11-12 11:32:13
1121491,0,11-12 11:32:14
1122177,0,11-12 11:32:15
1131825,0,11-12 11:32:16
1124925,42,11-12 11:32:17
1116936,95,11-12 11:32:18
1076304,1434,11-12 11:32:19
1117264,0,11-12 11:32:20
1085026,247,11-12 11:32:21
683966,0,11-12 11:32:22
1128351,0,11-12 11:32:23
1116198,0,11-12 11:32:24
1122909,0,11-12 11:32:25
1132258,0,11-12 11:32:26
1141492,0,11-12 11:32:27
1137881,0,11-12 11:32:28
1123686,749,11-12 11:32:29
1106938,0,11-12 11:32:30
1098732,1020,11-12 11:32:31
1126174,510,11-12 11:32:32
1088240,0,11-12 11:32:33
1145588,255,11-12 11:32:34
1106327,255,11-12 11:32:35
1110232,510,11-12 11:32:36
1114778,0,11-12 11:32:37
1076576,42,11-12 11:32:38
1120330,510,11-12 11:32:39
1072287,502,11-12 11:32:40
1107480,0,11-12 11:32:41
1104823,0,11-12 11:32:42
1103654,0,11-12 11:32:43
1108733,0,11-12 11:32:44
1114496,0,11-12 11:32:45
1089668,1530,11-12 11:32:46
1092184,255,11-12 11:32:47
1000979,255,11-12 11:32:48
1117077,0,11-12 11:32:49
1122161,0,11-12 11:32:50
1117909,0,11-12 11:32:51
1112438,0,11-12 11:32:52
1012781,0,11-12 11:32:53
1138355,0,11-12 11:32:54
1125893,0,11-12 11:32:55
1129113,0,11-12 11:32:56
1127813,0,11-12 11:32:57
1127108,95,11-12 11:32:58
1126535,42,11-12 11:32:59
1128921,0,11-12 11:33:00
1118154,0,11-12 11:33:01
1129195,0,11-12 11:33:02
1126343,42,11-12 11:33:03
1126612,0,11-12 11:33:04
1126810,0,11-12 11:33:05
1126679,0,11-12 11:33:06
1130457,0,11-12 11:33:07
1139273,95,11-12 11:33:08
1116693,0,11-12 11:33:09
1138087,0,11-12 11:33:10
1126030,0,11-12 11:33:11
1106841,0,11-12 11:33:12
1120460,0,11-12 11:33:13
1120895,0,11-12 11:33:14
1126297,0,11-12 11:33:15
1119822,0,11-12 11:33:16
1118362,0,11-12 11:33:17
1118030,95,11-12 11:33:18
1070043,972,11-12 11:33:19
1105245,247,11-12 11:33:20
706817,0,11-12 11:33:21
1093335,510,11-12 11:33:22
1118676,0,11-12 11:33:23
1124565,0,11-12 11:33:24
1122732,0,11-12 11:33:25
1139431,0,11-12 11:33:26
1128516,0,11-12 11:33:27
1137237,0,11-12 11:33:28
1114069,749,11-12 11:33:29
1084100,1020,11-12 11:33:30
1106685,0,11-12 11:33:31
1128800,510,11-12 11:33:32
1148429,255,11-12 11:33:33
1121558,42,11-12 11:33:34
1108608,255,11-12 11:33:35
1120194,510,11-12 11:33:36
1105268,0,11-12 11:33:37
1081279,510,11-12 11:33:38
1041938,255,11-12 11:33:39
1128942,247,11-12 11:33:40
1112729,0,11-12 11:33:41
1119444,0,11-12 11:33:42
1106650,0,11-12 11:33:43
1107491,0,11-12 11:33:44
1101955,0,11-12 11:33:45
1072685,1530,11-12 11:33:46
1068937,297,11-12 11:33:47
1002835,255,11-12 11:33:48
1154704,0,11-12 11:33:49
1118107,0,11-12 11:33:50
1126293,0,11-12 11:33:51
1125799,0,11-12 11:33:52
1020484,0,11-12 11:33:53
1125413,0,11-12 11:33:54
1125183,0,11-12 11:33:55
1130366,0,11-12 11:33:56
1130749,95,11-12 11:33:57
1129221,0,11-12 11:33:58
1126255,0,11-12 11:33:59
1125915,0,11-12 11:34:00
1133594,0,11-12 11:34:01
