"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain73-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","11 Dec 2017 19:11:05 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,11-12 19:11:05
0,0,11-12 19:11:06
95,95,11-12 19:11:07
271518,8798,11-12 19:11:08
1353030,36960,11-12 19:11:09
1312756,30966,11-12 19:11:10
1352168,32538,11-12 19:11:11
1351442,27918,11-12 19:11:12
1352960,35904,11-12 19:11:13
1352960,36084,11-12 19:11:14
1352234,31692,11-12 19:11:15
1352894,34320,11-12 19:11:16
1353055,34481,11-12 19:11:17
1352960,35652,11-12 19:11:18
1352960,36300,11-12 19:11:19
1352432,31878,11-12 19:11:20
1352564,33948,11-12 19:11:21
1352894,32154,11-12 19:11:22
1353252,29340,11-12 19:11:23
1353450,31002,11-12 19:11:24
1350782,23508,11-12 19:11:25
1352234,31296,11-12 19:11:26
1351801,30137,11-12 19:11:27
1352828,34674,11-12 19:11:28
1352960,34716,11-12 19:11:29
1352894,32538,11-12 19:11:30
1352960,34980,11-12 19:11:31
1352960,36180,11-12 19:11:32
1352960,35574,11-12 19:11:33
1352828,33528,11-12 19:11:34
1352960,35640,11-12 19:11:35
1352894,34320,11-12 19:11:36
1353055,34547,11-12 19:11:37
1352894,33144,11-12 19:11:38
1350914,28182,11-12 19:11:39
1350980,29766,11-12 19:11:40
1352300,30438,11-12 19:11:41
1352700,26004,11-12 19:11:42
1351508,28128,11-12 19:11:43
1351640,27258,11-12 19:11:44
1352960,32682,11-12 19:11:45
1352960,35520,11-12 19:11:46
1353055,35867,11-12 19:11:47
1352366,31374,11-12 19:11:48
1351772,29502,11-12 19:11:49
1351706,27810,11-12 19:11:50
1351376,26676,11-12 19:11:51
1353002,35694,11-12 19:11:52
1352498,30966,11-12 19:11:53
1351046,27126,11-12 19:11:54
1352234,29964,11-12 19:11:55
1352630,33276,11-12 19:11:56
1352263,31877,11-12 19:11:57
1352630,31614,11-12 19:11:58
1352432,32340,11-12 19:11:59
1350254,24816,11-12 19:12:00
1352168,34914,11-12 19:12:01
1352762,32538,11-12 19:12:02
1352960,33804,11-12 19:12:03
1352828,31782,11-12 19:12:04
1352102,30636,11-12 19:12:05
1352828,31824,11-12 19:12:06
1353055,34943,11-12 19:12:07
1351008,19728,11-12 19:12:08
1352168,29868,11-12 19:12:09
1351706,27546,11-12 19:12:10
1352762,32892,11-12 19:12:11
1352894,31440,11-12 19:12:12
1352608,28584,11-12 19:12:13
1353312,28476,11-12 19:12:14
1352960,35706,11-12 19:12:15
1352828,33858,11-12 19:12:16
1352131,27311,11-12 19:12:17
1352300,31098,11-12 19:12:18
1352828,33408,11-12 19:12:19
1352894,31944,11-12 19:12:20
1352828,28920,11-12 19:12:21
1353632,30276,11-12 19:12:22
1352960,31956,11-12 19:12:23
1352894,29436,11-12 19:12:24
1352498,32364,11-12 19:12:25
1352828,27060,11-12 19:12:26
1351801,27353,11-12 19:12:27
1352960,34134,11-12 19:12:28
1352960,32736,11-12 19:12:29
1352564,30966,11-12 19:12:30
1352960,29580,11-12 19:12:31
1352762,26994,11-12 19:12:32
1352894,29910,11-12 19:12:33
1352960,35586,11-12 19:12:34
1352300,27588,11-12 19:12:35
1352870,30480,11-12 19:12:36
1352857,31973,11-12 19:12:37
1352960,33606,11-12 19:12:38
1352960,32934,11-12 19:12:39
1352300,30240,11-12 19:12:40
1352366,25182,11-12 19:12:41
1352432,32022,11-12 19:12:42
1353582,30684,11-12 19:12:43
1352432,33276,11-12 19:12:44
1352436,30450,11-12 19:12:45
1351574,26532,11-12 19:12:46
1352989,32171,11-12 19:12:47
1352960,34860,11-12 19:12:48
1352960,34134,11-12 19:12:49
1352828,33552,11-12 19:12:50
1352960,35310,11-12 19:12:51
1352564,29448,11-12 19:12:52
1351272,23280,11-12 19:12:53
1351574,26004,11-12 19:12:54
1352828,29898,11-12 19:12:55
1350914,24090,11-12 19:12:56
1351075,23537,11-12 19:12:57
1352696,32340,11-12 19:12:58
1352762,32946,11-12 19:12:59
1352366,32274,11-12 19:13:00
1352960,36444,11-12 19:13:01
1351310,25224,11-12 19:13:02
1352300,31020,11-12 19:13:03
1352300,28062,11-12 19:13:04
1352960,25476,11-12 19:13:05
1352432,30966,11-12 19:13:06
1352263,28157,11-12 19:13:07
1387864,29076,11-12 19:13:08
1352960,34254,11-12 19:13:09
1351706,28668,11-12 19:13:10
1352762,32088,11-12 19:13:11
1352960,34056,11-12 19:13:12
1352960,31758,11-12 19:13:13
1354028,33168,11-12 19:13:14
1351970,28194,11-12 19:13:15
1352894,32694,11-12 19:13:16
1353055,33425,11-12 19:13:17
1352960,28116,11-12 19:13:18
1352828,29118,11-12 19:13:19
1352960,35796,11-12 19:13:20
1352276,30084,11-12 19:13:21
1352960,33066,11-12 19:13:22
1352960,35916,11-12 19:13:23
1353780,31518,11-12 19:13:24
1351442,25278,11-12 19:13:25
1352960,30360,11-12 19:13:26
1352989,29465,11-12 19:13:27
1352894,30504,11-12 19:13:28
1353648,29802,11-12 19:13:29
1352828,31794,11-12 19:13:30
1353384,29736,11-12 19:13:31
1352894,32088,11-12 19:13:32
1353730,32838,11-12 19:13:33
1352960,34002,11-12 19:13:34
1352696,30888,11-12 19:13:35
1352960,32934,11-12 19:13:36
1353055,34913,11-12 19:13:37
1352234,30108,11-12 19:13:38
1352168,24486,11-12 19:13:39
1352960,31098,11-12 19:13:40
1352168,29370,11-12 19:13:41
1352960,34014,11-12 19:13:42
1352894,30834,11-12 19:13:43
1352894,28734,11-12 19:13:44
1352894,28854,11-12 19:13:45
1352894,30978,11-12 19:13:46
1352857,31787,11-12 19:13:47
1352366,27918,11-12 19:13:48
1352278,25380,11-12 19:13:49
1352894,33486,11-12 19:13:50
1352828,31296,11-12 19:13:51
1352828,34212,11-12 19:13:52
1351574,28974,11-12 19:13:53
1352894,35532,11-12 19:13:54
1352960,35046,11-12 19:13:55
1352960,35112,11-12 19:13:56
1354139,34451,11-12 19:13:57
1354358,31266,11-12 19:13:58
1352960,34320,11-12 19:13:59
1352960,31614,11-12 19:14:00
1352234,29712,11-12 19:14:01
1352012,27048,11-12 19:14:02
1351706,27084,11-12 19:14:03
1352300,32538,11-12 19:14:04
1352894,32550,11-12 19:14:05
1353186,32508,11-12 19:14:06
1352989,30137,11-12 19:14:07
1352894,34632,11-12 19:14:08
1352894,34002,11-12 19:14:09
1352300,28602,11-12 19:14:10
1352894,30768,11-12 19:14:11
1352960,32442,11-12 19:14:12
1352564,30768,11-12 19:14:13
1352960,33936,11-12 19:14:14
1352696,30240,11-12 19:14:15
1352828,32562,11-12 19:14:16
1353055,34613,11-12 19:14:17
1352894,33342,11-12 19:14:18
1352828,31692,11-12 19:14:19
1352828,32484,11-12 19:14:20
1352828,30900,11-12 19:14:21
1352828,33870,11-12 19:14:22
1352894,33342,11-12 19:14:23
1352696,32088,11-12 19:14:24
1352960,32604,11-12 19:14:25
1352564,30582,11-12 19:14:26
1352989,33899,11-12 19:14:27
1352894,34278,11-12 19:14:28
1352960,34938,11-12 19:14:29
1352960,35970,11-12 19:14:30
1352234,32100,11-12 19:14:31
1352960,33528,11-12 19:14:32
1352894,34806,11-12 19:14:33
1352894,35124,11-12 19:14:34
1352894,32472,11-12 19:14:35
1352894,33330,11-12 19:14:36
1353055,33557,11-12 19:14:37
1352300,29568,11-12 19:14:38
1352960,33144,11-12 19:14:39
1352894,31770,11-12 19:14:40
1352960,33858,11-12 19:14:41
1352894,34518,11-12 19:14:42
1352936,33672,11-12 19:14:43
1353912,31398,11-12 19:14:44
1352102,25764,11-12 19:14:45
1352964,34530,11-12 19:14:46
1352923,31325,11-12 19:14:47
1352366,31746,11-12 19:14:48
1352960,34002,11-12 19:14:49
1352960,35640,11-12 19:14:50
1352828,34068,11-12 19:14:51
1352960,34584,11-12 19:14:52
1352828,31614,11-12 19:14:53
1352960,31980,11-12 19:14:54
1352696,29526,11-12 19:14:55
1352366,30492,11-12 19:14:56
1352329,30833,11-12 19:14:57
1353582,29208,11-12 19:14:58
1351838,23148,11-12 19:14:59
1351706,25092,11-12 19:15:00
1348208,13266,11-12 19:15:01
1351310,24180,11-12 19:15:02
1349462,17448,11-12 19:15:03
1351442,25884,11-12 19:15:04
1352432,31680,11-12 19:15:05
1353978,35292,11-12 19:15:06
1349491,17387,11-12 19:15:07
1351970,26928,11-12 19:15:08
1352960,33726,11-12 19:15:09
1351706,29316,11-12 19:15:10
1352366,29778,11-12 19:15:11
1350584,24222,11-12 19:15:12
1349264,14796,11-12 19:15:13
1352234,29766,11-12 19:15:14
1351970,29712,11-12 19:15:15
1352960,35640,11-12 19:15:16
1352923,35075,11-12 19:15:17
1350518,23574,11-12 19:15:18
1350386,22176,11-12 19:15:19
1352498,35508,11-12 19:15:20
1351838,32010,11-12 19:15:21
1352366,32274,11-12 19:15:22
1351784,23016,11-12 19:15:23
1352936,32868,11-12 19:15:24
1352234,28182,11-12 19:15:25
1352102,26412,11-12 19:15:26
1352989,32987,11-12 19:15:27
1352828,28194,11-12 19:15:28
1352234,24486,11-12 19:15:29
1352894,33462,11-12 19:15:30
1352960,32142,11-12 19:15:31
1351970,23838,11-12 19:15:32
1352894,32310,11-12 19:15:33
1352894,34728,11-12 19:15:34
1352762,34122,11-12 19:15:35
1350650,23958,11-12 19:15:36
1351207,23867,11-12 19:15:37
1350386,21684,11-12 19:15:38
1352762,32604,11-12 19:15:39
1352168,30096,11-12 19:15:40
1352102,29172,11-12 19:15:41
1351508,22770,11-12 19:15:42
1350386,21912,11-12 19:15:43
1352102,29448,11-12 19:15:44
1352696,30570,11-12 19:15:45
1352696,28590,11-12 19:15:46
1352989,34163,11-12 19:15:47
1350386,18084,11-12 19:15:48
1352102,30516,11-12 19:15:49
1352234,27822,11-12 19:15:50
1352960,35268,11-12 19:15:51
1352894,33264,11-12 19:15:52
1352234,29064,11-12 19:15:53
1352762,32364,11-12 19:15:54
1352234,28206,11-12 19:15:55
1351706,25476,11-12 19:15:56
1353055,33635,11-12 19:15:57
1352168,28800,11-12 19:15:58
1352300,30228,11-12 19:15:59
1351640,24498,11-12 19:16:00
