"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain45-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","08 Dec 2017 05:40:47 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,08-12 05:40:47
0,0,08-12 05:40:48
0,0,08-12 05:40:49
95,95,08-12 05:40:50
0,0,08-12 05:40:51
0,0,08-12 05:40:52
0,0,08-12 05:40:53
0,0,08-12 05:40:54
0,0,08-12 05:40:55
0,0,08-12 05:40:56
0,0,08-12 05:40:57
0,0,08-12 05:40:58
0,0,08-12 05:40:59
95,95,08-12 05:41:00
0,0,08-12 05:41:01
0,0,08-12 05:41:02
0,0,08-12 05:41:03
0,0,08-12 05:41:04
501692,0,08-12 05:41:05
1746569,0,08-12 05:41:06
1384860,0,08-12 05:41:07
1379347,0,08-12 05:41:08
1386771,95,08-12 05:41:09
1411571,42,08-12 05:41:10
1379261,0,08-12 05:41:11
1340600,0,08-12 05:41:12
1370487,0,08-12 05:41:13
1392879,0,08-12 05:41:14
1363119,42,08-12 05:41:15
1358502,0,08-12 05:41:16
1220623,239,08-12 05:41:17
1320322,0,08-12 05:41:18
924582,0,08-12 05:41:19
1374429,0,08-12 05:41:20
1369791,0,08-12 05:41:21
1353804,0,08-12 05:41:22
1349066,0,08-12 05:41:23
1332067,0,08-12 05:41:24
1342182,749,08-12 05:41:25
1330134,0,08-12 05:41:26
1348925,0,08-12 05:41:27
1385783,255,08-12 05:41:28
1328014,255,08-12 05:41:29
1353504,255,08-12 05:41:30
1312716,0,08-12 05:41:31
1299276,0,08-12 05:41:32
1332211,255,08-12 05:41:33
1259700,1506,08-12 05:41:34
1344538,0,08-12 05:41:35
1372839,0,08-12 05:41:36
1366901,0,08-12 05:41:37
1329377,0,08-12 05:41:38
1316699,765,08-12 05:41:39
1285496,765,08-12 05:41:40
1235005,255,08-12 05:41:41
917839,0,08-12 05:41:42
1348187,0,08-12 05:41:43
1347078,0,08-12 05:41:44
1379009,0,08-12 05:41:45
1265651,0,08-12 05:41:46
1361212,0,08-12 05:41:47
1347789,0,08-12 05:41:48
1342747,0,08-12 05:41:49
1354987,95,08-12 05:41:50
1362520,0,08-12 05:41:51
1322253,0,08-12 05:41:52
1343795,42,08-12 05:41:53
1337360,0,08-12 05:41:54
1342609,42,08-12 05:41:55
1390059,0,08-12 05:41:56
1335250,0,08-12 05:41:57
1362469,0,08-12 05:41:58
1369843,0,08-12 05:41:59
1355488,95,08-12 05:42:00
1373121,0,08-12 05:42:01
1347980,0,08-12 05:42:02
1350912,0,08-12 05:42:03
1348707,0,08-12 05:42:04
1343949,0,08-12 05:42:05
1308586,0,08-12 05:42:06
1225870,733,08-12 05:42:07
1326820,0,08-12 05:42:08
951630,0,08-12 05:42:09
1388073,0,08-12 05:42:10
1385925,0,08-12 05:42:11
1391451,0,08-12 05:42:12
1385035,0,08-12 05:42:13
1368916,0,08-12 05:42:14
1370406,749,08-12 05:42:15
1270343,510,08-12 05:42:16
1328310,0,08-12 05:42:17
1387608,255,08-12 05:42:18
1338518,765,08-12 05:42:19
1345441,255,08-12 05:42:20
1355553,255,08-12 05:42:21
1338207,0,08-12 05:42:22
1321067,510,08-12 05:42:23
1316836,502,08-12 05:42:24
1381693,0,08-12 05:42:25
1365190,0,08-12 05:42:26
1345572,0,08-12 05:42:27
1328121,0,08-12 05:42:28
1263948,1275,08-12 05:42:29
1255630,255,08-12 05:42:30
944552,255,08-12 05:42:31
1070873,0,08-12 05:42:32
1391325,0,08-12 05:42:33
1397370,42,08-12 05:42:34
1241649,0,08-12 05:42:35
1357718,42,08-12 05:42:36
1374877,0,08-12 05:42:37
1373221,0,08-12 05:42:38
1399960,0,08-12 05:42:39
1404901,95,08-12 05:42:40
1391240,0,08-12 05:42:41
1330006,0,08-12 05:42:42
1367488,0,08-12 05:42:43
1348952,0,08-12 05:42:44
1306094,0,08-12 05:42:45
1351873,0,08-12 05:42:46
1317863,0,08-12 05:42:47
1392643,0,08-12 05:42:48
1351110,0,08-12 05:42:49
1362453,95,08-12 05:42:50
1334494,0,08-12 05:42:51
1372973,0,08-12 05:42:52
1372014,0,08-12 05:42:53
1365702,0,08-12 05:42:54
1338124,0,08-12 05:42:55
1304055,0,08-12 05:42:56
1352277,1442,08-12 05:42:57
1133332,0,08-12 05:42:58
1127738,0,08-12 05:42:59
1375104,0,08-12 05:43:00
1329810,0,08-12 05:43:01
1341218,0,08-12 05:43:02
1357221,0,08-12 05:43:03
1312428,0,08-12 05:43:04
1336924,494,08-12 05:43:05
1321749,255,08-12 05:43:06
1377476,255,08-12 05:43:07
1347084,0,08-12 05:43:08
1275532,255,08-12 05:43:09
1298322,0,08-12 05:43:10
1261860,1020,08-12 05:43:11
1237980,0,08-12 05:43:12
1344256,1020,08-12 05:43:13
1293273,42,08-12 05:43:14
1382274,0,08-12 05:43:15
1363568,0,08-12 05:43:16
1355855,0,08-12 05:43:17
1371140,0,08-12 05:43:18
1322389,1572,08-12 05:43:19
1214968,255,08-12 05:43:20
828265,255,08-12 05:43:21
1375469,0,08-12 05:43:22
1374762,0,08-12 05:43:23
1359987,0,08-12 05:43:24
1267735,0,08-12 05:43:25
1409393,0,08-12 05:43:26
1394989,0,08-12 05:43:27
1386412,0,08-12 05:43:28
1380052,0,08-12 05:43:29
1397354,95,08-12 05:43:30
1365288,0,08-12 05:43:31
1338830,0,08-12 05:43:32
1393178,0,08-12 05:43:33
1386123,0,08-12 05:43:34
1370675,0,08-12 05:43:35
1361006,0,08-12 05:43:36
1416623,0,08-12 05:43:37
1386515,0,08-12 05:43:38
1399715,0,08-12 05:43:39
1372886,95,08-12 05:43:40
1350158,0,08-12 05:43:41
1375905,0,08-12 05:43:42
1395066,0,08-12 05:43:43
1379097,0,08-12 05:43:44
1385058,0,08-12 05:43:45
1307999,478,08-12 05:43:46
1384588,247,08-12 05:43:47
963788,510,08-12 05:43:48
1402410,0,08-12 05:43:49
1402710,0,08-12 05:43:50
1391239,0,08-12 05:43:51
1419774,0,08-12 05:43:52
1411977,0,08-12 05:43:53
1388758,0,08-12 05:43:54
1343387,0,08-12 05:43:55
1400035,0,08-12 05:43:56
1367215,95,08-12 05:43:57
1385148,255,08-12 05:43:58
1360655,255,08-12 05:43:59
1349805,765,08-12 05:44:00
1357178,1020,08-12 05:44:01
1306596,339,08-12 05:44:02
1390006,0,08-12 05:44:03
1359922,0,08-12 05:44:04
1365801,0,08-12 05:44:05
1372550,0,08-12 05:44:06
1371245,0,08-12 05:44:07
1302049,1530,08-12 05:44:08
1242723,255,08-12 05:44:09
906508,255,08-12 05:44:10
1384428,0,08-12 05:44:11
1354398,0,08-12 05:44:12
1324508,0,08-12 05:44:13
1273289,0,08-12 05:44:14
1403599,0,08-12 05:44:15
1413005,0,08-12 05:44:16
1402404,0,08-12 05:44:17
1395969,0,08-12 05:44:18
1398874,95,08-12 05:44:19
1397654,0,08-12 05:44:20
1375241,0,08-12 05:44:21
1361452,0,08-12 05:44:22
1312701,0,08-12 05:44:23
1385040,0,08-12 05:44:24
1400598,0,08-12 05:44:25
1393564,0,08-12 05:44:26
1402236,0,08-12 05:44:27
1410423,0,08-12 05:44:28
1403586,95,08-12 05:44:29
1374476,0,08-12 05:44:30
1379199,0,08-12 05:44:31
1393068,0,08-12 05:44:32
1362314,0,08-12 05:44:33
1373110,0,08-12 05:44:34
1382317,494,08-12 05:44:35
1066585,0,08-12 05:44:36
1171847,0,08-12 05:44:37
1396956,0,08-12 05:44:38
1382109,0,08-12 05:44:39
1391265,0,08-12 05:44:40
1400111,0,08-12 05:44:41
1391798,0,08-12 05:44:42
1357830,749,08-12 05:44:43
1370251,255,08-12 05:44:44
1404604,552,08-12 05:44:45
1396683,0,08-12 05:44:46
1371647,255,08-12 05:44:47
1385852,297,08-12 05:44:48
1385147,0,08-12 05:44:49
1365400,1020,08-12 05:44:50
1336716,510,08-12 05:44:51
1375074,0,08-12 05:44:52
1383365,0,08-12 05:44:53
1381613,0,08-12 05:44:54
1376289,0,08-12 05:44:55
1363594,1275,08-12 05:44:56
1314429,255,08-12 05:44:57
