"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain51-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","11 Dec 2017 21:20:21 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,11-12 21:20:21
0,0,11-12 21:20:22
0,0,11-12 21:20:23
95,95,11-12 21:20:24
1051496,17600,11-12 21:20:25
1352960,38808,11-12 21:20:26
1352960,35772,11-12 21:20:27
1352960,35376,11-12 21:20:28
1352498,28050,11-12 21:20:29
1352960,35442,11-12 21:20:30
1352960,37248,11-12 21:20:31
1352894,35928,11-12 21:20:32
1352828,33528,11-12 21:20:33
1352857,32633,11-12 21:20:34
1352960,41382,11-12 21:20:35
1352894,29712,11-12 21:20:36
1352894,31110,11-12 21:20:37
1352828,31350,11-12 21:20:38
1352828,34662,11-12 21:20:39
1352960,36168,11-12 21:20:40
1353034,34134,11-12 21:20:41
1352960,40062,11-12 21:20:42
1352960,36114,11-12 21:20:43
1352923,33095,11-12 21:20:44
1352894,34320,11-12 21:20:45
1352894,30690,11-12 21:20:46
1352964,35376,11-12 21:20:47
1352894,33594,11-12 21:20:48
1352960,35442,11-12 21:20:49
1352828,34914,11-12 21:20:50
1352960,33792,11-12 21:20:51
1352564,31560,11-12 21:20:52
1352960,35574,11-12 21:20:53
1352923,34349,11-12 21:20:54
1352564,30558,11-12 21:20:55
1352960,38016,11-12 21:20:56
1352894,32946,11-12 21:20:57
1352960,36366,11-12 21:20:58
1352960,36036,11-12 21:20:59
1352960,34980,11-12 21:21:00
1352960,35706,11-12 21:21:01
1352894,34452,11-12 21:21:02
1352960,35244,11-12 21:21:03
1353097,33215,11-12 21:21:04
1352960,36894,11-12 21:21:05
1352894,35532,11-12 21:21:06
1352828,32142,11-12 21:21:07
1352960,34716,11-12 21:21:08
1352960,35334,11-12 21:21:09
1352894,29172,11-12 21:21:10
1352828,31350,11-12 21:21:11
1352894,34002,11-12 21:21:12
1352960,35640,11-12 21:21:13
1353055,33647,11-12 21:21:14
1352696,34650,11-12 21:21:15
1352960,33726,11-12 21:21:16
1352960,34914,11-12 21:21:17
1352960,36972,11-12 21:21:18
1352894,37236,11-12 21:21:19
1352960,33858,11-12 21:21:20
1352960,32574,11-12 21:21:21
1352696,30294,11-12 21:21:22
1352960,34146,11-12 21:21:23
1352923,31865,11-12 21:21:24
1352894,31770,11-12 21:21:25
1352828,32772,11-12 21:21:26
1352894,30570,11-12 21:21:27
1352960,33168,11-12 21:21:28
1352696,30306,11-12 21:21:29
1353030,34344,11-12 21:21:30
1352894,36048,11-12 21:21:31
1352960,33672,11-12 21:21:32
1352960,32538,11-12 21:21:33
1352989,31973,11-12 21:21:34
1352894,30690,11-12 21:21:35
1352498,29526,11-12 21:21:36
1352564,30042,11-12 21:21:37
1352762,33210,11-12 21:21:38
1352894,32472,11-12 21:21:39
1352828,29832,11-12 21:21:40
1352894,30954,11-12 21:21:41
1352762,32550,11-12 21:21:42
1352630,29832,11-12 21:21:43
1352833,31289,11-12 21:21:44
1352828,30846,11-12 21:21:45
1352960,33528,11-12 21:21:46
1352828,32772,11-12 21:21:47
1352894,33234,11-12 21:21:48
1352894,33792,11-12 21:21:49
1352894,31548,11-12 21:21:50
1352828,30186,11-12 21:21:51
1352894,30108,11-12 21:21:52
1352964,30438,11-12 21:21:53
1352923,31403,11-12 21:21:54
1352762,31548,11-12 21:21:55
1352630,23232,11-12 21:21:56
1352696,29898,11-12 21:21:57
1352432,27996,11-12 21:21:58
1352762,30174,11-12 21:21:59
1352894,31218,11-12 21:22:00
1352894,29436,11-12 21:22:01
1352894,30504,11-12 21:22:02
1352828,31428,11-12 21:22:03
1352725,33107,11-12 21:22:04
1352894,31350,11-12 21:22:05
1352960,34320,11-12 21:22:06
1352828,33198,11-12 21:22:07
1352894,31098,11-12 21:22:08
1352960,30372,11-12 21:22:09
1352960,35070,11-12 21:22:10
1352960,32802,11-12 21:22:11
1352696,28458,11-12 21:22:12
1352894,32736,11-12 21:22:13
1352989,32831,11-12 21:22:14
1352828,31944,11-12 21:22:15
1352630,31956,11-12 21:22:16
1352960,35442,11-12 21:22:17
1352894,34122,11-12 21:22:18
1352960,35256,11-12 21:22:19
1352960,33396,11-12 21:22:20
1352960,33528,11-12 21:22:21
1352498,31494,11-12 21:22:22
1352960,36168,11-12 21:22:23
1353055,33635,11-12 21:22:24
1352540,32328,11-12 21:22:25
1352762,33792,11-12 21:22:26
1352960,35058,11-12 21:22:27
1352960,34122,11-12 21:22:28
1352894,31692,11-12 21:22:29
1353730,33960,11-12 21:22:30
1352366,26214,11-12 21:22:31
1352498,29172,11-12 21:22:32
1352894,34002,11-12 21:22:33
1352923,34229,11-12 21:22:34
1352894,34452,11-12 21:22:35
