"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain62-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","11 Dec 2017 09:29:17 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,11-12 09:29:17
0,0,11-12 09:29:18
0,0,11-12 09:29:19
0,0,11-12 09:29:20
70,0,11-12 09:29:21
0,0,11-12 09:29:22
428610,0,11-12 09:29:23
1815038,0,11-12 09:29:24
1184095,0,11-12 09:29:25
1039765,95,11-12 09:29:26
1266731,0,11-12 09:29:27
1278143,0,11-12 09:29:28
1235990,0,11-12 09:29:29
1229489,0,11-12 09:29:30
1215896,0,11-12 09:29:31
1171688,0,11-12 09:29:32
1032060,0,11-12 09:29:33
1250810,0,11-12 09:29:34
1194692,0,11-12 09:29:35
1184623,95,11-12 09:29:36
1315112,0,11-12 09:29:37
1223807,0,11-12 09:29:38
1276596,0,11-12 09:29:39
1227250,0,11-12 09:29:40
1224793,0,11-12 09:29:41
1164126,0,11-12 09:29:42
1162188,0,11-12 09:29:43
1091277,0,11-12 09:29:44
1203266,42,11-12 09:29:45
1205598,95,11-12 09:29:46
1260354,0,11-12 09:29:47
1218857,0,11-12 09:29:48
1190068,0,11-12 09:29:49
1121155,478,11-12 09:29:50
1240888,0,11-12 09:29:51
741899,255,11-12 09:29:52
1281438,0,11-12 09:29:53
1358001,0,11-12 09:29:54
1192881,42,11-12 09:29:55
1321782,0,11-12 09:29:56
1189168,0,11-12 09:29:57
1241162,0,11-12 09:29:58
1227158,749,11-12 09:29:59
1172712,765,11-12 09:30:00
1246040,0,11-12 09:30:01
1222360,0,11-12 09:30:02
1205797,255,11-12 09:30:03
1292518,0,11-12 09:30:04
1223039,0,11-12 09:30:05
1237977,255,11-12 09:30:06
1117464,0,11-12 09:30:07
1299396,255,11-12 09:30:08
1191550,0,11-12 09:30:09
1311652,0,11-12 09:30:10
1307709,0,11-12 09:30:11
1238849,0,11-12 09:30:12
1260798,0,11-12 09:30:13
1202646,1530,11-12 09:30:14
1164048,255,11-12 09:30:15
869500,255,11-12 09:30:16
747681,0,11-12 09:30:17
1280339,0,11-12 09:30:18
1150224,0,11-12 09:30:19
1192008,0,11-12 09:30:20
1155574,0,11-12 09:30:21
1282251,0,11-12 09:30:22
1223742,0,11-12 09:30:23
1168743,0,11-12 09:30:24
1225058,0,11-12 09:30:25
1167634,95,11-12 09:30:26
1300078,0,11-12 09:30:27
1219751,42,11-12 09:30:28
1268533,0,11-12 09:30:29
1213938,0,11-12 09:30:30
1178234,0,11-12 09:30:31
1233818,0,11-12 09:30:32
1330329,0,11-12 09:30:33
1244418,0,11-12 09:30:34
1320641,0,11-12 09:30:35
1237392,95,11-12 09:30:36
1250483,0,11-12 09:30:37
1062938,0,11-12 09:30:38
1108491,0,11-12 09:30:39
1280468,0,11-12 09:30:40
1326141,42,11-12 09:30:41
970839,0,11-12 09:30:42
1293453,0,11-12 09:30:43
1087763,0,11-12 09:30:44
1197152,478,11-12 09:30:45
1137743,247,11-12 09:30:46
701120,0,11-12 09:30:47
1278099,0,11-12 09:30:48
1249569,0,11-12 09:30:49
1237911,0,11-12 09:30:50
1335026,0,11-12 09:30:51
1228440,0,11-12 09:30:52
1208251,0,11-12 09:30:53
1120494,749,11-12 09:30:54
1108270,0,11-12 09:30:55
1168549,0,11-12 09:30:56
1344568,0,11-12 09:30:57
1169950,0,11-12 09:30:58
1313583,0,11-12 09:30:59
1217087,0,11-12 09:31:00
1212756,765,11-12 09:31:01
1232212,0,11-12 09:31:02
1231604,0,11-12 09:31:03
1171383,247,11-12 09:31:04
1192949,0,11-12 09:31:05
1331727,0,11-12 09:31:06
1273020,0,11-12 09:31:07
1182707,0,11-12 09:31:08
1222591,0,11-12 09:31:09
1011127,1530,11-12 09:31:10
1060549,297,11-12 09:31:11
945827,255,11-12 09:31:12
1321196,0,11-12 09:31:13
1228141,0,11-12 09:31:14
1202767,0,11-12 09:31:15
1197156,0,11-12 09:31:16
1301818,0,11-12 09:31:17
1346906,0,11-12 09:31:18
1169056,0,11-12 09:31:19
1255832,0,11-12 09:31:20
1224285,95,11-12 09:31:21
1207685,0,11-12 09:31:22
1264870,0,11-12 09:31:23
1213980,0,11-12 09:31:24
1273194,0,11-12 09:31:25
1247385,0,11-12 09:31:26
1258091,0,11-12 09:31:27
1243811,0,11-12 09:31:28
1225211,0,11-12 09:31:29
1267861,0,11-12 09:31:30
1201190,95,11-12 09:31:31
1284147,0,11-12 09:31:32
1296252,0,11-12 09:31:33
1152005,0,11-12 09:31:34
1149992,0,11-12 09:31:35
1019956,42,11-12 09:31:36
1379421,0,11-12 09:31:37
1115383,0,11-12 09:31:38
1313073,0,11-12 09:31:39
1061318,1434,11-12 09:31:40
1133558,0,11-12 09:31:41
663776,0,11-12 09:31:42
1066629,0,11-12 09:31:43
1143333,0,11-12 09:31:44
1188213,0,11-12 09:31:45
1103378,0,11-12 09:31:46
1329558,0,11-12 09:31:47
1277022,0,11-12 09:31:48
1249502,95,11-12 09:31:49
1077372,0,11-12 09:31:50
1130726,510,11-12 09:31:51
1313326,255,11-12 09:31:52
1329887,0,11-12 09:31:53
1354510,42,11-12 09:31:54
1243021,0,11-12 09:31:55
1310284,765,11-12 09:31:56
1200921,0,11-12 09:31:57
1228949,0,11-12 09:31:58
1290520,247,11-12 09:31:59
1270566,0,11-12 09:32:00
1317873,0,11-12 09:32:01
1350443,0,11-12 09:32:02
1136971,0,11-12 09:32:03
1209575,255,11-12 09:32:04
1125382,1530,11-12 09:32:05
1005382,255,11-12 09:32:06
904570,0,11-12 09:32:07
1310865,0,11-12 09:32:08
1283311,0,11-12 09:32:09
1308517,0,11-12 09:32:10
1073895,0,11-12 09:32:11
1168637,0,11-12 09:32:12
1262365,0,11-12 09:32:13
1225089,0,11-12 09:32:14
1251006,0,11-12 09:32:15
1144524,95,11-12 09:32:16
1318964,0,11-12 09:32:17
1217581,0,11-12 09:32:18
1320807,0,11-12 09:32:19
1179281,0,11-12 09:32:20
1291853,0,11-12 09:32:21
1216748,0,11-12 09:32:22
1228024,42,11-12 09:32:23
1193455,0,11-12 09:32:24
1342011,0,11-12 09:32:25
1226683,95,11-12 09:32:26
1152567,0,11-12 09:32:27
1091664,0,11-12 09:32:28
1354397,0,11-12 09:32:29
1270950,0,11-12 09:32:30
1042008,42,11-12 09:32:31
1297371,0,11-12 09:32:32
1214601,0,11-12 09:32:33
1171133,0,11-12 09:32:34
1254415,239,11-12 09:32:35
1002422,247,11-12 09:32:36
979436,0,11-12 09:32:37
1257150,0,11-12 09:32:38
1215231,0,11-12 09:32:39
1154835,0,11-12 09:32:40
1309535,0,11-12 09:32:41
1234018,0,11-12 09:32:42
1286624,0,11-12 09:32:43
1273740,0,11-12 09:32:44
1134977,95,11-12 09:32:45
1101808,0,11-12 09:32:46
1211734,0,11-12 09:32:47
1313861,510,11-12 09:32:48
1259122,0,11-12 09:32:49
1166114,0,11-12 09:32:50
1124269,42,11-12 09:32:51
1271539,0,11-12 09:32:52
1196696,42,11-12 09:32:53
1045993,0,11-12 09:32:54
1156766,0,11-12 09:32:55
1183750,0,11-12 09:32:56
1283944,95,11-12 09:32:57
1258655,0,11-12 09:32:58
1134215,510,11-12 09:32:59
1074668,1275,11-12 09:33:00
1139129,255,11-12 09:33:01
720356,0,11-12 09:33:02
1235254,0,11-12 09:33:03
1288005,0,11-12 09:33:04
1223797,0,11-12 09:33:05
1183189,0,11-12 09:33:06
1222367,0,11-12 09:33:07
1259359,0,11-12 09:33:08
1167649,0,11-12 09:33:09
1167546,95,11-12 09:33:10
1338285,0,11-12 09:33:11
1237670,0,11-12 09:33:12
1060586,0,11-12 09:33:13
1229843,0,11-12 09:33:14
1204561,42,11-12 09:33:15
1284604,0,11-12 09:33:16
1270797,0,11-12 09:33:17
1239386,0,11-12 09:33:18
1340745,0,11-12 09:33:19
1215517,137,11-12 09:33:20
1112122,0,11-12 09:33:21
1256585,0,11-12 09:33:22
1249830,0,11-12 09:33:23
1175765,0,11-12 09:33:24
963863,0,11-12 09:33:25
1309594,0,11-12 09:33:26
1246098,0,11-12 09:33:27
1149092,0,11-12 09:33:28
1176866,0,11-12 09:33:29
1204778,1442,11-12 09:33:30
1131765,0,11-12 09:33:31
590949,510,11-12 09:33:32
1296462,0,11-12 09:33:33
1315683,0,11-12 09:33:34
1287861,0,11-12 09:33:35
1191614,0,11-12 09:33:36
1214989,42,11-12 09:33:37
