"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain35-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","09 Dec 2017 23:00:48 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,09-12 23:00:48
0,0,09-12 23:00:49
95,95,09-12 23:00:50
0,0,09-12 23:00:51
0,0,09-12 23:00:52
0,0,09-12 23:00:53
0,0,09-12 23:00:54
0,0,09-12 23:00:55
462587,0,09-12 23:00:56
1581015,0,09-12 23:00:57
1398852,0,09-12 23:00:58
1406517,95,09-12 23:00:59
1399398,0,09-12 23:01:00
1407085,0,09-12 23:01:01
1402475,0,09-12 23:01:02
1389425,0,09-12 23:01:03
1392887,42,09-12 23:01:04
1382419,0,09-12 23:01:05
1408117,0,09-12 23:01:06
1419138,0,09-12 23:01:07
1416360,0,09-12 23:01:08
1392301,95,09-12 23:01:09
1387260,0,09-12 23:01:10
1395080,0,09-12 23:01:11
1401656,0,09-12 23:01:12
1377752,0,09-12 23:01:13
1387053,0,09-12 23:01:14
1411980,0,09-12 23:01:15
1385749,0,09-12 23:01:16
1360192,0,09-12 23:01:17
1381055,964,09-12 23:01:18
941398,510,09-12 23:01:19
1382849,0,09-12 23:01:20
1403971,0,09-12 23:01:21
1403139,42,09-12 23:01:22
1385866,0,09-12 23:01:23
1408765,0,09-12 23:01:24
1387052,0,09-12 23:01:25
1370899,0,09-12 23:01:26
1365318,0,09-12 23:01:27
1399932,0,09-12 23:01:28
1397099,510,09-12 23:01:29
1329601,255,09-12 23:01:30
1367376,510,09-12 23:01:31
1383784,0,09-12 23:01:32
1357624,1020,09-12 23:01:33
1318454,536,09-12 23:01:34
1350063,0,09-12 23:01:35
1382244,0,09-12 23:01:36
1367452,0,09-12 23:01:37
1380145,0,09-12 23:01:38
1366682,1259,09-12 23:01:39
1299417,255,09-12 23:01:40
961134,255,09-12 23:01:41
1401225,0,09-12 23:01:42
1381877,0,09-12 23:01:43
1364456,0,09-12 23:01:44
1270146,0,09-12 23:01:45
1397207,0,09-12 23:01:46
1405295,0,09-12 23:01:47
1397409,0,09-12 23:01:48
1369963,0,09-12 23:01:49
1396565,95,09-12 23:01:50
1392267,0,09-12 23:01:51
1394648,0,09-12 23:01:52
1383446,0,09-12 23:01:53
1400483,0,09-12 23:01:54
1394529,0,09-12 23:01:55
1422725,0,09-12 23:01:56
1370107,0,09-12 23:01:57
1345600,0,09-12 23:01:58
1396546,0,09-12 23:01:59
1392878,95,09-12 23:02:00
1394690,0,09-12 23:02:01
1398297,0,09-12 23:02:02
1371369,0,09-12 23:02:03
1369848,0,09-12 23:02:04
1373954,42,09-12 23:02:05
1341536,1434,09-12 23:02:06
1372301,0,09-12 23:02:07
946420,255,09-12 23:02:08
1370613,0,09-12 23:02:09
1388508,0,09-12 23:02:10
1389577,42,09-12 23:02:11
1409573,0,09-12 23:02:12
1398757,0,09-12 23:02:13
1382484,749,09-12 23:02:14
1366527,510,09-12 23:02:15
1390436,765,09-12 23:02:16
1352268,0,09-12 23:02:17
1411365,255,09-12 23:02:18
1376563,255,09-12 23:02:19
1385714,255,09-12 23:02:20
1360606,0,09-12 23:02:21
1319355,255,09-12 23:02:22
1389240,494,09-12 23:02:23
1385451,0,09-12 23:02:24
1383308,0,09-12 23:02:25
1364046,0,09-12 23:02:26
1378139,0,09-12 23:02:27
1337452,1530,09-12 23:02:28
1243477,255,09-12 23:02:29
1073983,0,09-12 23:02:30
1390504,0,09-12 23:02:31
1402307,0,09-12 23:02:32
1353153,42,09-12 23:02:33
1279909,0,09-12 23:02:34
1404422,0,09-12 23:02:35
1391658,0,09-12 23:02:36
1406919,0,09-12 23:02:37
1409058,95,09-12 23:02:38
1406627,0,09-12 23:02:39
1400779,0,09-12 23:02:40
1396327,0,09-12 23:02:41
1397925,0,09-12 23:02:42
1412375,0,09-12 23:02:43
1408418,0,09-12 23:02:44
1405782,0,09-12 23:02:45
1367147,0,09-12 23:02:46
1381963,0,09-12 23:02:47
1409472,95,09-12 23:02:48
1378575,0,09-12 23:02:49
1388464,0,09-12 23:02:50
1402804,0,09-12 23:02:51
1395381,0,09-12 23:02:52
1404224,0,09-12 23:02:53
1298749,1434,09-12 23:02:54
1368730,0,09-12 23:02:55
912231,255,09-12 23:02:56
1377012,0,09-12 23:02:57
1372239,0,09-12 23:02:58
1383711,0,09-12 23:02:59
1424179,84,09-12 23:03:00
1415605,0,09-12 23:03:01
1367005,749,09-12 23:03:02
1356600,510,09-12 23:03:03
1368030,0,09-12 23:03:04
1362655,0,09-12 23:03:05
1376020,510,09-12 23:03:06
1358160,255,09-12 23:03:07
1375120,255,09-12 23:03:08
1374432,0,09-12 23:03:09
1363765,510,09-12 23:03:10
1332405,1004,09-12 23:03:11
1366586,0,09-12 23:03:12
1381715,0,09-12 23:03:13
1356217,0,09-12 23:03:14
1378201,0,09-12 23:03:15
1309196,1275,09-12 23:03:16
1289230,255,09-12 23:03:17
870977,255,09-12 23:03:18
1389513,0,09-12 23:03:19
1384883,0,09-12 23:03:20
1378340,0,09-12 23:03:21
1270979,0,09-12 23:03:22
1403576,0,09-12 23:03:23
1401694,0,09-12 23:03:24
1392900,0,09-12 23:03:25
1391049,0,09-12 23:03:26
1388336,95,09-12 23:03:27
1371419,0,09-12 23:03:28
1380169,0,09-12 23:03:29
1361333,0,09-12 23:03:30
1384144,0,09-12 23:03:31
1378547,0,09-12 23:03:32
1387866,0,09-12 23:03:33
1389317,0,09-12 23:03:34
1401395,0,09-12 23:03:35
1422819,0,09-12 23:03:36
1379223,95,09-12 23:03:37
1378427,0,09-12 23:03:38
1392978,0,09-12 23:03:39
1392426,0,09-12 23:03:40
1395939,0,09-12 23:03:41
1398551,42,09-12 23:03:42
1357334,478,09-12 23:03:43
1351469,0,09-12 23:03:44
943780,0,09-12 23:03:45
1400502,0,09-12 23:03:46
1404213,0,09-12 23:03:47
1392946,0,09-12 23:03:48
1427543,0,09-12 23:03:49
1410448,42,09-12 23:03:50
1368189,255,09-12 23:03:51
1371829,0,09-12 23:03:52
1399542,255,09-12 23:03:53
1387427,255,09-12 23:03:54
1404439,255,09-12 23:03:55
1366987,255,09-12 23:03:56
1395698,0,09-12 23:03:57
1333658,0,09-12 23:03:58
1325173,749,09-12 23:03:59
1401637,247,09-12 23:04:00
1349258,0,09-12 23:04:01
1366203,0,09-12 23:04:02
1379200,0,09-12 23:04:03
1379761,0,09-12 23:04:04
1318147,1530,09-12 23:04:05
1264220,255,09-12 23:04:06
998607,0,09-12 23:04:07
1399099,0,09-12 23:04:08
1402053,0,09-12 23:04:09
1403317,0,09-12 23:04:10
1291909,0,09-12 23:04:11
1394330,0,09-12 23:04:12
1401271,0,09-12 23:04:13
1411904,0,09-12 23:04:14
1383106,95,09-12 23:04:15
1381627,0,09-12 23:04:16
1400303,0,09-12 23:04:17
1405940,0,09-12 23:04:18
1407657,0,09-12 23:04:19
1407670,42,09-12 23:04:20
1408180,0,09-12 23:04:21
1415871,0,09-12 23:04:22
1379171,0,09-12 23:04:23
1397756,0,09-12 23:04:24
1356657,95,09-12 23:04:25
1376592,0,09-12 23:04:26
1364052,0,09-12 23:04:27
1391818,0,09-12 23:04:28
1386615,0,09-12 23:04:29
1393183,0,09-12 23:04:30
1327331,0,09-12 23:04:31
1402726,247,09-12 23:04:32
950314,510,09-12 23:04:33
1403220,0,09-12 23:04:34
1372932,0,09-12 23:04:35
1369509,0,09-12 23:04:36
1324843,0,09-12 23:04:37
1397189,0,09-12 23:04:38
1390313,749,09-12 23:04:39
1384550,0,09-12 23:04:40
1376308,42,09-12 23:04:41
1395342,255,09-12 23:04:42
1403621,255,09-12 23:04:43
1370008,255,09-12 23:04:44
1358168,255,09-12 23:04:45
1371664,0,09-12 23:04:46
1333467,1020,09-12 23:04:47
1278085,757,09-12 23:04:48
1375757,0,09-12 23:04:49
1372459,0,09-12 23:04:50
1362705,0,09-12 23:04:51
1383299,0,09-12 23:04:52
1362534,1259,09-12 23:04:53
1273148,255,09-12 23:04:54
987298,255,09-12 23:04:55
1392055,0,09-12 23:04:56
1390620,0,09-12 23:04:57
1353433,0,09-12 23:04:58
1296875,0,09-12 23:04:59
1391676,42,09-12 23:05:00
1382608,0,09-12 23:05:01
1392781,0,09-12 23:05:02
1407150,0,09-12 23:05:03
1363887,95,09-12 23:05:04
1379648,0,09-12 23:05:05
1400898,0,09-12 23:05:06
1387047,0,09-12 23:05:07
1382879,0,09-12 23:05:08
1394107,0,09-12 23:05:09
1402347,0,09-12 23:05:10
1387719,0,09-12 23:05:11
1380126,0,09-12 23:05:12
1399591,0,09-12 23:05:13
1378724,95,09-12 23:05:14
1372838,0,09-12 23:05:15
1380684,0,09-12 23:05:16
1401411,0,09-12 23:05:17
1358922,0,09-12 23:05:18
1366415,0,09-12 23:05:19
1305194,1434,09-12 23:05:20
1379619,0,09-12 23:05:21
929427,255,09-12 23:05:22
1392852,0,09-12 23:05:23
1405581,0,09-12 23:05:24
1389027,0,09-12 23:05:25
1385035,0,09-12 23:05:26
1431412,0,09-12 23:05:27
1375312,749,09-12 23:05:28
1361780,0,09-12 23:05:29
1408948,510,09-12 23:05:30
1359687,0,09-12 23:05:31
1413006,807,09-12 23:05:32
1367545,0,09-12 23:05:33
1384211,255,09-12 23:05:34
1368240,0,09-12 23:05:35
1331091,255,09-12 23:05:36
1369870,247,09-12 23:05:37
1355175,0,09-12 23:05:38
1383090,42,09-12 23:05:39
1384061,0,09-12 23:05:40
1390163,0,09-12 23:05:41
1355856,1530,09-12 23:05:42
1253839,255,09-12 23:05:43
940377,255,09-12 23:05:44
1375259,0,09-12 23:05:45
1399320,0,09-12 23:05:46
1388409,0,09-12 23:05:47
1278771,0,09-12 23:05:48
1392581,0,09-12 23:05:49
1401196,0,09-12 23:05:50
1401621,0,09-12 23:05:51
1406127,0,09-12 23:05:52
1397609,95,09-12 23:05:53
