"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain46-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","11 Dec 2017 13:17:03 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,11-12 13:17:03
0,0,11-12 13:17:04
0,0,11-12 13:17:05
0,0,11-12 13:17:06
0,0,11-12 13:17:07
0,0,11-12 13:17:08
0,0,11-12 13:17:09
0,0,11-12 13:17:10
330203,0,11-12 13:17:11
1245626,0,11-12 13:17:12
1270282,95,11-12 13:17:13
1173101,0,11-12 13:17:14
1132322,0,11-12 13:17:15
1130639,42,11-12 13:17:16
1261857,0,11-12 13:17:17
1287595,0,11-12 13:17:18
1290408,0,11-12 13:17:19
1180332,0,11-12 13:17:20
1196766,0,11-12 13:17:21
1161154,0,11-12 13:17:22
1118233,95,11-12 13:17:23
1142418,0,11-12 13:17:24
1175028,0,11-12 13:17:25
1122073,0,11-12 13:17:26
1145300,0,11-12 13:17:27
1153554,0,11-12 13:17:28
1136937,0,11-12 13:17:29
1121699,0,11-12 13:17:30
1126067,0,11-12 13:17:31
1131042,0,11-12 13:17:32
1134864,95,11-12 13:17:33
1120764,0,11-12 13:17:34
1149227,0,11-12 13:17:35
1083637,0,11-12 13:17:36
1103001,1434,11-12 13:17:37
1118506,247,11-12 13:17:38
699699,255,11-12 13:17:39
1144767,0,11-12 13:17:40
1135278,0,11-12 13:17:41
1130289,0,11-12 13:17:42
1148629,84,11-12 13:17:43
1148044,0,11-12 13:17:44
1152240,0,11-12 13:17:45
1126523,0,11-12 13:17:46
1111907,0,11-12 13:17:47
1097242,1020,11-12 13:17:48
1129678,255,11-12 13:17:49
1120284,0,11-12 13:17:50
1134902,255,11-12 13:17:51
1170740,255,11-12 13:17:52
1125369,510,11-12 13:17:53
1117245,0,11-12 13:17:54
1108930,0,11-12 13:17:55
1121213,510,11-12 13:17:56
1082163,1012,11-12 13:17:57
1140546,0,11-12 13:17:58
1157445,0,11-12 13:17:59
1161235,0,11-12 13:18:00
1107798,0,11-12 13:18:01
1106038,0,11-12 13:18:02
1085094,1530,11-12 13:18:03
1042477,255,11-12 13:18:04
1115014,255,11-12 13:18:05
996763,0,11-12 13:18:06
1118842,0,11-12 13:18:07
1122537,0,11-12 13:18:08
1187255,42,11-12 13:18:09
1031842,0,11-12 13:18:10
1235789,0,11-12 13:18:11
1134436,0,11-12 13:18:12
1116720,0,11-12 13:18:13
1196076,0,11-12 13:18:14
1167539,95,11-12 13:18:15
1144335,0,11-12 13:18:16
1155900,0,11-12 13:18:17
1122597,0,11-12 13:18:18
1158457,0,11-12 13:18:19
1104118,0,11-12 13:18:20
1191095,0,11-12 13:18:21
1129323,0,11-12 13:18:22
1151560,0,11-12 13:18:23
1142231,0,11-12 13:18:24
1137914,95,11-12 13:18:25
1134288,0,11-12 13:18:26
1172332,0,11-12 13:18:27
1173706,0,11-12 13:18:28
1169919,0,11-12 13:18:29
1140515,0,11-12 13:18:30
1127151,0,11-12 13:18:31
1127316,0,11-12 13:18:32
1132803,0,11-12 13:18:33
1146164,0,11-12 13:18:34
1123695,1529,11-12 13:18:35
1123513,42,11-12 13:18:36
945662,0,11-12 13:18:37
840575,510,11-12 13:18:38
1173423,0,11-12 13:18:39
1124313,42,11-12 13:18:40
1134069,0,11-12 13:18:41
1153384,0,11-12 13:18:42
1143114,0,11-12 13:18:43
1156242,0,11-12 13:18:44
1123303,749,11-12 13:18:45
1113275,0,11-12 13:18:46
1168759,510,11-12 13:18:47
1167091,255,11-12 13:18:48
1119177,255,11-12 13:18:49
1132956,765,11-12 13:18:50
1163174,255,11-12 13:18:51
1117820,510,11-12 13:18:52
1111216,0,11-12 13:18:53
1093608,510,11-12 13:18:54
1057117,255,11-12 13:18:55
1131224,0,11-12 13:18:56
1113401,0,11-12 13:18:57
1116089,0,11-12 13:18:58
1112815,0,11-12 13:18:59
1106073,0,11-12 13:19:00
1111245,0,11-12 13:19:01
1080035,1530,11-12 13:19:02
1019984,297,11-12 13:19:03
964259,255,11-12 13:19:04
1002713,0,11-12 13:19:05
1177369,0,11-12 13:19:06
1189632,0,11-12 13:19:07
1134705,0,11-12 13:19:08
1023705,0,11-12 13:19:09
1127762,0,11-12 13:19:10
1171354,0,11-12 13:19:11
1133967,0,11-12 13:19:12
1120978,0,11-12 13:19:13
1193069,95,11-12 13:19:14
1126255,0,11-12 13:19:15
1129040,0,11-12 13:19:16
1120975,0,11-12 13:19:17
1164707,0,11-12 13:19:18
1173150,0,11-12 13:19:19
1144414,0,11-12 13:19:20
1145305,0,11-12 13:19:21
1148834,0,11-12 13:19:22
1125135,0,11-12 13:19:23
1178447,95,11-12 13:19:24
1186981,0,11-12 13:19:25
1154842,0,11-12 13:19:26
1126773,0,11-12 13:19:27
1128515,0,11-12 13:19:28
1131798,0,11-12 13:19:29
1146303,0,11-12 13:19:30
1131654,0,11-12 13:19:31
1139904,0,11-12 13:19:32
1148522,0,11-12 13:19:33
1063112,1529,11-12 13:19:34
1124044,247,11-12 13:19:35
889419,0,11-12 13:19:36
910199,255,11-12 13:19:37
1119234,0,11-12 13:19:38
1152852,42,11-12 13:19:39
1122603,0,11-12 13:19:40
1137224,0,11-12 13:19:41
1185511,0,11-12 13:19:42
1116902,0,11-12 13:19:43
1197661,0,11-12 13:19:44
1109276,765,11-12 13:19:45
1157936,0,11-12 13:19:46
1148339,510,11-12 13:19:47
1165569,807,11-12 13:19:48
1135737,0,11-12 13:19:49
1126918,0,11-12 13:19:50
1146757,0,11-12 13:19:51
1114064,0,11-12 13:19:52
1145908,510,11-12 13:19:53
1156524,1004,11-12 13:19:54
1129283,247,11-12 13:19:55
1124301,0,11-12 13:19:56
1137374,0,11-12 13:19:57
1109804,0,11-12 13:19:58
1113823,0,11-12 13:19:59
1173304,765,11-12 13:20:00
1051038,1020,11-12 13:20:01
993580,0,11-12 13:20:02
893773,255,11-12 13:20:03
1388371,0,11-12 13:20:04
1132722,0,11-12 13:20:05
1181410,42,11-12 13:20:06
1157519,0,11-12 13:20:07
1075069,0,11-12 13:20:08
1113468,0,11-12 13:20:09
1189678,0,11-12 13:20:10
1161161,0,11-12 13:20:11
1139965,95,11-12 13:20:12
1190540,0,11-12 13:20:13
1114442,0,11-12 13:20:14
1168013,0,11-12 13:20:15
1189707,0,11-12 13:20:16
1135963,0,11-12 13:20:17
1130050,0,11-12 13:20:18
1125948,0,11-12 13:20:19
1169749,0,11-12 13:20:20
1153555,0,11-12 13:20:21
1209917,95,11-12 13:20:22
1208596,0,11-12 13:20:23
1179291,0,11-12 13:20:24
1128495,0,11-12 13:20:25
1136484,0,11-12 13:20:26
1122926,0,11-12 13:20:27
1161741,0,11-12 13:20:28
1140624,0,11-12 13:20:29
1125273,0,11-12 13:20:30
1134237,0,11-12 13:20:31
1110102,95,11-12 13:20:32
1140035,1476,11-12 13:20:33
1128551,247,11-12 13:20:34
720826,0,11-12 13:20:35
1137844,0,11-12 13:20:36
1179195,42,11-12 13:20:37
1181490,0,11-12 13:20:38
1142078,0,11-12 13:20:39
1144887,0,11-12 13:20:40
1157752,0,11-12 13:20:41
1097431,0,11-12 13:20:42
1146620,0,11-12 13:20:43
1093484,95,11-12 13:20:44
1102742,255,11-12 13:20:45
1201742,0,11-12 13:20:46
1156745,255,11-12 13:20:47
1103400,0,11-12 13:20:48
1172388,255,11-12 13:20:49
1135948,0,11-12 13:20:50
1173509,510,11-12 13:20:51
1136137,1012,11-12 13:20:52
1126611,247,11-12 13:20:53
1116531,0,11-12 13:20:54
1108098,0,11-12 13:20:55
1113524,0,11-12 13:20:56
1199041,0,11-12 13:20:57
1180150,0,11-12 13:20:58
1131254,1530,11-12 13:20:59
1027008,255,11-12 13:21:00
976144,255,11-12 13:21:01
1374631,0,11-12 13:21:02
1125877,0,11-12 13:21:03
1177809,42,11-12 13:21:04
1118246,0,11-12 13:21:05
1109952,0,11-12 13:21:06
1129137,0,11-12 13:21:07
1133265,0,11-12 13:21:08
1137664,0,11-12 13:21:09
1143209,95,11-12 13:21:10
1130883,0,11-12 13:21:11
1130900,0,11-12 13:21:12
1151480,0,11-12 13:21:13
1191642,0,11-12 13:21:14
1122749,0,11-12 13:21:15
1147103,0,11-12 13:21:16
1129027,0,11-12 13:21:17
1150536,42,11-12 13:21:18
1101447,0,11-12 13:21:19
1125049,95,11-12 13:21:20
1136668,0,11-12 13:21:21
1186009,0,11-12 13:21:22
