"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain55-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","11 Dec 2017 20:16:32 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,11-12 20:16:32
0,0,11-12 20:16:33
0,0,11-12 20:16:34
136222,4838,11-12 20:16:35
1323731,26255,11-12 20:16:36
1353030,36828,11-12 20:16:37
1352960,35574,11-12 20:16:38
1352960,35640,11-12 20:16:39
1352960,35640,11-12 20:16:40
1352960,35640,11-12 20:16:41
1352960,35508,11-12 20:16:42
1352960,35772,11-12 20:16:43
1352960,32868,11-12 20:16:44
1352960,34584,11-12 20:16:45
1353055,35735,11-12 20:16:46
1352960,35574,11-12 20:16:47
1352960,35640,11-12 20:16:48
1352960,35640,11-12 20:16:49
1352960,35718,11-12 20:16:50
1352762,33792,11-12 20:16:51
1352960,35640,11-12 20:16:52
1352960,35772,11-12 20:16:53
1352564,33924,11-12 20:16:54
1352960,36168,11-12 20:16:55
1353055,35603,11-12 20:16:56
1352960,35376,11-12 20:16:57
1352960,35178,11-12 20:16:58
1352564,33660,11-12 20:16:59
1352894,34056,11-12 20:17:00
1352960,35640,11-12 20:17:01
1352960,35640,11-12 20:17:02
1352960,35574,11-12 20:17:03
1352960,35310,11-12 20:17:04
1352960,35574,11-12 20:17:05
1353055,35735,11-12 20:17:06
1353002,35484,11-12 20:17:07
1352960,35640,11-12 20:17:08
1352634,34188,11-12 20:17:09
1352960,35640,11-12 20:17:10
1352960,35574,11-12 20:17:11
1352960,35640,11-12 20:17:12
1352960,35640,11-12 20:17:13
1352564,33396,11-12 20:17:14
1352960,34782,11-12 20:17:15
1352960,35442,11-12 20:17:16
1353055,34415,11-12 20:17:17
1352960,34782,11-12 20:17:18
1352564,34398,11-12 20:17:19
1352968,35310,11-12 20:17:20
1352960,35640,11-12 20:17:21
1352960,34254,11-12 20:17:22
1353566,33852,11-12 20:17:23
1352960,35640,11-12 20:17:24
