"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain0-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf2 --bits --output /tmp/dstat.csv",,,,"Date:","10 Dec 2017 00:25:43 UTC"
"net/intf2",,"system"
"recv","send","time"
0,0,10-12 00:25:43
210,0,10-12 00:25:44
0,0,10-12 00:25:45
95,95,10-12 00:25:46
0,0,10-12 00:25:47
0,0,10-12 00:25:48
0,0,10-12 00:25:49
0,0,10-12 00:25:50
0,0,10-12 00:25:51
1328683,0,10-12 00:25:52
12849316,0,10-12 00:25:53
12076478,1490,10-12 00:25:54
12505142,255,10-12 00:25:55
9916359,255,10-12 00:25:56
12077360,0,10-12 00:25:57
12540966,0,10-12 00:25:58
12006080,733,10-12 00:25:59
12566960,255,10-12 00:26:00
12818460,255,10-12 00:26:01
10023428,255,10-12 00:26:02
12430200,0,10-12 00:26:03
12606275,0,10-12 00:26:04
11663320,733,10-12 00:26:05
13014360,255,10-12 00:26:06
10869647,255,10-12 00:26:07
12730143,0,10-12 00:26:08
12718413,0,10-12 00:26:09
12287009,733,10-12 00:26:10
12738706,255,10-12 00:26:11
12632310,255,10-12 00:26:12
10769798,255,10-12 00:26:13
12427141,42,10-12 00:26:14
12534148,0,10-12 00:26:15
11970153,757,10-12 00:26:16
12535278,255,10-12 00:26:17
10717796,255,10-12 00:26:18
12545953,0,10-12 00:26:19
12564100,0,10-12 00:26:20
11913788,759,10-12 00:26:21
12610198,255,10-12 00:26:22
11895663,255,10-12 00:26:23
9160271,0,10-12 00:26:24
12491372,0,10-12 00:26:25
12670188,0,10-12 00:26:26
11596211,980,10-12 00:26:27
12613871,255,10-12 00:26:28
9646122,255,10-12 00:26:29
12257057,0,10-12 00:26:30
12386300,0,10-12 00:26:31
11814299,733,10-12 00:26:32
12845213,255,10-12 00:26:33
13087665,255,10-12 00:26:34
9774876,255,10-12 00:26:35
12789968,0,10-12 00:26:36
12891247,0,10-12 00:26:37
11933938,733,10-12 00:26:38
12624996,255,10-12 00:26:39
10242230,255,10-12 00:26:40
12691969,0,10-12 00:26:41
12872771,0,10-12 00:26:42
12203147,733,10-12 00:26:43
12576687,255,10-12 00:26:44
12474695,255,10-12 00:26:45
10920483,0,10-12 00:26:46
12610805,0,10-12 00:26:47
12635347,733,10-12 00:26:48
11964473,255,10-12 00:26:49
12862988,255,10-12 00:26:50
9535494,255,10-12 00:26:51
12220619,0,10-12 00:26:52
12414464,0,10-12 00:26:53
11620081,733,10-12 00:26:54
12154697,255,10-12 00:26:55
12316442,255,10-12 00:26:56
9404352,255,10-12 00:26:57
12289707,0,10-12 00:26:58
12466845,42,10-12 00:26:59
11545101,733,10-12 00:27:00
12417013,255,10-12 00:27:01
10225369,255,10-12 00:27:02
12536130,0,10-12 00:27:03
12727548,0,10-12 00:27:04
12165210,733,10-12 00:27:05
12667669,255,10-12 00:27:06
