"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","chain0-sink",,,,"User:","root"
"Cmdline:","dstat --net --time -N tun0 --bits --output /tmp/dstat.csv",,,,"Date:","22 Jul 2017 00:29:56 UTC"
"net/tun0",,"system"
"recv","send","time"
0,0,22-07 00:29:56
0,0,22-07 00:29:57
0,0,22-07 00:29:58
0,0,22-07 00:29:59
0,0,22-07 00:30:00
0,0,22-07 00:30:01
0,0,22-07 00:30:02
0,0,22-07 00:30:03
0,0,22-07 00:30:04
0,0,22-07 00:30:05
0,0,22-07 00:30:06
242466,0,22-07 00:30:07
1287695,0,22-07 00:30:08
1259465,0,22-07 00:30:09
1277512,0,22-07 00:30:10
1143559,0,22-07 00:30:11
1274361,0,22-07 00:30:12
1281568,0,22-07 00:30:13
1306338,0,22-07 00:30:14
1332492,0,22-07 00:30:15
1281888,0,22-07 00:30:16
1281676,0,22-07 00:30:17
1281972,0,22-07 00:30:18
464680,0,22-07 00:30:19
10235080,0,22-07 00:30:20
14332808,0,22-07 00:30:21
13966322,0,22-07 00:30:22
13871013,0,22-07 00:30:23
7127462,0,22-07 00:30:24
46860,0,22-07 00:30:25
66740,0,22-07 00:30:26
56756,0,22-07 00:30:27
48280,0,22-07 00:30:28
45440,0,22-07 00:30:29
38340,0,22-07 00:30:30
25560,0,22-07 00:30:31
34120,0,22-07 00:30:32
31240,0,22-07 00:30:33
18456,0,22-07 00:30:34
24200,0,22-07 00:30:35
29820,0,22-07 00:30:36
18500,0,22-07 00:30:37
24180,0,22-07 00:30:38
18520,0,22-07 00:30:39
17443,0,22-07 00:30:40
29856,0,22-07 00:30:41
21380,0,22-07 00:30:42
871018,0,22-07 00:30:43
1289014,0,22-07 00:30:44
1288271,0,22-07 00:30:45
1286780,0,22-07 00:30:46
1273751,0,22-07 00:30:47
1242440,0,22-07 00:30:48
1163354,2136,22-07 00:30:49
1241679,0,22-07 00:30:50
860466,356,22-07 00:30:51
1287851,0,22-07 00:30:52
1289797,0,22-07 00:30:53
1285530,0,22-07 00:30:54
1281312,0,22-07 00:30:55
1282452,0,22-07 00:30:56
1277821,1068,22-07 00:30:57
1248138,1424,22-07 00:30:58
1262322,356,22-07 00:30:59
1263206,356,22-07 00:31:00
1287309,356,22-07 00:31:01
1280622,356,22-07 00:31:02
1277847,0,22-07 00:31:03
1226429,712,22-07 00:31:04
1167416,356,22-07 00:31:05
1288660,0,22-07 00:31:06
1292705,0,22-07 00:31:07
1292557,0,22-07 00:31:08
1294716,0,22-07 00:31:09
1189919,1780,22-07 00:31:10
883193,356,22-07 00:31:11
883313,356,22-07 00:31:12
1261781,0,22-07 00:31:13
1258758,0,22-07 00:31:14
1287389,0,22-07 00:31:15
1155068,0,22-07 00:31:16
1256963,0,22-07 00:31:17
1282024,0,22-07 00:31:18
1279656,0,22-07 00:31:19
1284398,0,22-07 00:31:20
1281728,0,22-07 00:31:21
1283488,0,22-07 00:31:22
1281628,0,22-07 00:31:23
1282172,0,22-07 00:31:24
1281868,0,22-07 00:31:25
1278141,0,22-07 00:31:26
1281155,0,22-07 00:31:27
1277700,0,22-07 00:31:28
1274881,0,22-07 00:31:29
1286669,0,22-07 00:31:30
1289424,0,22-07 00:31:31
1288858,0,22-07 00:31:32
1286827,0,22-07 00:31:33
1287420,0,22-07 00:31:34
1273678,0,22-07 00:31:35
1148118,0,22-07 00:31:36
1229003,2136,22-07 00:31:37
841048,356,22-07 00:31:38
1289234,0,22-07 00:31:39
1288260,0,22-07 00:31:40
1289349,0,22-07 00:31:41
1282546,0,22-07 00:31:42
1282376,0,22-07 00:31:43
1274076,1068,22-07 00:31:44
1275788,0,22-07 00:31:45
1261896,1424,22-07 00:31:46
1264888,356,22-07 00:31:47
1257819,356,22-07 00:31:48
1291301,356,22-07 00:31:49
1264996,356,22-07 00:31:50
1292257,0,22-07 00:31:51
1225336,712,22-07 00:31:52
1165077,356,22-07 00:31:53
