"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth1 --nocolor --output ./results/scaleout-from-client.csv",,,,"Date:","13 Jul 2017 03:28:09 UTC"

"net/dc1.s1-eth1",,"system"
"recv","send","time"
0.0,0.0,13-07 03:28:09
107.0,140420.0,13-07 03:28:10
0.0,249227.0,13-07 03:28:11
618.0,250214.0,13-07 03:28:12
103.0,249911.0,13-07 03:28:13
0.0,250312.0,13-07 03:28:14
46.0,249760.0,13-07 03:28:15
42.0,249760.0,13-07 03:28:16
454.0,250504.0,13-07 03:28:17
0.0,249688.0,13-07 03:28:18
0.0,251143.0,13-07 03:28:19
0.0,249696.0,13-07 03:28:20
0.0,250154.0,13-07 03:28:21
0.0,249308.0,13-07 03:28:22
0.0,250350.0,13-07 03:28:23
0.0,250496.0,13-07 03:28:24
0.0,249116.0,13-07 03:28:25
0.0,249962.0,13-07 03:28:26
0.0,250134.0,13-07 03:28:27
0.0,250168.0,13-07 03:28:28
0.0,249281.0,13-07 03:28:29
0.0,251348.0,13-07 03:28:30
0.0,249805.0,13-07 03:28:31
46.0,249170.0,13-07 03:28:32
42.0,250426.0,13-07 03:28:33
42.0,249762.0,13-07 03:28:34
0.0,249882.0,13-07 03:28:35
0.0,249902.0,13-07 03:28:36
0.0,250324.0,13-07 03:28:37
0.0,250557.0,13-07 03:28:38
42.0,252062.0,13-07 03:28:39
42.0,374594.0,13-07 03:28:40
42.0,375246.0,13-07 03:28:41
0.0,374536.0,13-07 03:28:42
0.0,376354.0,13-07 03:28:43
0.0,373512.0,13-07 03:28:44
0.0,375415.0,13-07 03:28:45
84.0,375779.0,13-07 03:28:46
42.0,375017.0,13-07 03:28:47
0.0,374496.0,13-07 03:28:48
42.0,374471.0,13-07 03:28:49
42.0,375803.0,13-07 03:28:50
462.0,375482.0,13-07 03:28:51
0.0,374150.0,13-07 03:28:52
0.0,375161.0,13-07 03:28:53
0.0,374931.0,13-07 03:28:54
0.0,374701.0,13-07 03:28:55
0.0,375662.0,13-07 03:28:56
0.0,375048.0,13-07 03:28:57
0.0,374062.0,13-07 03:28:58
1152.0,375903.0,13-07 03:28:59
1316.0,374421.0,13-07 03:29:00
0.0,375679.0,13-07 03:29:01
103.0,374564.0,13-07 03:29:02
103.0,375081.0,13-07 03:29:03
0.0,374432.0,13-07 03:29:04
103.0,376064.0,13-07 03:29:05
103.0,374530.0,13-07 03:29:06
0.0,374692.0,13-07 03:29:07
0.0,375884.0,13-07 03:29:08
0.0,374742.0,13-07 03:29:09
0.0,374448.0,13-07 03:29:10
0.0,374750.0,13-07 03:29:11
0.0,375680.0,13-07 03:29:12
0.0,374546.0,13-07 03:29:13
0.0,374842.0,13-07 03:29:14
0.0,375362.0,13-07 03:29:15
0.0,374605.0,13-07 03:29:16
0.0,375890.0,13-07 03:29:17
0.0,374724.0,13-07 03:29:18
