"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ids1",,,,"User:","root"
"Cmdline:","dstat --net --time -N input --bits --output /tmp/dstat.csv",,,,"Date:","09 Jul 2017 22:04:41 UTC"
"net/input",,"system"
"recv","send","time"
0,0,09-07 22:04:41
6979061,0,09-07 22:04:42
8594388,0,09-07 22:04:43
8206908,0,09-07 22:04:44
7479009,2220,09-07 22:04:45
7985866,0,09-07 22:04:46
7418061,412,09-07 22:04:47
7329373,370,09-07 22:04:48
5162017,370,09-07 22:04:49
3803845,370,09-07 22:04:50
8212988,0,09-07 22:04:51
8388696,42,09-07 22:04:52
8359065,0,09-07 22:04:53
7012693,1480,09-07 22:04:54
8367352,370,09-07 22:04:55
7523211,370,09-07 22:04:56
7670789,370,09-07 22:04:57
1868021,370,09-07 22:04:58
252719,370,09-07 22:04:59
0,0,09-07 22:05:00
0,0,09-07 22:05:01
0,0,09-07 22:05:02
0,0,09-07 22:05:03
0,0,09-07 22:05:04
0,0,09-07 22:05:05
0,0,09-07 22:05:06
0,0,09-07 22:05:07
0,0,09-07 22:05:08
0,0,09-07 22:05:09
0,0,09-07 22:05:10
0,0,09-07 22:05:11
0,0,09-07 22:05:12
0,0,09-07 22:05:13
0,0,09-07 22:05:14
0,0,09-07 22:05:15
0,0,09-07 22:05:16
0,0,09-07 22:05:17
0,0,09-07 22:05:18
0,0,09-07 22:05:19
0,0,09-07 22:05:20
0,0,09-07 22:05:21
0,0,09-07 22:05:22
0,0,09-07 22:05:23
0,0,09-07 22:05:24
0,0,09-07 22:05:25
0,0,09-07 22:05:26
0,0,09-07 22:05:27
0,0,09-07 22:05:28
0,0,09-07 22:05:29
0,0,09-07 22:05:30
0,0,09-07 22:05:31
0,0,09-07 22:05:32
0,0,09-07 22:05:33
0,0,09-07 22:05:34
