"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth4 --nocolor --output ./results/scaleout-from-vpn.csv",,,,"Date:","13 Jul 2017 03:28:09 UTC"

"net/dc2.s1-eth4",,"system"
"recv","send","time"
0.0,0.0,13-07 03:28:09
0.0,248748.0,13-07 03:28:10
0.0,249988.0,13-07 03:28:11
0.0,244650.0,13-07 03:28:12
0.0,247437.0,13-07 03:28:13
0.0,250318.0,13-07 03:28:14
0.0,250496.0,13-07 03:28:15
0.0,249866.0,13-07 03:28:16
0.0,247484.0,13-07 03:28:17
0.0,250202.0,13-07 03:28:18
0.0,240192.0,13-07 03:28:19
0.0,249102.0,13-07 03:28:20
0.0,250598.0,13-07 03:28:21
0.0,248930.0,13-07 03:28:22
0.0,250394.0,13-07 03:28:23
0.0,250362.0,13-07 03:28:24
0.0,248888.0,13-07 03:28:25
0.0,250060.0,13-07 03:28:26
0.0,249920.0,13-07 03:28:27
0.0,250262.0,13-07 03:28:28
0.0,250036.0,13-07 03:28:29
0.0,249741.0,13-07 03:28:30
0.0,250435.0,13-07 03:28:31
42.0,248785.0,13-07 03:28:32
0.0,250676.0,13-07 03:28:33
0.0,249674.0,13-07 03:28:34
0.0,249814.0,13-07 03:28:35
0.0,249666.0,13-07 03:28:36
0.0,250264.0,13-07 03:28:37
0.0,248793.0,13-07 03:28:38
0.0,249170.0,13-07 03:28:39
370.0,369134.0,13-07 03:28:40
0.0,336142.0,13-07 03:28:41
0.0,374634.0,13-07 03:28:42
0.0,374846.0,13-07 03:28:43
0.0,374744.0,13-07 03:28:44
42.0,375140.0,13-07 03:28:45
0.0,373609.0,13-07 03:28:46
0.0,374017.0,13-07 03:28:47
0.0,374582.0,13-07 03:28:48
0.0,372979.0,13-07 03:28:49
0.0,375539.0,13-07 03:28:50
0.0,373764.0,13-07 03:28:51
0.0,374244.0,13-07 03:28:52
0.0,372650.0,13-07 03:28:53
0.0,365347.0,13-07 03:28:54
0.0,374717.0,13-07 03:28:55
0.0,375960.0,13-07 03:28:56
0.0,374678.0,13-07 03:28:57
0.0,374238.0,13-07 03:28:58
740.0,372064.0,13-07 03:28:59
1110.0,358432.0,13-07 03:29:00
0.0,373613.0,13-07 03:29:01
0.0,372882.0,13-07 03:29:02
0.0,375610.0,13-07 03:29:03
0.0,374888.0,13-07 03:29:04
42.0,351241.0,13-07 03:29:05
0.0,371608.0,13-07 03:29:06
0.0,374712.0,13-07 03:29:07
0.0,375750.0,13-07 03:29:08
0.0,374696.0,13-07 03:29:09
0.0,374342.0,13-07 03:29:10
0.0,375934.0,13-07 03:29:11
0.0,374250.0,13-07 03:29:12
0.0,374452.0,13-07 03:29:13
0.0,376116.0,13-07 03:29:14
0.0,373724.0,13-07 03:29:15
0.0,375411.0,13-07 03:29:16
0.0,374309.0,13-07 03:29:17
0.0,375123.0,13-07 03:29:18
