"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth10 --nocolor --output ./results/scaleout-iperf/100-from-vpn-fw.csv",,,,"Date:","27 Jul 2017 21:02:50 UTC"

"net/dc2.s1-eth10",,"system"
"recv","send","time"
0.0,0.0,27-07 21:02:50
0.0,0.0,27-07 21:02:51
0.0,0.0,27-07 21:02:52
0.0,0.0,27-07 21:02:53
0.0,642668.0,27-07 21:02:54
0.0,1311508.0,27-07 21:02:55
0.0,1310054.0,27-07 21:02:56
0.0,1311508.0,27-07 21:02:57
0.0,1311508.0,27-07 21:02:58
42.0,1310096.0,27-07 21:02:59
0.0,1311508.0,27-07 21:03:00
0.0,1311508.0,27-07 21:03:01
0.0,1310054.0,27-07 21:03:02
0.0,1311508.0,27-07 21:03:03
0.0,1310054.0,27-07 21:03:04
0.0,1311508.0,27-07 21:03:05
0.0,1311508.0,27-07 21:03:06
0.0,1310054.0,27-07 21:03:07
0.0,1311508.0,27-07 21:03:08
0.0,1311508.0,27-07 21:03:09
0.0,1310054.0,27-07 21:03:10
0.0,1311508.0,27-07 21:03:11
0.0,1311508.0,27-07 21:03:12
0.0,1311508.0,27-07 21:03:13
0.0,1310054.0,27-07 21:03:14
0.0,1311508.0,27-07 21:03:15
0.0,1311508.0,27-07 21:03:16
0.0,1310054.0,27-07 21:03:17
0.0,1311508.0,27-07 21:03:18
0.0,1311508.0,27-07 21:03:19
0.0,1310054.0,27-07 21:03:20
0.0,1311508.0,27-07 21:03:21
0.0,1311508.0,27-07 21:03:22
0.0,1310054.0,27-07 21:03:23
0.0,1311508.0,27-07 21:03:24
0.0,1311508.0,27-07 21:03:25
0.0,1310054.0,27-07 21:03:26
0.0,1311508.0,27-07 21:03:27
0.0,1311508.0,27-07 21:03:28
0.0,1310054.0,27-07 21:03:29
0.0,1311508.0,27-07 21:03:30
0.0,1311508.0,27-07 21:03:31
0.0,1310054.0,27-07 21:03:32
0.0,1311508.0,27-07 21:03:33
0.0,1310054.0,27-07 21:03:34
42.0,1311550.0,27-07 21:03:35
0.0,1311508.0,27-07 21:03:36
0.0,1311508.0,27-07 21:03:37
0.0,1310054.0,27-07 21:03:38
0.0,1311508.0,27-07 21:03:39
0.0,1311508.0,27-07 21:03:40
0.0,1310054.0,27-07 21:03:41
0.0,1311508.0,27-07 21:03:42
0.0,1311508.0,27-07 21:03:43
0.0,1310054.0,27-07 21:03:44
0.0,1311508.0,27-07 21:03:45
0.0,1311508.0,27-07 21:03:46
0.0,1310054.0,27-07 21:03:47
0.0,1311508.0,27-07 21:03:48
0.0,1311508.0,27-07 21:03:49
0.0,1310054.0,27-07 21:03:50
0.0,1311508.0,27-07 21:03:51
0.0,1311508.0,27-07 21:03:52
0.0,1310054.0,27-07 21:03:53
0.0,1311508.0,27-07 21:03:54
0.0,1311508.0,27-07 21:03:55
0.0,1311508.0,27-07 21:03:56
0.0,1310054.0,27-07 21:03:57
0.0,1311508.0,27-07 21:03:58
0.0,1311508.0,27-07 21:03:59
0.0,1310054.0,27-07 21:04:00
0.0,1311508.0,27-07 21:04:01
0.0,1311508.0,27-07 21:04:02
0.0,1310054.0,27-07 21:04:03
0.0,1311508.0,27-07 21:04:04
0.0,1311508.0,27-07 21:04:05
0.0,1310054.0,27-07 21:04:06
0.0,1311508.0,27-07 21:04:07
0.0,1311508.0,27-07 21:04:08
0.0,1310054.0,27-07 21:04:09
0.0,1311508.0,27-07 21:04:10
42.0,1311550.0,27-07 21:04:11
0.0,1310054.0,27-07 21:04:12
0.0,1311508.0,27-07 21:04:13
0.0,1311508.0,27-07 21:04:14
0.0,1310054.0,27-07 21:04:15
0.0,1311508.0,27-07 21:04:16
0.0,1311508.0,27-07 21:04:17
0.0,1310054.0,27-07 21:04:18
0.0,1311508.0,27-07 21:04:19
0.0,1311508.0,27-07 21:04:20
0.0,1310054.0,27-07 21:04:21
0.0,1311508.0,27-07 21:04:22
0.0,1311508.0,27-07 21:04:23
0.0,1310054.0,27-07 21:04:24
0.0,1311508.0,27-07 21:04:25
0.0,1311508.0,27-07 21:04:26
0.0,1310054.0,27-07 21:04:27
0.0,1311508.0,27-07 21:04:28
0.0,1311508.0,27-07 21:04:29
0.0,1310054.0,27-07 21:04:30
0.0,1311508.0,27-07 21:04:31
0.0,1311508.0,27-07 21:04:32
0.0,1311508.0,27-07 21:04:33
0.0,1310054.0,27-07 21:04:34
0.0,1311508.0,27-07 21:04:35
0.0,1311508.0,27-07 21:04:36
0.0,1310054.0,27-07 21:04:37
0.0,1311508.0,27-07 21:04:38
0.0,1311508.0,27-07 21:04:39
0.0,1310054.0,27-07 21:04:40
0.0,1311508.0,27-07 21:04:41
0.0,1311508.0,27-07 21:04:42
0.0,1310054.0,27-07 21:04:43
0.0,1311508.0,27-07 21:04:44
0.0,1311508.0,27-07 21:04:45
0.0,1310054.0,27-07 21:04:46
42.0,1311550.0,27-07 21:04:47
0.0,1311508.0,27-07 21:04:48
0.0,1310054.0,27-07 21:04:49
