"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth9 --nocolor --output ./results/scaleout-iperf/100-from-vpn-ids.csv",,,,"Date:","27 Jul 2017 21:02:50 UTC"

"net/dc2.s1-eth9",,"system"
"recv","send","time"
0.0,0.0,27-07 21:02:50
0.0,0.0,27-07 21:02:51
0.0,0.0,27-07 21:02:52
0.0,0.0,27-07 21:02:53
28142.0,1211782.0,27-07 21:02:54
30360.0,1341080.0,27-07 21:02:55
30360.0,1341476.0,27-07 21:02:56
30360.0,1341740.0,27-07 21:02:57
30360.0,1341740.0,27-07 21:02:58
30402.0,1341782.0,27-07 21:02:59
30360.0,1341740.0,27-07 21:03:00
30360.0,1341740.0,27-07 21:03:01
30360.0,1341740.0,27-07 21:03:02
30360.0,1341740.0,27-07 21:03:03
30360.0,1341740.0,27-07 21:03:04
30360.0,1341740.0,27-07 21:03:05
30360.0,1341740.0,27-07 21:03:06
30360.0,1341740.0,27-07 21:03:07
30360.0,1341740.0,27-07 21:03:08
30360.0,1341740.0,27-07 21:03:09
30360.0,1341740.0,27-07 21:03:10
30360.0,1341740.0,27-07 21:03:11
30360.0,1341740.0,27-07 21:03:12
30360.0,1341740.0,27-07 21:03:13
30360.0,1341740.0,27-07 21:03:14
30360.0,1341740.0,27-07 21:03:15
30402.0,1341782.0,27-07 21:03:16
30360.0,1341740.0,27-07 21:03:17
30360.0,1341740.0,27-07 21:03:18
30360.0,1341740.0,27-07 21:03:19
30360.0,1341740.0,27-07 21:03:20
30360.0,1341740.0,27-07 21:03:21
30360.0,1341740.0,27-07 21:03:22
30360.0,1341740.0,27-07 21:03:23
30360.0,1341740.0,27-07 21:03:24
30360.0,1341740.0,27-07 21:03:25
30360.0,1341740.0,27-07 21:03:26
30402.0,1341782.0,27-07 21:03:27
30360.0,1341740.0,27-07 21:03:28
30360.0,1341740.0,27-07 21:03:29
30360.0,1341740.0,27-07 21:03:30
30360.0,1341740.0,27-07 21:03:31
30360.0,1341740.0,27-07 21:03:32
30360.0,1341740.0,27-07 21:03:33
30360.0,1341740.0,27-07 21:03:34
30360.0,1341740.0,27-07 21:03:35
30360.0,1341740.0,27-07 21:03:36
30360.0,1341740.0,27-07 21:03:37
30360.0,1341740.0,27-07 21:03:38
30360.0,1341740.0,27-07 21:03:39
30360.0,1341740.0,27-07 21:03:40
30360.0,1341740.0,27-07 21:03:41
30360.0,1341740.0,27-07 21:03:42
30360.0,1341740.0,27-07 21:03:43
30360.0,1341740.0,27-07 21:03:44
30360.0,1341740.0,27-07 21:03:45
30360.0,1341740.0,27-07 21:03:46
30360.0,1341740.0,27-07 21:03:47
30360.0,1341740.0,27-07 21:03:48
30360.0,1341740.0,27-07 21:03:49
30360.0,1341740.0,27-07 21:03:50
30360.0,1341740.0,27-07 21:03:51
30360.0,1341740.0,27-07 21:03:52
30360.0,1341740.0,27-07 21:03:53
30360.0,1341740.0,27-07 21:03:54
30402.0,1341782.0,27-07 21:03:55
30360.0,1341740.0,27-07 21:03:56
30360.0,1341740.0,27-07 21:03:57
30360.0,1341740.0,27-07 21:03:58
30360.0,1341740.0,27-07 21:03:59
30360.0,1341740.0,27-07 21:04:00
30360.0,1341740.0,27-07 21:04:01
30360.0,1341740.0,27-07 21:04:02
30402.0,1341782.0,27-07 21:04:03
30360.0,1341740.0,27-07 21:04:04
30360.0,1341740.0,27-07 21:04:05
30360.0,1341740.0,27-07 21:04:06
30360.0,1341740.0,27-07 21:04:07
30360.0,1341740.0,27-07 21:04:08
30360.0,1341740.0,27-07 21:04:09
30360.0,1341740.0,27-07 21:04:10
30360.0,1341740.0,27-07 21:04:11
30360.0,1341740.0,27-07 21:04:12
30360.0,1341740.0,27-07 21:04:13
30360.0,1341740.0,27-07 21:04:14
30360.0,1341740.0,27-07 21:04:15
30360.0,1341740.0,27-07 21:04:16
30360.0,1341740.0,27-07 21:04:17
30360.0,1341740.0,27-07 21:04:18
30360.0,1341740.0,27-07 21:04:19
30360.0,1341740.0,27-07 21:04:20
30360.0,1341740.0,27-07 21:04:21
30360.0,1341740.0,27-07 21:04:22
30402.0,1341782.0,27-07 21:04:23
30360.0,1341740.0,27-07 21:04:24
30360.0,1341740.0,27-07 21:04:25
30360.0,1341740.0,27-07 21:04:26
30360.0,1341740.0,27-07 21:04:27
30360.0,1341740.0,27-07 21:04:28
30360.0,1341740.0,27-07 21:04:29
30360.0,1341740.0,27-07 21:04:30
30360.0,1341740.0,27-07 21:04:31
30360.0,1341740.0,27-07 21:04:32
30360.0,1341740.0,27-07 21:04:33
30360.0,1341740.0,27-07 21:04:34
30360.0,1341740.0,27-07 21:04:35
30360.0,1341740.0,27-07 21:04:36
30360.0,1341740.0,27-07 21:04:37
30360.0,1341740.0,27-07 21:04:38
30360.0,1341740.0,27-07 21:04:39
30360.0,1341740.0,27-07 21:04:40
30360.0,1341740.0,27-07 21:04:41
30360.0,1341740.0,27-07 21:04:42
30360.0,1341740.0,27-07 21:04:43
