"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth7 --nocolor --output ./results/scaleout-iperf/1000-from-ids.csv",,,,"Date:","27 Jul 2017 21:08:10 UTC"

"net/dc2.s1-eth7",,"system"
"recv","send","time"
0.0,0.0,27-07 21:08:10
0.0,0.0,27-07 21:08:11
0.0,0.0,27-07 21:08:12
0.0,0.0,27-07 21:08:13
67406.0,10291333.0,27-07 21:08:14
81510.0,12533350.0,27-07 21:08:15
81510.0,12533350.0,27-07 21:08:16
81510.0,12533350.0,27-07 21:08:17
82368.0,12665280.0,27-07 21:08:18
81510.0,12533350.0,27-07 21:08:19
82410.0,12665322.0,27-07 21:08:20
81510.0,12533350.0,27-07 21:08:21
82434.0,12665346.0,27-07 21:08:22
81510.0,12533350.0,27-07 21:08:23
82368.0,12665280.0,27-07 21:08:24
81642.0,12533482.0,27-07 21:08:25
81750.0,12533590.0,27-07 21:08:26
82566.0,12665478.0,27-07 21:08:27
81840.0,12533680.0,27-07 21:08:28
81576.0,12533416.0,27-07 21:08:29
82500.0,12665412.0,27-07 21:08:30
81708.0,12533548.0,27-07 21:08:31
81576.0,12533416.0,27-07 21:08:32
82368.0,12665280.0,27-07 21:08:33
81576.0,12533416.0,27-07 21:08:34
82434.0,12665346.0,27-07 21:08:35
81576.0,12533416.0,27-07 21:08:36
81510.0,12533350.0,27-07 21:08:37
82434.0,12665346.0,27-07 21:08:38
81774.0,12533614.0,27-07 21:08:39
81576.0,12533416.0,27-07 21:08:40
82368.0,12665280.0,27-07 21:08:41
81558.0,12533350.0,27-07 21:08:42
81510.0,12533350.0,27-07 21:08:43
82368.0,12665280.0,27-07 21:08:44
81510.0,12533350.0,27-07 21:08:45
82368.0,12665280.0,27-07 21:08:46
81642.0,12533482.0,27-07 21:08:47
81708.0,12533548.0,27-07 21:08:48
82500.0,12665412.0,27-07 21:08:49
81642.0,12533482.0,27-07 21:08:50
81576.0,12533416.0,27-07 21:08:51
82500.0,12665412.0,27-07 21:08:52
81576.0,12533416.0,27-07 21:08:53
82434.0,12665346.0,27-07 21:08:54
81708.0,12533548.0,27-07 21:08:55
81576.0,12533416.0,27-07 21:08:56
82368.0,12665280.0,27-07 21:08:57
81510.0,12533350.0,27-07 21:08:58
81510.0,12533350.0,27-07 21:08:59
82410.0,12665322.0,27-07 21:09:00
81510.0,12533350.0,27-07 21:09:01
81576.0,12533416.0,27-07 21:09:02
82368.0,12665280.0,27-07 21:09:03
81510.0,12533350.0,27-07 21:09:04
82434.0,12665346.0,27-07 21:09:05
81576.0,12533416.0,27-07 21:09:06
81576.0,12533416.0,27-07 21:09:07
82368.0,12665280.0,27-07 21:09:08
81576.0,12533416.0,27-07 21:09:09
81510.0,12533350.0,27-07 21:09:10
82410.0,12665322.0,27-07 21:09:11
81576.0,12533416.0,27-07 21:09:12
82434.0,12665346.0,27-07 21:09:13
81510.0,12533350.0,27-07 21:09:14
81576.0,12533416.0,27-07 21:09:15
82368.0,12665280.0,27-07 21:09:16
81642.0,12533482.0,27-07 21:09:17
81510.0,12533350.0,27-07 21:09:18
82302.0,12665214.0,27-07 21:09:19
81444.0,12533284.0,27-07 21:09:20
81510.0,12533350.0,27-07 21:09:21
82368.0,12665280.0,27-07 21:09:22
81576.0,12533416.0,27-07 21:09:23
82368.0,12665280.0,27-07 21:09:24
81510.0,12533350.0,27-07 21:09:25
81576.0,12533416.0,27-07 21:09:26
82368.0,12665280.0,27-07 21:09:27
81510.0,12533350.0,27-07 21:09:28
81510.0,12533350.0,27-07 21:09:29
82368.0,12665280.0,27-07 21:09:30
81510.0,12533350.0,27-07 21:09:31
81510.0,12533350.0,27-07 21:09:32
82368.0,12665280.0,27-07 21:09:33
81576.0,12533416.0,27-07 21:09:34
82434.0,12665346.0,27-07 21:09:35
81510.0,12533350.0,27-07 21:09:36
81576.0,12533416.0,27-07 21:09:37
82368.0,12665280.0,27-07 21:09:38
81618.0,12533458.0,27-07 21:09:39
81576.0,12533416.0,27-07 21:09:40
82434.0,12665346.0,27-07 21:09:41
81576.0,12533416.0,27-07 21:09:42
82368.0,12665280.0,27-07 21:09:43
81642.0,12533482.0,27-07 21:09:44
81510.0,12533350.0,27-07 21:09:45
82434.0,12665478.0,27-07 21:09:46
81510.0,12533350.0,27-07 21:09:47
81576.0,12533416.0,27-07 21:09:48
82368.0,12665280.0,27-07 21:09:49
81576.0,12533416.0,27-07 21:09:50
81576.0,12533416.0,27-07 21:09:51
82368.0,12665280.0,27-07 21:09:52
86526.0,12538366.0,27-07 21:09:53
88704.0,12671616.0,27-07 21:09:54
87780.0,12539620.0,27-07 21:09:55
87822.0,12539662.0,27-07 21:09:56
88704.0,12671616.0,27-07 21:09:57
87780.0,12539620.0,27-07 21:09:58
87780.0,12539620.0,27-07 21:09:59
88704.0,12671616.0,27-07 21:10:00
87780.0,12539620.0,27-07 21:10:01
88704.0,12671616.0,27-07 21:10:02
87780.0,12539620.0,27-07 21:10:03
87780.0,12539620.0,27-07 21:10:04
88704.0,12671616.0,27-07 21:10:05
87780.0,12539620.0,27-07 21:10:06
87780.0,12539620.0,27-07 21:10:07
88704.0,12671616.0,27-07 21:10:08
87780.0,12539620.0,27-07 21:10:09
87780.0,12539620.0,27-07 21:10:10
88704.0,12671616.0,27-07 21:10:11
87780.0,12539620.0,27-07 21:10:12
88704.0,12671616.0,27-07 21:10:13
87780.0,12539620.0,27-07 21:10:14
87780.0,12539620.0,27-07 21:10:15
88704.0,12671616.0,27-07 21:10:16
87780.0,12539620.0,27-07 21:10:17
87822.0,12539662.0,27-07 21:10:18
88704.0,12671616.0,27-07 21:10:19
87780.0,12539620.0,27-07 21:10:20
88704.0,12671616.0,27-07 21:10:21
