"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth1 --nocolor --output ./results/scaleout-iperf/10000-from-client.csv",,,,"Date:","27 Jul 2017 21:13:30 UTC"

"net/dc1.s1-eth1",,"system"
"recv","send","time"
0.0,0.0,27-07 21:13:30
0.0,0.0,27-07 21:13:31
0.0,0.0,27-07 21:13:32
0.0,0.0,27-07 21:13:33
103849123.0,149506173.0,27-07 21:13:34
126994540.0,239265150.0,27-07 21:13:35
123009502.0,226083562.0,27-07 21:13:36
126137470.0,230107194.0,27-07 21:13:37
124577218.0,225288528.0,27-07 21:13:38
125423698.0,231616584.0,27-07 21:13:39
125291536.0,232544392.0,27-07 21:13:40
125421936.0,232478502.0,27-07 21:13:41
125422320.0,231782420.0,27-07 21:13:42
126307458.0,225500792.0,27-07 21:13:43
126927655.0,233594549.0,27-07 21:13:44
125875822.0,232362416.0,27-07 21:13:45
124230202.0,231692434.0,27-07 21:13:46
124493534.0,231426510.0,27-07 21:13:47
126072866.0,233312636.0,27-07 21:13:48
127717094.0,234860966.0,27-07 21:13:49
123901842.0,230511964.0,27-07 21:13:50
124625134.0,232197870.0,27-07 21:13:51
127059028.0,234892030.0,27-07 21:13:52
123770073.0,231835715.0,27-07 21:13:53
128046800.0,234510134.0,27-07 21:13:54
123967134.0,232637640.0,27-07 21:13:55
124493534.0,234414480.0,27-07 21:13:56
127783448.0,234693156.0,27-07 21:13:57
125151732.0,232038180.0,27-07 21:13:58
124624936.0,228655728.0,27-07 21:13:59
125283002.0,226600630.0,27-07 21:14:00
126599068.0,233098752.0,27-07 21:14:01
125545868.0,228877286.0,27-07 21:14:02
123704442.0,230855518.0,27-07 21:14:03
127388763.0,230916471.0,27-07 21:14:04
125414800.0,232484452.0,27-07 21:14:05
124756536.0,227410390.0,27-07 21:14:06
124756734.0,228304798.0,27-07 21:14:07
125151468.0,232251654.0,27-07 21:14:08
125809336.0,233038928.0,27-07 21:14:09
125019604.0,230721042.0,27-07 21:14:10
124974922.0,228473550.0,27-07 21:14:11
125573108.0,233643112.0,27-07 21:14:12
125361418.0,234199134.0,27-07 21:14:13
125291619.0,235501911.0,27-07 21:14:14
125422332.0,235468322.0,27-07 21:14:15
125422332.0,235840546.0,27-07 21:14:16
127619924.0,232559466.0,27-07 21:14:17
125809072.0,234856164.0,27-07 21:14:18
124098516.0,231698874.0,27-07 21:14:19
127256494.0,234900542.0,27-07 21:14:20
122624566.0,230194324.0,27-07 21:14:21
125426436.0,233144572.0,27-07 21:14:22
125428548.0,233361876.0,27-07 21:14:23
