"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth7 --nocolor --output ./results/scaleout/10-from-ids1.csv",,,,"Date:","25 Jul 2017 19:09:06 UTC"

"net/dc2.s1-eth7",,"system"
"recv","send","time"
0.0,0.0,25-07 19:09:06
0.0,0.0,25-07 19:09:07
0.0,0.0,25-07 19:09:08
0.0,0.0,25-07 19:09:09
0.0,0.0,25-07 19:09:10
0.0,0.0,25-07 19:09:11
0.0,0.0,25-07 19:09:12
0.0,84645.0,25-07 19:09:13
0.0,125197.0,25-07 19:09:14
0.0,125188.0,25-07 19:09:15
0.0,125110.0,25-07 19:09:16
0.0,124825.0,25-07 19:09:17
0.0,124402.0,25-07 19:09:18
0.0,124511.0,25-07 19:09:19
0.0,125646.0,25-07 19:09:20
0.0,124334.0,25-07 19:09:21
0.0,124889.0,25-07 19:09:22
0.0,125491.0,25-07 19:09:23
0.0,125456.0,25-07 19:09:24
0.0,124478.0,25-07 19:09:25
370.0,124742.0,25-07 19:09:26
0.0,125375.0,25-07 19:09:27
0.0,124457.0,25-07 19:09:28
0.0,125477.0,25-07 19:09:29
0.0,124935.0,25-07 19:09:30
42.0,125617.0,25-07 19:09:31
42.0,124108.0,25-07 19:09:32
370.0,125759.0,25-07 19:09:33
0.0,125064.0,25-07 19:09:34
0.0,124442.0,25-07 19:09:35
370.0,125382.0,25-07 19:09:36
0.0,236411.0,25-07 19:09:37
0.0,249333.0,25-07 19:09:38
0.0,249872.0,25-07 19:09:39
0.0,223041.0,25-07 19:09:40
0.0,199680.0,25-07 19:09:41
370.0,203971.0,25-07 19:09:42
42.0,199574.0,25-07 19:09:43
0.0,188951.0,25-07 19:09:44
0.0,214920.0,25-07 19:09:45
0.0,198476.0,25-07 19:09:46
0.0,213566.0,25-07 19:09:47
0.0,215070.0,25-07 19:09:48
0.0,207264.0,25-07 19:09:49
0.0,162384.0,25-07 19:09:50
370.0,216776.0,25-07 19:09:51
0.0,209939.0,25-07 19:09:52
370.0,192955.0,25-07 19:09:53
370.0,189240.0,25-07 19:09:54
370.0,229117.0,25-07 19:09:55
0.0,203304.0,25-07 19:09:56
0.0,188980.0,25-07 19:09:57
0.0,206929.0,25-07 19:09:58
0.0,183232.0,25-07 19:09:59
370.0,169583.0,25-07 19:10:00
0.0,217645.0,25-07 19:10:01
0.0,216040.0,25-07 19:10:02
740.0,202143.0,25-07 19:10:03
370.0,166228.0,25-07 19:10:04
0.0,162936.0,25-07 19:10:05
370.0,161191.0,25-07 19:10:06
0.0,201876.0,25-07 19:10:07
42.0,210026.0,25-07 19:10:08
740.0,208252.0,25-07 19:10:09
0.0,167577.0,25-07 19:10:10
370.0,174459.0,25-07 19:10:11
0.0,174258.0,25-07 19:10:12
0.0,176836.0,25-07 19:10:13
0.0,207617.0,25-07 19:10:14
370.0,182207.0,25-07 19:10:15
