"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth4 --nocolor --output ./results/scaleout/10-from-vpn.csv",,,,"Date:","25 Jul 2017 19:09:06 UTC"

"net/dc2.s1-eth4",,"system"
"recv","send","time"
0.0,0.0,25-07 19:09:06
0.0,130860.0,25-07 19:09:07
0.0,250088.0,25-07 19:09:08
0.0,250088.0,25-07 19:09:09
0.0,250088.0,25-07 19:09:10
0.0,250088.0,25-07 19:09:11
0.0,250088.0,25-07 19:09:12
0.0,244706.0,25-07 19:09:13
0.0,246509.0,25-07 19:09:14
0.0,247711.0,25-07 19:09:15
0.0,245579.0,25-07 19:09:16
0.0,246964.0,25-07 19:09:17
0.0,248704.0,25-07 19:09:18
0.0,243320.0,25-07 19:09:19
0.0,241910.0,25-07 19:09:20
0.0,247008.0,25-07 19:09:21
0.0,246716.0,25-07 19:09:22
0.0,241706.0,25-07 19:09:23
0.0,244935.0,25-07 19:09:24
0.0,248269.0,25-07 19:09:25
370.0,245553.0,25-07 19:09:26
0.0,246355.0,25-07 19:09:27
0.0,247113.0,25-07 19:09:28
0.0,246030.0,25-07 19:09:29
0.0,243043.0,25-07 19:09:30
60.0,247371.0,25-07 19:09:31
60.0,247208.0,25-07 19:09:32
370.0,246512.0,25-07 19:09:33
0.0,246213.0,25-07 19:09:34
0.0,244826.0,25-07 19:09:35
370.0,247977.0,25-07 19:09:36
0.0,365074.0,25-07 19:09:37
0.0,365421.0,25-07 19:09:38
0.0,369625.0,25-07 19:09:39
0.0,369105.0,25-07 19:09:40
0.0,372315.0,25-07 19:09:41
370.0,370951.0,25-07 19:09:42
60.0,369178.0,25-07 19:09:43
0.0,370534.0,25-07 19:09:44
0.0,367284.0,25-07 19:09:45
0.0,366826.0,25-07 19:09:46
0.0,366251.0,25-07 19:09:47
0.0,371165.0,25-07 19:09:48
0.0,371686.0,25-07 19:09:49
0.0,369842.0,25-07 19:09:50
370.0,370792.0,25-07 19:09:51
0.0,370987.0,25-07 19:09:52
370.0,373101.0,25-07 19:09:53
370.0,369190.0,25-07 19:09:54
370.0,369620.0,25-07 19:09:55
0.0,365792.0,25-07 19:09:56
0.0,370542.0,25-07 19:09:57
0.0,366548.0,25-07 19:09:58
0.0,369751.0,25-07 19:09:59
370.0,366693.0,25-07 19:10:00
0.0,368339.0,25-07 19:10:01
0.0,366938.0,25-07 19:10:02
740.0,368823.0,25-07 19:10:03
370.0,369544.0,25-07 19:10:04
0.0,372395.0,25-07 19:10:05
370.0,371507.0,25-07 19:10:06
0.0,367016.0,25-07 19:10:07
60.0,365591.0,25-07 19:10:08
740.0,370797.0,25-07 19:10:09
0.0,370822.0,25-07 19:10:10
370.0,368807.0,25-07 19:10:11
0.0,370215.0,25-07 19:10:12
0.0,372341.0,25-07 19:10:13
0.0,366636.0,25-07 19:10:14
370.0,370977.0,25-07 19:10:15
