"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth1 --nocolor --output ./results/scaleout/100-from-client.csv",,,,"Date:","25 Jul 2017 19:10:23 UTC"

"net/dc1.s1-eth1",,"system"
"recv","send","time"
0.0,0.0,25-07 19:10:23
0.0,1294060.0,25-07 19:10:24
988.0,2500035.0,25-07 19:10:25
843.0,2500291.0,25-07 19:10:26
843.0,2486522.0,25-07 19:10:27
473.0,2498829.0,25-07 19:10:28
843.0,2491648.0,25-07 19:10:29
889.0,2487743.0,25-07 19:10:30
515.0,2499547.0,25-07 19:10:31
515.0,2499283.0,25-07 19:10:32
42.0,2500155.0,25-07 19:10:33
42.0,2499292.0,25-07 19:10:34
42.0,2499953.0,25-07 19:10:35
885.0,2500114.0,25-07 19:10:36
103.0,2499743.0,25-07 19:10:37
103.0,2499204.0,25-07 19:10:38
843.0,2495260.0,25-07 19:10:39
473.0,2498910.0,25-07 19:10:40
473.0,2501020.0,25-07 19:10:41
473.0,2498534.0,25-07 19:10:42
473.0,2501276.0,25-07 19:10:43
103.0,2499670.0,25-07 19:10:44
103.0,2499460.0,25-07 19:10:45
103.0,2499988.0,25-07 19:10:46
1583.0,2501254.0,25-07 19:10:47
473.0,2499063.0,25-07 19:10:48
473.0,2499759.0,25-07 19:10:49
452.0,2499786.0,25-07 19:10:50
473.0,2501001.0,25-07 19:10:51
103.0,2499148.0,25-07 19:10:52
103.0,2500750.0,25-07 19:10:53
1213.0,3729562.0,25-07 19:10:54
473.0,3750029.0,25-07 19:10:55
473.0,3749552.0,25-07 19:10:56
473.0,3735720.0,25-07 19:10:57
473.0,3749707.0,25-07 19:10:58
519.0,3749667.0,25-07 19:10:59
515.0,3748152.0,25-07 19:11:00
515.0,3749877.0,25-07 19:11:01
515.0,3748794.0,25-07 19:11:02
42.0,3749108.0,25-07 19:11:03
42.0,3750042.0,25-07 19:11:04
0.0,3725582.0,25-07 19:11:05
42.0,3749778.0,25-07 19:11:06
42.0,3739783.0,25-07 19:11:07
42.0,3748506.0,25-07 19:11:08
515.0,3748310.0,25-07 19:11:09
473.0,3734301.0,25-07 19:11:10
473.0,3741127.0,25-07 19:11:11
473.0,3749527.0,25-07 19:11:12
473.0,3748929.0,25-07 19:11:13
473.0,3749661.0,25-07 19:11:14
843.0,3741874.0,25-07 19:11:15
103.0,3750017.0,25-07 19:11:16
473.0,3734000.0,25-07 19:11:17
473.0,3741887.0,25-07 19:11:18
473.0,3748663.0,25-07 19:11:19
473.0,3747813.0,25-07 19:11:20
473.0,3747053.0,25-07 19:11:21
473.0,3747891.0,25-07 19:11:22
843.0,3749703.0,25-07 19:11:23
473.0,3749361.0,25-07 19:11:24
473.0,3747040.0,25-07 19:11:25
103.0,3749393.0,25-07 19:11:26
473.0,3749639.0,25-07 19:11:27
473.0,3748809.0,25-07 19:11:28
473.0,3750733.0,25-07 19:11:29
473.0,3727491.0,25-07 19:11:30
843.0,3749469.0,25-07 19:11:31
149.0,3749028.0,25-07 19:11:32
