"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth7 --nocolor --output ./results/scaleout/1000-from-ids.csv",,,,"Date:","26 Jul 2017 02:06:47 UTC"

"net/dc2.s1-eth7",,"system"
"recv","send","time"
0.0,0.0,26-07 02:06:47
0.0,3631316.0,26-07 02:06:48
0.0,11058901.0,26-07 02:06:49
0.0,11991948.0,26-07 02:06:50
2220.0,11124080.0,26-07 02:06:51
370.0,11407918.0,26-07 02:06:52
370.0,10217336.0,26-07 02:06:53
0.0,11720614.0,26-07 02:06:54
0.0,11832686.0,26-07 02:06:55
1152.0,11342104.0,26-07 02:06:56
370.0,11939319.0,26-07 02:06:57
370.0,10086619.0,26-07 02:06:58
0.0,12136180.0,26-07 02:06:59
0.0,11883604.0,26-07 02:07:00
1110.0,11668784.0,26-07 02:07:01
370.0,12161208.0,26-07 02:07:02
412.0,10168553.0,26-07 02:07:03
0.0,12143238.0,26-07 02:07:04
740.0,11611084.0,26-07 02:07:05
370.0,11632044.0,26-07 02:07:06
370.0,12017981.0,26-07 02:07:07
370.0,10373050.0,26-07 02:07:08
0.0,11985780.0,26-07 02:07:09
740.0,11597739.0,26-07 02:07:10
370.0,11758180.0,26-07 02:07:11
370.0,11950641.0,26-07 02:07:12
370.0,10027732.0,26-07 02:07:13
0.0,11870217.0,26-07 02:07:14
740.0,11391758.0,26-07 02:07:15
370.0,11277205.0,26-07 02:07:16
370.0,11781821.0,26-07 02:07:17
370.0,10074764.0,26-07 02:07:18
0.0,11815523.0,26-07 02:07:19
740.0,11359816.0,26-07 02:07:20
370.0,11617780.0,26-07 02:07:21
370.0,11840690.0,26-07 02:07:22
370.0,9738905.0,26-07 02:07:23
0.0,12222814.0,26-07 02:07:24
740.0,11443842.0,26-07 02:07:25
370.0,11671996.0,26-07 02:07:26
370.0,11812810.0,26-07 02:07:27
370.0,9060555.0,26-07 02:07:28
0.0,11774800.0,26-07 02:07:29
740.0,11794892.0,26-07 02:07:30
412.0,11346061.0,26-07 02:07:31
370.0,11663967.0,26-07 02:07:32
370.0,10045000.0,26-07 02:07:33
0.0,11946031.0,26-07 02:07:34
740.0,11549024.0,26-07 02:07:35
370.0,11280486.0,26-07 02:07:36
370.0,11680852.0,26-07 02:07:37
370.0,9876046.0,26-07 02:07:38
0.0,12134372.0,26-07 02:07:39
