"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth10 --nocolor --output ./results/scaleout/1000-from-vpn-fw.csv",,,,"Date:","27 Jul 2017 00:54:24 UTC"

"net/dc2.s1-eth10",,"system"
"recv","send","time"
0.0,0.0,27-07 00:54:24
0.0,7230742.0,27-07 00:54:25
0.0,12511670.0,27-07 00:54:26
0.0,12500038.0,27-07 00:54:27
0.0,12500038.0,27-07 00:54:28
0.0,12488406.0,27-07 00:54:29
0.0,12511670.0,27-07 00:54:30
0.0,12500038.0,27-07 00:54:31
0.0,12500038.0,27-07 00:54:32
0.0,12500038.0,27-07 00:54:33
0.0,12500038.0,27-07 00:54:34
0.0,12500038.0,27-07 00:54:35
0.0,12500038.0,27-07 00:54:36
0.0,12500038.0,27-07 00:54:37
0.0,12486952.0,27-07 00:54:38
0.0,12513124.0,27-07 00:54:39
0.0,12500038.0,27-07 00:54:40
0.0,12500038.0,27-07 00:54:41
0.0,12500038.0,27-07 00:54:42
0.0,12500038.0,27-07 00:54:43
0.0,12500038.0,27-07 00:54:44
0.0,12500038.0,27-07 00:54:45
0.0,12500038.0,27-07 00:54:46
0.0,12498584.0,27-07 00:54:47
0.0,12501492.0,27-07 00:54:48
0.0,12498584.0,27-07 00:54:49
0.0,12500038.0,27-07 00:54:50
0.0,12500038.0,27-07 00:54:51
0.0,12501492.0,27-07 00:54:52
0.0,12498584.0,27-07 00:54:53
0.0,12500038.0,27-07 00:54:54
0.0,12500038.0,27-07 00:54:55
42.0,12500080.0,27-07 00:54:56
0.0,12500038.0,27-07 00:54:57
0.0,12500038.0,27-07 00:54:58
0.0,12500038.0,27-07 00:54:59
0.0,12500038.0,27-07 00:55:00
0.0,12500038.0,27-07 00:55:01
0.0,12500038.0,27-07 00:55:02
0.0,12500038.0,27-07 00:55:03
0.0,12488406.0,27-07 00:55:04
0.0,12511670.0,27-07 00:55:05
0.0,12500038.0,27-07 00:55:06
0.0,12500038.0,27-07 00:55:07
0.0,12500038.0,27-07 00:55:08
0.0,12500038.0,27-07 00:55:09
0.0,12500038.0,27-07 00:55:10
0.0,12500038.0,27-07 00:55:11
0.0,12488406.0,27-07 00:55:12
0.0,12511670.0,27-07 00:55:13
0.0,12500038.0,27-07 00:55:14
0.0,12500038.0,27-07 00:55:15
0.0,12500038.0,27-07 00:55:16
0.0,12500038.0,27-07 00:55:17
0.0,12500038.0,27-07 00:55:18
0.0,12488406.0,27-07 00:55:19
