"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth9 --nocolor --output ./results/scaleout/1000-from-vpn-ids.csv",,,,"Date:","26 Jul 2017 23:36:24 UTC"

"net/dc2.s1-eth9",,"system"
"recv","send","time"
0.0,0.0,26-07 23:36:24
0.0,5870821.0,26-07 23:36:25
0.0,11601924.0,26-07 23:36:26
0.0,11723935.0,26-07 23:36:27
42.0,10695482.0,26-07 23:36:28
42.0,11631991.0,26-07 23:36:29
42.0,9664023.0,26-07 23:36:30
3002.0,11498818.0,26-07 23:36:31
0.0,11692954.0,26-07 23:36:32
1110.0,11044730.0,26-07 23:36:33
370.0,11758931.0,26-07 23:36:34
370.0,11698664.0,26-07 23:36:35
412.0,9737366.0,26-07 23:36:36
42.0,11684072.0,26-07 23:36:37
42.0,11534984.0,26-07 23:36:38
782.0,11185102.0,26-07 23:36:39
42.0,11774050.0,26-07 23:36:40
42.0,10008936.0,26-07 23:36:41
0.0,11482355.0,26-07 23:36:42
0.0,11796995.0,26-07 23:36:43
42.0,10966188.0,26-07 23:36:44
42.0,11893039.0,26-07 23:36:45
42.0,10089476.0,26-07 23:36:46
0.0,11326411.0,26-07 23:36:47
0.0,11725349.0,26-07 23:36:48
42.0,11079546.0,26-07 23:36:49
42.0,11755397.0,26-07 23:36:50
42.0,12055324.0,26-07 23:36:51
0.0,9543137.0,26-07 23:36:52
0.0,11712662.0,26-07 23:36:53
0.0,11803012.0,26-07 23:36:54
42.0,10975497.0,26-07 23:36:55
42.0,11696690.0,26-07 23:36:56
42.0,10131935.0,26-07 23:36:57
0.0,11575353.0,26-07 23:36:58
0.0,11805855.0,26-07 23:36:59
42.0,11070140.0,26-07 23:37:00
42.0,11842552.0,26-07 23:37:01
42.0,10502999.0,26-07 23:37:02
0.0,11010539.0,26-07 23:37:03
0.0,11698555.0,26-07 23:37:04
42.0,11068841.0,26-07 23:37:05
42.0,11873946.0,26-07 23:37:06
42.0,11909405.0,26-07 23:37:07
0.0,9562538.0,26-07 23:37:08
0.0,11706453.0,26-07 23:37:09
0.0,11843260.0,26-07 23:37:10
42.0,10870232.0,26-07 23:37:11
42.0,11668155.0,26-07 23:37:12
42.0,10185078.0,26-07 23:37:13
42.0,11468005.0,26-07 23:37:14
0.0,11766050.0,26-07 23:37:15
1110.0,11072307.0,26-07 23:37:16
370.0,11795757.0,26-07 23:37:17
370.0,10888765.0,26-07 23:37:18
0.0,10650968.0,26-07 23:37:19
0.0,11730954.0,26-07 23:37:20
1152.0,11469178.0,26-07 23:37:21
412.0,11355175.0,26-07 23:37:22
412.0,11935464.0,26-07 23:37:23
370.0,9765653.0,26-07 23:37:24
0.0,11706679.0,26-07 23:37:25
0.0,11871877.0,26-07 23:37:26
42.0,10932646.0,26-07 23:37:27
42.0,11701415.0,26-07 23:37:28
42.0,10187977.0,26-07 23:37:29
0.0,11514156.0,26-07 23:37:30
0.0,11759704.0,26-07 23:37:31
42.0,11071040.0,26-07 23:37:32
42.0,11872643.0,26-07 23:37:33
