"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth1 --nocolor --output ./results/scaleout/10000-from-client.csv",,,,"Date:","27 Jul 2017 21:45:21 UTC"

"net/dc1.s1-eth1",,"system"
"recv","send","time"
0.0,0.0,27-07 21:45:21
0.0,0.0,27-07 21:45:22
0.0,0.0,27-07 21:45:23
95.0,95.0,27-07 21:45:24
16558719.0,66902940.0,27-07 21:45:25
28357279.0,128614740.0,27-07 21:45:26
24733053.0,121852281.0,27-07 21:45:27
32433716.0,131851795.0,27-07 21:45:28
27356730.0,125479489.0,27-07 21:45:29
31896387.0,135482879.0,27-07 21:45:30
27383065.0,129041713.0,27-07 21:45:31
29213607.0,131943711.0,27-07 21:45:32
30191316.0,131978660.0,27-07 21:45:33
27822315.0,124388837.0,27-07 21:45:34
30822194.0,133928514.0,27-07 21:45:35
27209478.0,129221246.0,27-07 21:45:36
32590536.0,134997116.0,27-07 21:45:37
26380177.0,129699110.0,27-07 21:45:38
32116899.0,135730857.0,27-07 21:45:39
27125276.0,127472936.0,27-07 21:45:40
32322447.0,130586398.0,27-07 21:45:41
27431122.0,129518291.0,27-07 21:45:42
31007834.0,135767725.0,27-07 21:45:43
27077464.0,127210599.0,27-07 21:45:44
29197038.0,131878120.0,27-07 21:45:45
29467725.0,132553155.0,27-07 21:45:46
26925893.0,129260929.0,27-07 21:45:47
31889554.0,137414698.0,27-07 21:45:48
26785101.0,127635478.0,27-07 21:45:49
32809485.0,136098815.0,27-07 21:45:50
26842434.0,128140268.0,27-07 21:45:51
32283802.0,134778743.0,27-07 21:45:52
27257148.0,129771390.0,27-07 21:45:53
32062487.0,136081801.0,27-07 21:45:54
26977792.0,126452542.0,27-07 21:45:55
30768638.0,134718668.0,27-07 21:45:56
27227373.0,128803152.0,27-07 21:45:57
30365448.0,135144209.0,27-07 21:45:58
28411720.0,131462802.0,27-07 21:45:59
26649399.0,130322689.0,27-07 21:46:00
32252943.0,134293579.0,27-07 21:46:01
26916842.0,129126290.0,27-07 21:46:02
32088281.0,136227019.0,27-07 21:46:03
26924364.0,129080527.0,27-07 21:46:04
32659671.0,136546350.0,27-07 21:46:05
27146584.0,129193999.0,27-07 21:46:06
32314863.0,135928995.0,27-07 21:46:07
27169700.0,127577043.0,27-07 21:46:08
32923894.0,135382129.0,27-07 21:46:09
27564165.0,127455970.0,27-07 21:46:10
28306512.0,130822045.0,27-07 21:46:11
30761109.0,133084888.0,27-07 21:46:12
27384523.0,129265142.0,27-07 21:46:13
32738505.0,135663729.0,27-07 21:46:14
27115507.0,128873519.0,27-07 21:46:15
32258673.0,136752152.0,27-07 21:46:16
27409321.0,128763249.0,27-07 21:46:17
32393935.0,139000782.0,27-07 21:46:18
27871354.0,129610319.0,27-07 21:46:19
26945111.0,129975389.0,27-07 21:46:20
31957455.0,135971408.0,27-07 21:46:21
27291618.0,128470012.0,27-07 21:46:22
32890292.0,135391660.0,27-07 21:46:23
27153530.0,130281633.0,27-07 21:46:24
32127072.0,134016948.0,27-07 21:46:25
27631976.0,130610252.0,27-07 21:46:26
28523615.0,135645111.0,27-07 21:46:27
26056952.0,132018510.0,27-07 21:46:28
25746130.0,130576527.0,27-07 21:46:29
32409933.0,136555529.0,27-07 21:46:30
27218932.0,130844807.0,27-07 21:46:31
32535663.0,136780092.0,27-07 21:46:32
27552550.0,130461815.0,27-07 21:46:33
32558437.0,137560456.0,27-07 21:46:34
27611511.0,130146701.0,27-07 21:46:35
26657819.0,130744465.0,27-07 21:46:36
30808627.0,133431498.0,27-07 21:46:37
27228178.0,129583474.0,27-07 21:46:38
32303315.0,135282102.0,27-07 21:46:39
27162399.0,130361546.0,27-07 21:46:40
32138123.0,137698786.0,27-07 21:46:41
27250614.0,130865591.0,27-07 21:46:42
32378982.0,135329728.0,27-07 21:46:43
27228389.0,129299767.0,27-07 21:46:44
28227721.0,132162627.0,27-07 21:46:45
30274890.0,132753222.0,27-07 21:46:46
27341070.0,129338034.0,27-07 21:46:47
32177843.0,136878296.0,27-07 21:46:48
27453958.0,131609333.0,27-07 21:46:49
32394796.0,136734956.0,27-07 21:46:50
27009200.0,130398210.0,27-07 21:46:51
31103144.0,135798642.0,27-07 21:46:52
28578791.0,131321240.0,27-07 21:46:53
26638800.0,129698847.0,27-07 21:46:54
32184324.0,136971752.0,27-07 21:46:55
27142785.0,130441619.0,27-07 21:46:56
32205449.0,136077267.0,27-07 21:46:57
27545855.0,130392450.0,27-07 21:46:58
31907926.0,136737615.0,27-07 21:46:59
27763558.0,129635359.0,27-07 21:47:00
28722265.0,131746159.0,27-07 21:47:01
30210089.0,132120909.0,27-07 21:47:02
27387733.0,130711280.0,27-07 21:47:03
32488254.0,135942780.0,27-07 21:47:04
26961468.0,129516892.0,27-07 21:47:05
