"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth9 --nocolor --output ./results/scaleout/10000-from-vpn-ids.csv",,,,"Date:","28 Jul 2017 21:58:53 UTC"

"net/dc2.s1-eth9",,"system"
"recv","send","time"
0.0,0.0,28-07 21:58:53
0.0,0.0,28-07 21:58:54
0.0,0.0,28-07 21:58:55
0.0,0.0,28-07 21:58:56
2220.0,20467953.0,28-07 21:58:57
370.0,70074062.0,28-07 21:58:58
370.0,68090217.0,28-07 21:58:59
370.0,66500456.0,28-07 21:59:00
370.0,58605165.0,28-07 21:59:01
370.0,64234699.0,28-07 21:59:02
370.0,67733279.0,28-07 21:59:03
370.0,61933333.0,28-07 21:59:04
370.0,64082448.0,28-07 21:59:05
370.0,64801130.0,28-07 21:59:06
370.0,64886849.0,28-07 21:59:07
370.0,70501893.0,28-07 21:59:08
370.0,63408929.0,28-07 21:59:09
370.0,66085756.0,28-07 21:59:10
370.0,63600437.0,28-07 21:59:11
370.0,64437280.0,28-07 21:59:12
370.0,66085387.0,28-07 21:59:13
412.0,67081227.0,28-07 21:59:14
370.0,65858183.0,28-07 21:59:15
370.0,66745654.0,28-07 21:59:16
370.0,65781511.0,28-07 21:59:17
370.0,66510045.0,28-07 21:59:18
412.0,65598107.0,28-07 21:59:19
370.0,65561498.0,28-07 21:59:20
370.0,64626880.0,28-07 21:59:21
370.0,66078340.0,28-07 21:59:22
370.0,65593606.0,28-07 21:59:23
370.0,65582904.0,28-07 21:59:24
370.0,65937705.0,28-07 21:59:25
370.0,63088824.0,28-07 21:59:26
370.0,67227618.0,28-07 21:59:27
370.0,68557636.0,28-07 21:59:28
370.0,66724925.0,28-07 21:59:29
370.0,64839870.0,28-07 21:59:30
370.0,63663452.0,28-07 21:59:31
370.0,65092497.0,28-07 21:59:32
370.0,67025072.0,28-07 21:59:33
370.0,67383669.0,28-07 21:59:34
370.0,67512069.0,28-07 21:59:35
370.0,65437724.0,28-07 21:59:36
370.0,67528318.0,28-07 21:59:37
370.0,65493559.0,28-07 21:59:38
370.0,66472241.0,28-07 21:59:39
370.0,66529736.0,28-07 21:59:40
370.0,65956853.0,28-07 21:59:41
370.0,62982299.0,28-07 21:59:42
370.0,68334231.0,28-07 21:59:43
370.0,67960489.0,28-07 21:59:44
370.0,67486069.0,28-07 21:59:45
370.0,68509468.0,28-07 21:59:46
370.0,68606213.0,28-07 21:59:47
370.0,68825489.0,28-07 21:59:48
370.0,69508380.0,28-07 21:59:49
370.0,68432427.0,28-07 21:59:50
370.0,68130209.0,28-07 21:59:51
412.0,65913952.0,28-07 21:59:52
370.0,65680554.0,28-07 21:59:53
370.0,67382678.0,28-07 21:59:54
370.0,68137657.0,28-07 21:59:55
370.0,66393043.0,28-07 21:59:56
412.0,67542363.0,28-07 21:59:57
370.0,68315827.0,28-07 21:59:58
370.0,64211281.0,28-07 21:59:59
370.0,65448985.0,28-07 22:00:00
370.0,64228028.0,28-07 22:00:01
370.0,66459967.0,28-07 22:00:02
370.0,66235566.0,28-07 22:00:03
370.0,60970822.0,28-07 22:00:04
370.0,62987330.0,28-07 22:00:05
370.0,64289203.0,28-07 22:00:06
370.0,65272945.0,28-07 22:00:07
370.0,65740777.0,28-07 22:00:08
370.0,65476216.0,28-07 22:00:09
370.0,66420452.0,28-07 22:00:10
370.0,61301048.0,28-07 22:00:11
370.0,63104961.0,28-07 22:00:12
370.0,64017540.0,28-07 22:00:13
370.0,65850973.0,28-07 22:00:14
370.0,66498577.0,28-07 22:00:15
370.0,62867168.0,28-07 22:00:16
370.0,60476452.0,28-07 22:00:17
370.0,64336522.0,28-07 22:00:18
370.0,55589246.0,28-07 22:00:19
370.0,62174119.0,28-07 22:00:20
370.0,61956995.0,28-07 22:00:21
370.0,58980350.0,28-07 22:00:22
370.0,58659880.0,28-07 22:00:23
370.0,61039988.0,28-07 22:00:24
412.0,63147274.0,28-07 22:00:25
370.0,59750672.0,28-07 22:00:26
370.0,63349744.0,28-07 22:00:27
370.0,64767423.0,28-07 22:00:28
370.0,63048659.0,28-07 22:00:29
370.0,65777764.0,28-07 22:00:30
370.0,67759155.0,28-07 22:00:31
370.0,67409787.0,28-07 22:00:32
370.0,67474572.0,28-07 22:00:33
370.0,67192751.0,28-07 22:00:34
370.0,66865416.0,28-07 22:00:35
370.0,67663332.0,28-07 22:00:36
370.0,66809097.0,28-07 22:00:37
370.0,64795360.0,28-07 22:00:38
370.0,64848062.0,28-07 22:00:39
412.0,57042610.0,28-07 22:00:40
370.0,65027156.0,28-07 22:00:41
370.0,61270441.0,28-07 22:00:42
370.0,65538307.0,28-07 22:00:43
370.0,65090810.0,28-07 22:00:44
370.0,69464153.0,28-07 22:00:45
370.0,68660981.0,28-07 22:00:46
370.0,68689167.0,28-07 22:00:47
370.0,66951994.0,28-07 22:00:48
370.0,68171403.0,28-07 22:00:49
370.0,68024502.0,28-07 22:00:50
370.0,68720835.0,28-07 22:00:51
370.0,70185960.0,28-07 22:00:52
370.0,69308226.0,28-07 22:00:53
370.0,69024585.0,28-07 22:00:54
370.0,68428200.0,28-07 22:00:55
370.0,65393953.0,28-07 22:00:56
370.0,68047147.0,28-07 22:00:57
412.0,68950100.0,28-07 22:00:58
370.0,67952290.0,28-07 22:00:59
370.0,68507174.0,28-07 22:01:00
370.0,67514070.0,28-07 22:01:01
370.0,69012969.0,28-07 22:01:02
370.0,67943498.0,28-07 22:01:03
370.0,67627864.0,28-07 22:01:04
370.0,67769564.0,28-07 22:01:05
370.0,67230166.0,28-07 22:01:06
370.0,67549865.0,28-07 22:01:07
370.0,67645083.0,28-07 22:01:08
370.0,67524852.0,28-07 22:01:09
370.0,68553644.0,28-07 22:01:10
370.0,66043571.0,28-07 22:01:11
370.0,66216113.0,28-07 22:01:12
370.0,67659255.0,28-07 22:01:13
370.0,67457115.0,28-07 22:01:14
370.0,67276256.0,28-07 22:01:15
370.0,67852180.0,28-07 22:01:16
370.0,66462848.0,28-07 22:01:17
370.0,65230332.0,28-07 22:01:18
370.0,64747651.0,28-07 22:01:19
370.0,61064680.0,28-07 22:01:20
370.0,65547512.0,28-07 22:01:21
370.0,65539767.0,28-07 22:01:22
412.0,65597026.0,28-07 22:01:23
370.0,67772951.0,28-07 22:01:24
370.0,67650726.0,28-07 22:01:25
370.0,64584945.0,28-07 22:01:26
370.0,70223232.0,28-07 22:01:27
370.0,123824845.0,28-07 22:01:28
370.0,122857418.0,28-07 22:01:29
370.0,124611506.0,28-07 22:01:30
412.0,126867500.0,28-07 22:01:31
370.0,122188637.0,28-07 22:01:32
370.0,124476883.0,28-07 22:01:33
370.0,127875395.0,28-07 22:01:34
370.0,123813494.0,28-07 22:01:35
370.0,122000008.0,28-07 22:01:36
370.0,126420926.0,28-07 22:01:37
370.0,122663661.0,28-07 22:01:38
