"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth7 --nocolor --output ./results/scaleout-from-ids1.csv",,,,"Date:","13 Jul 2017 03:28:09 UTC"

"net/dc2.s1-eth7",,"system"
"recv","send","time"
0.0,0.0,13-07 03:28:09
0.0,36464.0,13-07 03:28:10
0.0,124944.0,13-07 03:28:11
0.0,119606.0,13-07 03:28:12
0.0,125321.0,13-07 03:28:13
0.0,124841.0,13-07 03:28:14
0.0,124385.0,13-07 03:28:15
0.0,125050.0,13-07 03:28:16
0.0,125561.0,13-07 03:28:17
0.0,124469.0,13-07 03:28:18
0.0,125086.0,13-07 03:28:19
0.0,125070.0,13-07 03:28:20
0.0,125526.0,13-07 03:28:21
0.0,125406.0,13-07 03:28:22
0.0,125190.0,13-07 03:28:23
0.0,124188.0,13-07 03:28:24
0.0,125148.0,13-07 03:28:25
0.0,125190.0,13-07 03:28:26
0.0,125082.0,13-07 03:28:27
0.0,125136.0,13-07 03:28:28
0.0,125010.0,13-07 03:28:29
0.0,124203.0,13-07 03:28:30
0.0,124796.0,13-07 03:28:31
42.0,124949.0,13-07 03:28:32
0.0,125423.0,13-07 03:28:33
0.0,125462.0,13-07 03:28:34
0.0,124930.0,13-07 03:28:35
0.0,124824.0,13-07 03:28:36
0.0,125022.0,13-07 03:28:37
0.0,125266.0,13-07 03:28:38
0.0,125088.0,13-07 03:28:39
370.0,239908.0,13-07 03:28:40
0.0,250137.0,13-07 03:28:41
0.0,191580.0,13-07 03:28:42
0.0,196004.0,13-07 03:28:43
0.0,184270.0,13-07 03:28:44
42.0,197752.0,13-07 03:28:45
0.0,206379.0,13-07 03:28:46
0.0,198103.0,13-07 03:28:47
0.0,176838.0,13-07 03:28:48
0.0,181051.0,13-07 03:28:49
0.0,199625.0,13-07 03:28:50
0.0,183270.0,13-07 03:28:51
0.0,182316.0,13-07 03:28:52
0.0,169090.0,13-07 03:28:53
0.0,166149.0,13-07 03:28:54
0.0,176993.0,13-07 03:28:55
0.0,189828.0,13-07 03:28:56
0.0,200218.0,13-07 03:28:57
0.0,196890.0,13-07 03:28:58
740.0,197524.0,13-07 03:28:59
1110.0,163616.0,13-07 03:29:00
0.0,184573.0,13-07 03:29:01
0.0,191132.0,13-07 03:29:02
0.0,161872.0,13-07 03:29:03
0.0,210666.0,13-07 03:29:04
42.0,181043.0,13-07 03:29:05
0.0,188404.0,13-07 03:29:06
0.0,178422.0,13-07 03:29:07
0.0,183822.0,13-07 03:29:08
0.0,190038.0,13-07 03:29:09
0.0,215876.0,13-07 03:29:10
0.0,195618.0,13-07 03:29:11
0.0,191046.0,13-07 03:29:12
0.0,188340.0,13-07 03:29:13
0.0,192912.0,13-07 03:29:14
0.0,190520.0,13-07 03:29:15
0.0,192207.0,13-07 03:29:16
0.0,211461.0,13-07 03:29:17
0.0,183195.0,13-07 03:29:18
