"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth4 --nocolor --output ./results/scaleout10-from-vpn.csv",,,,"Date:","25 Jul 2017 17:58:47 UTC"

"net/dc2.s1-eth4",,"system"
"recv","send","time"
0.0,0.0,25-07 17:58:47
0.0,115509.0,25-07 17:58:48
0.0,249841.0,25-07 17:58:49
0.0,244114.0,25-07 17:58:50
0.0,248656.0,25-07 17:58:51
0.0,250059.0,25-07 17:58:52
0.0,250346.0,25-07 17:58:53
0.0,249794.0,25-07 17:58:54
0.0,246002.0,25-07 17:58:55
0.0,249616.0,25-07 17:58:56
0.0,238578.0,25-07 17:58:57
0.0,249041.0,25-07 17:58:58
0.0,248938.0,25-07 17:58:59
0.0,250254.0,25-07 17:59:00
0.0,250588.0,25-07 17:59:01
0.0,249756.0,25-07 17:59:02
0.0,248934.0,25-07 17:59:03
0.0,250260.0,25-07 17:59:04
60.0,250182.0,25-07 17:59:05
0.0,250074.0,25-07 17:59:06
0.0,249074.0,25-07 17:59:07
0.0,250752.0,25-07 17:59:08
0.0,250098.0,25-07 17:59:09
0.0,249145.0,25-07 17:59:10
0.0,250054.0,25-07 17:59:11
0.0,250392.0,25-07 17:59:12
0.0,249830.0,25-07 17:59:13
0.0,250408.0,25-07 17:59:14
0.0,249456.0,25-07 17:59:15
0.0,249632.0,25-07 17:59:16
0.0,248908.0,25-07 17:59:17
0.0,364581.0,25-07 17:59:18
0.0,348099.0,25-07 17:59:19
0.0,374262.0,25-07 17:59:20
0.0,375562.0,25-07 17:59:21
0.0,374542.0,25-07 17:59:22
0.0,375192.0,25-07 17:59:23
370.0,374777.0,25-07 17:59:24
370.0,373563.0,25-07 17:59:25
0.0,373381.0,25-07 17:59:26
740.0,375526.0,25-07 17:59:27
370.0,374576.0,25-07 17:59:28
60.0,373920.0,25-07 17:59:29
0.0,376045.0,25-07 17:59:30
370.0,372971.0,25-07 17:59:31
60.0,365382.0,25-07 17:59:32
0.0,375214.0,25-07 17:59:33
0.0,374934.0,25-07 17:59:34
0.0,374046.0,25-07 17:59:35
0.0,375956.0,25-07 17:59:36
0.0,371191.0,25-07 17:59:37
2220.0,345111.0,25-07 17:59:38
0.0,373681.0,25-07 17:59:39
0.0,376164.0,25-07 17:59:40
0.0,374043.0,25-07 17:59:41
0.0,373904.0,25-07 17:59:42
0.0,366454.0,25-07 17:59:43
0.0,373975.0,25-07 17:59:44
0.0,374902.0,25-07 17:59:45
0.0,374398.0,25-07 17:59:46
0.0,374610.0,25-07 17:59:47
0.0,375770.0,25-07 17:59:48
0.0,374930.0,25-07 17:59:49
0.0,374720.0,25-07 17:59:50
0.0,374458.0,25-07 17:59:51
0.0,374380.0,25-07 17:59:52
0.0,376098.0,25-07 17:59:53
0.0,374526.0,25-07 17:59:54
0.0,374149.0,25-07 17:59:55
0.0,374653.0,25-07 17:59:56
