"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth1 --nocolor --output ./results/scaleout100-from-client.csv",,,,"Date:","25 Jul 2017 18:00:04 UTC"

"net/dc1.s1-eth1",,"system"
"recv","send","time"
0.0,0.0,25-07 18:00:04
618.0,1283556.0,25-07 18:00:05
0.0,2500840.0,25-07 18:00:06
0.0,2498968.0,25-07 18:00:07
370.0,2500895.0,25-07 18:00:08
761.0,2499760.0,25-07 18:00:09
1213.0,2500785.0,25-07 18:00:10
370.0,2498784.0,25-07 18:00:11
0.0,2500583.0,25-07 18:00:12
309.0,2497850.0,25-07 18:00:13
103.0,2500328.0,25-07 18:00:14
2323.0,2501878.0,25-07 18:00:15
0.0,2498975.0,25-07 18:00:16
103.0,2500726.0,25-07 18:00:17
103.0,2500344.0,25-07 18:00:18
946.0,2497940.0,25-07 18:00:19
1213.0,2502373.0,25-07 18:00:20
0.0,2498916.0,25-07 18:00:21
0.0,2500144.0,25-07 18:00:22
309.0,2499404.0,25-07 18:00:23
103.0,2501086.0,25-07 18:00:24
1213.0,2499029.0,25-07 18:00:25
0.0,2499973.0,25-07 18:00:26
103.0,2500026.0,25-07 18:00:27
576.0,2498931.0,25-07 18:00:28
149.0,2500165.0,25-07 18:00:29
2365.0,2500328.0,25-07 18:00:30
42.0,2500326.0,25-07 18:00:31
42.0,2499823.0,25-07 18:00:32
473.0,2499971.0,25-07 18:00:33
576.0,2499913.0,25-07 18:00:34
946.0,3718880.0,25-07 18:00:35
0.0,3752241.0,25-07 18:00:36
103.0,3750418.0,25-07 18:00:37
473.0,3746387.0,25-07 18:00:38
925.0,3753041.0,25-07 18:00:39
843.0,3748547.0,25-07 18:00:40
0.0,3749188.0,25-07 18:00:41
0.0,3750344.0,25-07 18:00:42
206.0,3749597.0,25-07 18:00:43
1316.0,3749009.0,25-07 18:00:44
843.0,3752144.0,25-07 18:00:45
0.0,3748332.0,25-07 18:00:46
206.0,3749972.0,25-07 18:00:47
370.0,3738920.0,25-07 18:00:48
946.0,3743845.0,25-07 18:00:49
843.0,3748914.0,25-07 18:00:50
0.0,3749364.0,25-07 18:00:51
0.0,3750543.0,25-07 18:00:52
206.0,3748888.0,25-07 18:00:53
946.0,3752233.0,25-07 18:00:54
1213.0,3746861.0,25-07 18:00:55
0.0,3750884.0,25-07 18:00:56
103.0,3748644.0,25-07 18:00:57
149.0,3743271.0,25-07 18:00:58
885.0,3749824.0,25-07 18:00:59
1358.0,3737992.0,25-07 18:01:00
0.0,3748636.0,25-07 18:01:01
42.0,3750413.0,25-07 18:01:02
42.0,3748847.0,25-07 18:01:03
42.0,3749463.0,25-07 18:01:04
42.0,3752319.0,25-07 18:01:05
42.0,3749850.0,25-07 18:01:06
1625.0,3744389.0,25-07 18:01:07
206.0,3749829.0,25-07 18:01:08
1316.0,3750008.0,25-07 18:01:09
843.0,3749681.0,25-07 18:01:10
0.0,3749835.0,25-07 18:01:11
103.0,3749595.0,25-07 18:01:12
1213.0,3748406.0,25-07 18:01:13
