"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth7 --nocolor --output ./results/scaleout100-from-ids1.csv",,,,"Date:","25 Jul 2017 18:00:04 UTC"

"net/dc2.s1-eth7",,"system"
"recv","send","time"
0.0,0.0,25-07 18:00:04
0.0,591750.0,25-07 18:00:05
0.0,1125753.0,25-07 18:00:06
0.0,1226257.0,25-07 18:00:07
370.0,1250005.0,25-07 18:00:08
370.0,1247165.0,25-07 18:00:09
1480.0,1249895.0,25-07 18:00:10
0.0,1195282.0,25-07 18:00:11
0.0,1249989.0,25-07 18:00:12
42.0,1249147.0,25-07 18:00:13
0.0,1246606.0,25-07 18:00:14
2220.0,1249030.0,25-07 18:00:15
0.0,1244000.0,25-07 18:00:16
0.0,1249725.0,25-07 18:00:17
0.0,1250178.0,25-07 18:00:18
740.0,1249037.0,25-07 18:00:19
1110.0,1245554.0,25-07 18:00:20
0.0,1236394.0,25-07 18:00:21
0.0,1250049.0,25-07 18:00:22
0.0,1248795.0,25-07 18:00:23
0.0,1248653.0,25-07 18:00:24
1110.0,1250657.0,25-07 18:00:25
0.0,1243590.0,25-07 18:00:26
0.0,1249141.0,25-07 18:00:27
370.0,1249955.0,25-07 18:00:28
0.0,1249935.0,25-07 18:00:29
2220.0,1242028.0,25-07 18:00:30
0.0,1249608.0,25-07 18:00:31
0.0,1247810.0,25-07 18:00:32
370.0,1250709.0,25-07 18:00:33
370.0,1249899.0,25-07 18:00:34
740.0,1847879.0,25-07 18:00:35
0.0,1976958.0,25-07 18:00:36
0.0,1891171.0,25-07 18:00:37
370.0,1793591.0,25-07 18:00:38
740.0,1929453.0,25-07 18:00:39
740.0,1734984.0,25-07 18:00:40
42.0,1909654.0,25-07 18:00:41
0.0,1883420.0,25-07 18:00:42
0.0,1906583.0,25-07 18:00:43
1110.0,2093617.0,25-07 18:00:44
740.0,2024087.0,25-07 18:00:45
0.0,2125568.0,25-07 18:00:46
0.0,1886940.0,25-07 18:00:47
370.0,1960226.0,25-07 18:00:48
782.0,2101515.0,25-07 18:00:49
740.0,1617710.0,25-07 18:00:50
0.0,1985402.0,25-07 18:00:51
0.0,1899593.0,25-07 18:00:52
0.0,1807141.0,25-07 18:00:53
740.0,2128582.0,25-07 18:00:54
1110.0,1743653.0,25-07 18:00:55
0.0,2058333.0,25-07 18:00:56
0.0,1983936.0,25-07 18:00:57
0.0,2115351.0,25-07 18:00:58
740.0,1923039.0,25-07 18:00:59
1110.0,1887096.0,25-07 18:01:00
0.0,1919976.0,25-07 18:01:01
0.0,1796776.0,25-07 18:01:02
0.0,1828696.0,25-07 18:01:03
370.0,2192939.0,25-07 18:01:04
1480.0,1687899.0,25-07 18:01:05
0.0,1922894.0,25-07 18:01:06
0.0,1841693.0,25-07 18:01:07
0.0,2072092.0,25-07 18:01:08
1110.0,2043709.0,25-07 18:01:09
740.0,1803557.0,25-07 18:01:10
0.0,2036946.0,25-07 18:01:11
0.0,2037714.0,25-07 18:01:12
1110.0,2036289.0,25-07 18:01:13
