"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth1 --nocolor --output ./results/scaleout10-from-client.csv",,,,"Date:","23 Jul 2017 01:58:23 UTC"

"net/dc1.s1-eth1",,"system"
"recv","send","time"
0.0,0.0,23-07 01:58:23
103.0,149015.0,23-07 01:58:24
618.0,249814.0,23-07 01:58:25
0.0,250426.0,23-07 01:58:26
0.0,250405.0,23-07 01:58:27
0.0,249081.0,23-07 01:58:28
0.0,250135.0,23-07 01:58:29
309.0,250477.0,23-07 01:58:30
0.0,250158.0,23-07 01:58:31
309.0,250012.0,23-07 01:58:32
0.0,249657.0,23-07 01:58:33
0.0,250508.0,23-07 01:58:34
0.0,249212.0,23-07 01:58:35
0.0,250066.0,23-07 01:58:36
0.0,250522.0,23-07 01:58:37
0.0,248820.0,23-07 01:58:38
0.0,250566.0,23-07 01:58:39
0.0,250276.0,23-07 01:58:40
0.0,250236.0,23-07 01:58:41
0.0,250058.0,23-07 01:58:42
0.0,248978.0,23-07 01:58:43
0.0,250245.0,23-07 01:58:44
107.0,249814.0,23-07 01:58:45
0.0,249542.0,23-07 01:58:46
0.0,250096.0,23-07 01:58:47
0.0,250132.0,23-07 01:58:48
0.0,249960.0,23-07 01:58:49
0.0,250543.0,23-07 01:58:50
0.0,250176.0,23-07 01:58:51
0.0,250138.0,23-07 01:58:52
309.0,249885.0,23-07 01:58:53
103.0,372067.0,23-07 01:58:54
0.0,374420.0,23-07 01:58:55
0.0,375840.0,23-07 01:58:56
0.0,374818.0,23-07 01:58:57
46.0,374758.0,23-07 01:58:58
145.0,375383.0,23-07 01:58:59
42.0,374723.0,23-07 01:59:00
103.0,374657.0,23-07 01:59:01
309.0,375230.0,23-07 01:59:02
103.0,374872.0,23-07 01:59:03
0.0,374401.0,23-07 01:59:04
103.0,374976.0,23-07 01:59:05
0.0,376047.0,23-07 01:59:06
103.0,374760.0,23-07 01:59:07
103.0,375319.0,23-07 01:59:08
0.0,374277.0,23-07 01:59:09
0.0,374631.0,23-07 01:59:10
0.0,376360.0,23-07 01:59:11
0.0,374452.0,23-07 01:59:12
1049.0,374731.0,23-07 01:59:13
1789.0,375448.0,23-07 01:59:14
103.0,375074.0,23-07 01:59:15
0.0,374913.0,23-07 01:59:16
103.0,374482.0,23-07 01:59:17
0.0,376327.0,23-07 01:59:18
103.0,373796.0,23-07 01:59:19
0.0,375016.0,23-07 01:59:20
0.0,375006.0,23-07 01:59:21
0.0,374998.0,23-07 01:59:22
0.0,375010.0,23-07 01:59:23
0.0,374918.0,23-07 01:59:24
0.0,376024.0,23-07 01:59:25
0.0,374270.0,23-07 01:59:26
0.0,375112.0,23-07 01:59:27
0.0,375908.0,23-07 01:59:28
0.0,374700.0,23-07 01:59:29
0.0,374630.0,23-07 01:59:30
107.0,376095.0,23-07 01:59:31
0.0,374597.0,23-07 01:59:32
