"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","netsolver",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth4 --nocolor --output ./results/scaleout10-from-vpn.csv",,,,"Date:","23 Jul 2017 01:58:23 UTC"

"net/dc2.s1-eth4",,"system"
"recv","send","time"
0.0,0.0,23-07 01:58:23
0.0,151339.0,23-07 01:58:24
0.0,243360.0,23-07 01:58:25
0.0,240110.0,23-07 01:58:26
0.0,248361.0,23-07 01:58:27
0.0,250235.0,23-07 01:58:28
0.0,249053.0,23-07 01:58:29
0.0,247150.0,23-07 01:58:30
0.0,250118.0,23-07 01:58:31
0.0,236532.0,23-07 01:58:32
0.0,248433.0,23-07 01:58:33
0.0,250418.0,23-07 01:58:34
0.0,250556.0,23-07 01:58:35
0.0,248552.0,23-07 01:58:36
0.0,250424.0,23-07 01:58:37
0.0,250174.0,23-07 01:58:38
0.0,250496.0,23-07 01:58:39
0.0,248770.0,23-07 01:58:40
0.0,250132.0,23-07 01:58:41
0.0,250018.0,23-07 01:58:42
0.0,250394.0,23-07 01:58:43
0.0,250181.0,23-07 01:58:44
0.0,249689.0,23-07 01:58:45
0.0,249472.0,23-07 01:58:46
0.0,250028.0,23-07 01:58:47
0.0,250120.0,23-07 01:58:48
0.0,249940.0,23-07 01:58:49
0.0,249081.0,23-07 01:58:50
0.0,250148.0,23-07 01:58:51
0.0,249750.0,23-07 01:58:52
0.0,244705.0,23-07 01:58:53
0.0,365037.0,23-07 01:58:54
0.0,344165.0,23-07 01:58:55
0.0,374402.0,23-07 01:58:56
0.0,374734.0,23-07 01:58:57
0.0,374710.0,23-07 01:58:58
0.0,374619.0,23-07 01:58:59
0.0,375083.0,23-07 01:59:00
60.0,372695.0,23-07 01:59:01
60.0,373896.0,23-07 01:59:02
0.0,374005.0,23-07 01:59:03
0.0,375548.0,23-07 01:59:04
0.0,374817.0,23-07 01:59:05
0.0,374393.0,23-07 01:59:06
0.0,369999.0,23-07 01:59:07
0.0,362929.0,23-07 01:59:08
0.0,375657.0,23-07 01:59:09
0.0,374607.0,23-07 01:59:10
0.0,374896.0,23-07 01:59:11
0.0,374402.0,23-07 01:59:12
740.0,373795.0,23-07 01:59:13
1480.0,341990.0,23-07 01:59:14
0.0,374751.0,23-07 01:59:15
0.0,374837.0,23-07 01:59:16
0.0,373309.0,23-07 01:59:17
60.0,373819.0,23-07 01:59:18
0.0,356044.0,23-07 01:59:19
0.0,372049.0,23-07 01:59:20
0.0,374836.0,23-07 01:59:21
0.0,374888.0,23-07 01:59:22
0.0,376244.0,23-07 01:59:23
0.0,373394.0,23-07 01:59:24
0.0,375886.0,23-07 01:59:25
0.0,375634.0,23-07 01:59:26
0.0,373484.0,23-07 01:59:27
0.0,375838.0,23-07 01:59:28
0.0,374606.0,23-07 01:59:29
0.0,374440.0,23-07 01:59:30
0.0,375938.0,23-07 01:59:31
0.0,374531.0,23-07 01:59:32
