"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc2.s1-eth7 --nocolor --output ./results/scaleout1000-from-ids1.csv",,,,"Date:","23 Jul 2017 02:22:36 UTC"

"net/dc2.s1-eth7",,"system"
"recv","send","time"
0.0,0.0,23-07 02:22:36
0.0,4580470.0,23-07 02:22:37
2220.0,9052796.0,23-07 02:22:38
370.0,9077588.0,23-07 02:22:39
370.0,10774795.0,23-07 02:22:40
370.0,9831014.0,23-07 02:22:41
370.0,8664295.0,23-07 02:22:42
412.0,9435637.0,23-07 02:22:43
412.0,9348796.0,23-07 02:22:44
412.0,9567351.0,23-07 02:22:45
42.0,9383089.0,23-07 02:22:46
42.0,9775761.0,23-07 02:22:47
1152.0,9693418.0,23-07 02:22:48
370.0,7761683.0,23-07 02:22:49
370.0,9637600.0,23-07 02:22:50
370.0,10431386.0,23-07 02:22:51
370.0,9500581.0,23-07 02:22:52
370.0,8930213.0,23-07 02:22:53
370.0,9264556.0,23-07 02:22:54
370.0,9597268.0,23-07 02:22:55
370.0,8095033.0,23-07 02:22:56
370.0,10906586.0,23-07 02:22:57
370.0,10090654.0,23-07 02:22:58
370.0,9341526.0,23-07 02:22:59
370.0,9367294.0,23-07 02:23:00
412.0,9511293.0,23-07 02:23:01
370.0,9236085.0,23-07 02:23:02
370.0,9835124.0,23-07 02:23:03
370.0,9635398.0,23-07 02:23:04
370.0,9757384.0,23-07 02:23:05
370.0,8844916.0,23-07 02:23:06
370.0,10023032.0,23-07 02:23:07
370.0,10472165.0,23-07 02:23:08
370.0,10132472.0,23-07 02:23:09
370.0,10574061.0,23-07 02:23:10
370.0,8763258.0,23-07 02:23:11
370.0,8703537.0,23-07 02:23:12
370.0,9631433.0,23-07 02:23:13
370.0,9894566.0,23-07 02:23:14
370.0,10031337.0,23-07 02:23:15
370.0,8848572.0,23-07 02:23:16
370.0,9330774.0,23-07 02:23:17
370.0,10358263.0,23-07 02:23:18
370.0,9590123.0,23-07 02:23:19
370.0,9794835.0,23-07 02:23:20
370.0,8789143.0,23-07 02:23:21
370.0,8821797.0,23-07 02:23:22
370.0,10309003.0,23-07 02:23:23
370.0,9392842.0,23-07 02:23:24
370.0,10199470.0,23-07 02:23:25
370.0,8985900.0,23-07 02:23:26
370.0,8337802.0,23-07 02:23:27
370.0,10192890.0,23-07 02:23:28
370.0,9958074.0,23-07 02:23:29
370.0,9393647.0,23-07 02:23:30
370.0,8611370.0,23-07 02:23:31
412.0,7464892.0,23-07 02:23:32
370.0,9788096.0,23-07 02:23:33
370.0,10401662.0,23-07 02:23:34
370.0,10024748.0,23-07 02:23:35
370.0,9664083.0,23-07 02:23:36
412.0,8214803.0,23-07 02:23:37
412.0,9354265.0,23-07 02:23:38
412.0,10145142.0,23-07 02:23:39
370.0,9421514.0,23-07 02:23:40
42.0,10057837.0,23-07 02:23:41
42.0,9080282.0,23-07 02:23:42
42.0,9219034.0,23-07 02:23:43
42.0,9716885.0,23-07 02:23:44
42.0,9351313.0,23-07 02:23:45
