"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","leap-416",,,,"User:","root"
"Cmdline:","dstat --net --time -N dc1.s1-eth1 --nocolor --output ./results/scaleout10000-from-client.csv",,,,"Date:","23 Jul 2017 02:23:53 UTC"

"net/dc1.s1-eth1",,"system"
"recv","send","time"
0.0,0.0,23-07 02:23:53
618.0,77844754.0,23-07 02:23:54
103.0,123455200.0,23-07 02:23:55
103.0,125286422.0,23-07 02:23:56
103.0,125765540.0,23-07 02:23:57
103.0,124698269.0,23-07 02:23:58
149.0,128810704.0,23-07 02:23:59
103.0,133237093.0,23-07 02:24:00
103.0,133601098.0,23-07 02:24:01
843.0,134161595.0,23-07 02:24:02
473.0,128305400.0,23-07 02:24:03
473.0,127597715.0,23-07 02:24:04
473.0,131443413.0,23-07 02:24:05
473.0,130333964.0,23-07 02:24:06
473.0,130023312.0,23-07 02:24:07
473.0,125384819.0,23-07 02:24:08
473.0,127180599.0,23-07 02:24:09
473.0,125487314.0,23-07 02:24:10
82.0,124699074.0,23-07 02:24:11
103.0,124975068.0,23-07 02:24:12
103.0,134683780.0,23-07 02:24:13
103.0,133355086.0,23-07 02:24:14
843.0,132663902.0,23-07 02:24:15
473.0,125241711.0,23-07 02:24:16
473.0,118857905.0,23-07 02:24:17
473.0,126849441.0,23-07 02:24:18
473.0,128148514.0,23-07 02:24:19
473.0,130392744.0,23-07 02:24:20
473.0,122646749.0,23-07 02:24:21
473.0,122544253.0,23-07 02:24:22
473.0,129822503.0,23-07 02:24:23
473.0,127637820.0,23-07 02:24:24
473.0,130810991.0,23-07 02:24:25
473.0,131918415.0,23-07 02:24:26
473.0,128827376.0,23-07 02:24:27
473.0,128573214.0,23-07 02:24:28
473.0,126887258.0,23-07 02:24:29
473.0,128941427.0,23-07 02:24:30
473.0,130027822.0,23-07 02:24:31
519.0,125260236.0,23-07 02:24:32
473.0,128898891.0,23-07 02:24:33
473.0,129211533.0,23-07 02:24:34
473.0,128364915.0,23-07 02:24:35
452.0,125917314.0,23-07 02:24:36
473.0,130364531.0,23-07 02:24:37
473.0,134592856.0,23-07 02:24:38
473.0,128466694.0,23-07 02:24:39
473.0,123813985.0,23-07 02:24:40
473.0,128379217.0,23-07 02:24:41
473.0,129543062.0,23-07 02:24:42
473.0,127429297.0,23-07 02:24:43
473.0,125145038.0,23-07 02:24:44
473.0,128349349.0,23-07 02:24:45
473.0,123382331.0,23-07 02:24:46
473.0,122205270.0,23-07 02:24:47
473.0,127969024.0,23-07 02:24:48
473.0,129376767.0,23-07 02:24:49
473.0,133253473.0,23-07 02:24:50
473.0,128774598.0,23-07 02:24:51
473.0,125058191.0,23-07 02:24:52
473.0,128330821.0,23-07 02:24:53
473.0,124580242.0,23-07 02:24:54
473.0,128945398.0,23-07 02:24:55
473.0,126115843.0,23-07 02:24:56
473.0,121416628.0,23-07 02:24:57
473.0,129330269.0,23-07 02:24:58
473.0,128224149.0,23-07 02:24:59
473.0,131421903.0,23-07 02:25:00
452.0,129364880.0,23-07 02:25:01
473.0,128839485.0,23-07 02:25:02
