"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client",,,,"User:","root"
"Cmdline:","dstat --net --time -N intf1 --bits --output /tmp/dstat.csv",,,,"Date:","11 Jul 2017 04:41:48 UTC"
"net/intf1",,"system"
"recv","send","time"
0,0,11-07 04:41:48
0,0,11-07 04:41:49
0,0,11-07 04:41:50
0,0,11-07 04:41:51
618,927685,11-07 04:41:52
103,1310430,11-07 04:41:53
103,1312223,11-07 04:41:54
103,1311051,11-07 04:41:55
103,1312790,11-07 04:41:56
42,1310196,11-07 04:41:57
0,1312182,11-07 04:41:58
0,1311094,11-07 04:41:59
0,1312968,11-07 04:42:00
0,1310812,11-07 04:42:01
103,1309703,11-07 04:42:02
0,1311494,11-07 04:42:03
0,1311658,11-07 04:42:04
0,1311984,11-07 04:42:05
515,1310956,11-07 04:42:06
206,1311438,11-07 04:42:07
103,1312976,11-07 04:42:08
103,1308985,11-07 04:42:09
0,1310887,11-07 04:42:10
103,1311929,11-07 04:42:11
0,1310995,11-07 04:42:12
0,1311946,11-07 04:42:13
412,1310290,11-07 04:42:14
103,1312526,11-07 04:42:15
103,1311605,11-07 04:42:16
74,1310885,11-07 04:42:17
103,1312382,11-07 04:42:18
0,1310412,11-07 04:42:19
0,1311103,11-07 04:42:20
103,1311306,11-07 04:42:21
206,1310248,11-07 04:42:22
206,1311765,11-07 04:42:23
103,1310694,11-07 04:42:24
103,1312048,11-07 04:42:25
103,1311585,11-07 04:42:26
145,1310971,11-07 04:42:27
103,1310295,11-07 04:42:28
103,1312239,11-07 04:42:29
103,1310820,11-07 04:42:30
103,1310893,11-07 04:42:31
103,1312029,11-07 04:42:32
0,1311583,11-07 04:42:33
0,1310611,11-07 04:42:34
0,1311149,11-07 04:42:35
0,1310700,11-07 04:42:36
515,1312095,11-07 04:42:37
103,1313882,11-07 04:42:38
103,1236820,11-07 04:42:39
103,1310915,11-07 04:42:40
103,1311312,11-07 04:42:41
103,1312102,11-07 04:42:42
103,1311480,11-07 04:42:43
103,1311580,11-07 04:42:44
0,1311568,11-07 04:42:45
0,1310302,11-07 04:42:46
0,1311542,11-07 04:42:47
0,1312438,11-07 04:42:48
103,1310471,11-07 04:42:49
0,1311944,11-07 04:42:50
0,1310124,11-07 04:42:51
0,1312388,11-07 04:42:52
515,1311282,11-07 04:42:53
0,1312207,11-07 04:42:54
206,1311356,11-07 04:42:55
206,1311052,11-07 04:42:56
0,1311279,11-07 04:42:57
145,1310469,11-07 04:42:58
0,1310560,11-07 04:42:59
0,1311089,11-07 04:43:00
0,1311782,11-07 04:43:01
412,1310087,11-07 04:43:02
2426,1313649,11-07 04:43:03
74,1309136,11-07 04:43:04
473,1314047,11-07 04:43:05
0,1310235,11-07 04:43:06
0,1310072,11-07 04:43:07
0,1310313,11-07 04:43:08
206,1312545,11-07 04:43:09
206,1311824,11-07 04:43:10
1316,1309889,11-07 04:43:11
1583,1310919,11-07 04:43:12
103,1312894,11-07 04:43:13
370,1309785,11-07 04:43:14
473,1311749,11-07 04:43:15
576,1310708,11-07 04:43:16
370,1310459,11-07 04:43:17
206,1312654,11-07 04:43:18
843,1309895,11-07 04:43:19
370,1311787,11-07 04:43:20
0,1311008,11-07 04:43:21
0,1311647,11-07 04:43:22
0,1310141,11-07 04:43:23
0,1312561,11-07 04:43:24
2838,1313663,11-07 04:43:25
473,1313394,11-07 04:43:26
0,484485,11-07 04:43:27
0,0,11-07 04:43:28
0,0,11-07 04:43:29
